ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3940196,0,0,0,0.0272873,0,0,0.0272873
3940198,0,0,0,0.0454789,0,0,0.0454789
3940208,0,0,0,0,0,0,0
3940218,0,0.00856423,0.0272145,0.0181915,0,0,0.0539703
3940228,0,0.00856423,0,0.0181915,0,0,0.0267558
3940238,0,0,0,0.0636704,0,0,0.0636704
3940298,0,0,0,0,0,0,0
3940313,0,0.00856423,0,0.0545746,0,0,0.0631389
3940323,0,0,0,0.0545746,0,0,0.0545746
3940333,0.0354536,0,0.0453575,0.0363831,0,0,0.117194
3940403,0.0354536,0,0.0453575,0.0363831,0,0,0.117194
3940406,0.0265902,0,0.0090715,0,0,0,0.0356617
3940408,0.0531804,0,0,0.0272873,0,0,0.0804677
3940424,0.0531804,0,0,0.0272873,0,0,0.0804677
3940434,0.0088634,0,0,0.0363831,0,0,0.0452465
3940503,0,0,0.018143,0.0181915,0,0,0.0363346
3940506,0,0,0.018143,0.0181915,0,0,0.0363346
3940516,0,0,0.0453575,0.0272873,0,0,0.0726448
3940526,0,0,0,0,0,0,0
3940536,0,0,0,0,0,0,0
3940546,0.0265902,0.00856423,0,0,0,0,0.0351544
3940604,0,0,0,0.0181915,0,0,0.0181915
3940613,0,0,0.036286,0,0,0,0.036286
3940623,0,0.0342569,0.0090715,0,0,0,0.0433284
3940633,0.044317,0.0256927,0.018143,0,0,0,0.0881527
3940643,0.044317,0.0256927,0.018143,0,0,0,0.0881527
3940708,0,0,0,0,0,0,0
3940710,0,0,0,0,0,0,0
3940713,0,0,0,0,0,0,0
3940728,0,0,0,0,0,0,0
3940744,0,0,0.0090715,0.0363831,0,0,0.0454546
3940747,0,0,0.0090715,0.0363831,0,0,0.0454546
3940809,0,0,0.0272145,0.0363831,0,0,0.0635976
3940812,0,0,0.0090715,0.0363831,0,0,0.0454546
3940815,0,0,0.0090715,0,0,0,0.0090715
3940848,0,0,0.0090715,0,0,0,0.0090715
3940849,0,0,0.018143,0,0,0,0.018143
3940850,0.0088634,0,0,0,0,0,0.0088634
3940918,0,0.00856423,0.0090715,0.0181915,0,0,0.0358273
3940918,0.0177268,0,0,0,0,0,0.0177268
3940928,0.0088634,0,0,0.00909577,0,0,0.0179592
3940951,0.0088634,0,0.0272145,0.00909577,0,0,0.0451737
3941014,0,0,0,0.081862,0,0,0.081862
3941017,0,0,0,0.081862,0,0,0.081862
3941033,0,0,0.018143,0.0636704,0,0,0.0818134
3941043,0,0,0,0,0,0,0
3941053,0,0,0,0,0,0,0
3941117,0.0265902,0,0,0,0,0,0.0265902
3941121,0.0088634,0,0.0090715,0.00909577,0,0,0.0270307
3941130,0,0,0.0090715,0.0454789,0,0,0.0545504
3941141,0,0,0.036286,0,0,0,0.036286
3941152,0.044317,0,0,0.0636704,0,0,0.107987
3941221,0.044317,0,0,0.0636704,0,0,0.107987
3941228,0,0,0.0090715,0.0272873,0,0,0.0363588
3941234,0,0.00856423,0.018143,0,0,0,0.0267072
3941244,0,0.00856423,0.018143,0,0,0,0.0267072
3941254,0,0,0,0,0,0,0
3941324,0.0177268,0,0,0.0272873,0,0,0.0450141
3941327,0.0177268,0,0,0.0272873,0,0,0.0450141
3941337,0.0265902,0.0342569,0,0.0272873,0,0,0.0881344
3941354,0.0088634,0,0,0,0,0,0.0088634
3941359,0.0088634,0,0,0,0,0,0.0088634
3941363,0,0.00856423,0,0.0181915,0,0,0.0267558
3941432,0,0.00856423,0,0.0181915,0,0,0.0267558
3941434,0,0,0,0,0,0,0
3941445,0.0177268,0,0,0,0,0,0.0177268
3941454,0.0177268,0,0,0,0,0,0.0177268
3941464,0,0,0,0,0,0,0
3941527,0,0,0,0.0363831,0,0,0.0363831
3941548,0,0,0,0.0272873,0,0,0.0272873
3941630,0,0,0.0090715,0,0,0,0.0090715
3941631,0,0,0.0090715,0,0,0,0.0090715
3941636,0,0,0,0,0,0,0
3941650,0,0,0,0,0,0,0
3941660,0,0,0,0,0,0,0
3941671,0,0,0.0272145,0,0,0,0.0272145
3941732,0,0,0,0.0181915,0,0,0.0181915
3941736,0,0,0,0.0181915,0,0,0.0181915
3941737,0,0,1.36073,6.25789,16.0697,15,7.61862
3941747,0,0,2.0683,8.63189,15.3352,15,10.7002
3941758,0,0,2.0683,8.63189,15.3352,15,10.7002
3941769,0.478624,0.479597,0.417289,1.64633,10.1761,5.48706,3.02184
3941836,0,0,0.371932,1.85554,16.6513,15,2.22747
3941837,0,0,0.208645,0.654896,12.9192,15,0.86354
3941848,0.0620438,0,0.036286,0.372927,0,0,0.471257
3941858,0.0620438,0,0.036286,0.372927,0,0,0.471257
3941868,0,0,0,0.181915,0,0,0.181915
3941946,0,0,0.018143,0.0909577,0,0,0.109101
3941952,0,0,0.018143,0.0909577,0,0,0.109101
3941963,0.0177268,0,0,0.0181915,0,0,0.0359183
3941979,0,0,0,0.0181915,0,0,0.0181915
3942038,0.0088634,0,0,0.0454789,0,0,0.0543423
3942040,0.0265902,0,0,0.0636704,0,0,0.0902606
3942049,0.0265902,0,0,0.0636704,0,0,0.0902606
3942066,0.044317,0,0,0.0272873,0,0,0.0716043
3942076,0.0088634,0,0,0,0,0,0.0088634
3942146,0.0088634,0,0,0,0,0,0.0088634
3942148,0.0265902,0,0,0.0727662,0,0,0.0993564
3942152,0.0177268,0,0,0.0363831,0,0,0.0541099
3942167,0.0177268,0,0,0.0363831,0,0,0.0541099
3942177,0.044317,0,0.018143,0,0,0,0.06246
