ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2763845,0.00884495,0.0681704,0,0,0,0,0.0770154
2763848,0.0176899,0.0511278,0.0181721,0,0,0,0.0869898
2763848,0.0176899,0.0085213,0,0,0,0,0.0262112
2763858,0,0.0596491,0.00908605,0,0,0,0.0687352
2763882,0.0176899,0.0426065,0,0,0,0,0.0602964
2763952,0.0176899,0.0255639,0,0,0,0,0.0432538
2763955,0.0176899,0.0255639,0,0,0,0,0.0432538
2763965,0.00884495,0.0255639,0,0,0,0,0.0344089
2763970,0,0.0170426,0,0,0,0,0.0170426
2763991,0.0176899,0.0085213,0,0,0,0,0.0262112
2764050,0.0530697,0.0681704,0,0,0,0,0.12124
2764051,0,0.0511278,0.0545163,0,0,0,0.105644
2764061,0,0.0511278,0.0545163,0,0,0,0.105644
2764073,0.00884495,0.085213,0,0,0,0,0.094058
2764083,0,0.085213,0,0,0,0,0.085213
2764152,0,0.0085213,0,0,0,0,0.0085213
2764155,0,0.0511278,0,0,0,0,0.0511278
2764165,0,0.0170426,0,0,0,0,0.0170426
2764175,0,0.0170426,0,0,0,0,0.0170426
2764185,0,0.0170426,0.0272582,0,0,0,0.0443008
2764255,0,0,0.0272582,0,0,0,0.0272582
2764257,0.0265349,0.085213,0.0181721,0,0,0,0.12992
2764267,0,0.0340852,0.00908605,0,0,0,0.0431713
2764277,0,0.0340852,0.00908605,0,0,0,0.0431713
2764287,0.0176899,0.0426065,0.0181721,0,0,0,0.0784685
2764297,0,0.0255639,0,0,0,0,0.0255639
2764357,0,0.0255639,0,0,0,0,0.0255639
2764366,0,0.0085213,0,0.411069,0,0,0.419591
2764376,0.344953,3.73233,0.236237,0.411069,18.8493,-10.8898,4.72459
2764479,0,0,0,0,0,0,0
2764485,0,0,0,0,0,0,0
2764487,0.00884495,0.0511278,0.0545163,0,0,0,0.114489
2764501,0.00884495,0.0511278,0.0545163,0,0,0,0.114489
2764572,0,0.0766917,0,0,0,0,0.0766917
2764574,0.00884495,0.0170426,0,0,0,0,0.0258876
2764581,0.00884495,0.0766917,0,0,0,0,0.0855367
2764589,0.0265349,0.0681704,0.00908605,0,0,0,0.103791
2764600,0.0530697,0.0340852,0,0,0,0,0.0871549
