ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2721875,0,0,0.0363248,0,0,0,0.0363248
2721885,0.00885878,0.00855561,0.0363248,0,0,0,0.0537392
2721895,0.00885878,0.00855561,0.0363248,0,0,0,0.0537392
2721905,0,0,0.0181624,0,0,0,0.0181624
2721918,0,0,0,0,0,0,0
2721928,0,0,0,0,0,0,0
2721938,0,0.00855561,0.0272436,0,0,0,0.0357992
2721948,0,0.00855561,0.0272436,0,0,0,0.0357992
2721958,0,0.0171112,0,0,0,0,0.0171112
2721968,0,0.0171112,0,0,0,0,0.0171112
2721990,0,0,0.045406,0,0,0,0.045406
2722000,0,0.0171112,0.0363248,0,0,0,0.053436
2722007,0,0.0171112,0.0363248,0,0,0,0.053436
2722025,0,0,0,0.0091104,0,0,0.0091104
2722028,0,0,0,0.0091104,0,0,0.0091104
2722039,0,0,0,0.0546624,0,0,0.0546624
2722050,0,0,0.0090812,0,0,0,0.0090812
2722060,0,0,0.0090812,0,0,0,0.0090812
2722071,0,0.00855561,0.0090812,0.0091104,0,0,0.0267472
2722082,0,0,0,0,0,0,0
2722092,0,0,0,0,0,0,0
2722102,0,0,0.0544872,0.0273312,0,0,0.0818184
2722113,0,0,0.0544872,0.0273312,0,0,0.0818184
2722123,0,0,0.0090812,0,0,0,0.0090812
2722133,0,0,0.0272436,0,0,0,0.0272436
2722149,0,0.0342224,0.0090812,0,0,0,0.0433036
2722159,0,0,0,0,0,0,0
2722169,0,0,0,0,0,0,0
2722179,0,0,0,0,0,0,0
2722189,0,0,0,0,0,0,0
2722217,0,0,0,0,0,0,0
2722223,0,0,0.0363248,0,0,0,0.0363248
2722228,0,0,0,0,0,0,0
2722238,0,0.00855561,0.0817308,0,0,0,0.0902864
2722260,0.00885878,0,0.0363248,0,0,0,0.0451836
2722271,0.00885878,0,0.0363248,0,0,0,0.0451836
2722280,0,0.0171112,0.0363248,0,0,0,0.053436
2722290,0,0,0.0363248,0,0,0,0.0363248
2722308,0,0,0.0544872,0,0,0,0.0544872
2722323,0,0,0,0.0182208,0,0,0.0182208
2722340,0,0,0,0,0,0,0
2722350,0,0,0,0,0,0,0
2722360,0,0.0256668,0.0090812,0.0546624,0,0,0.0894104
2722371,0,0.00855561,0,0,0,0,0.00855561
2722381,0,0.00855561,0,0,0,0,0.00855561
2722392,0,0,0.0363248,0.0182208,0,0,0.0545456
2722402,0,0,0.0090812,0,0,0,0.0090812
2722419,0.0177176,0,0,0,0,0,0.0177176
2722444,0,0,0.0090812,0,0,0,0.0090812
2722454,0,0,0.0090812,0,0,0,0.0090812
2722470,0,0,0.0181624,0,0,0,0.0181624
2722480,0,0.0171112,0.0363248,0,0,0,0.053436
2722492,0,0.0171112,0.0363248,0,0,0,0.053436
2722505,0,0,0,0.0091104,0,0,0.0091104
2722523,0,0,0.0090812,0,0,0,0.0090812
2722534,0,0,0,0,0,0,0
2722544,0,0,0,0,0,0,0
2722554,0,0.0171112,0.0181624,0.0273312,0,0,0.0626048
2722584,0,0,0.0181624,0,0,0,0.0181624
2722590,0,0,0,0.0091104,0,0,0.0091104
2722607,0,0,0.0181624,0,0,0,0.0181624
2722617,0.0354351,0,0.0090812,0,0,0,0.0445163
2722635,0,0.00855561,0.0544872,0,0,0,0.0630428
2722645,0,0,0.0181624,0,0,0,0.0181624
2722668,0,0,0,0,0,0,0
2722684,0,0,0.0272436,0.0091104,0,0,0.036354
2722695,0,0,0,0,0,0,0
2722707,0,0,0,0,0,0,0
2722717,0,0,0.0272436,0.0091104,0,0,0.036354
2722727,0.00885878,0,0,0.0364416,0,0,0.0453004
2722749,0,0,0.0181624,0,0,0,0.0181624
2722759,0,0,0.0090812,0,0,0,0.0090812
2722775,0,0,0,0.0182208,0,0,0.0182208
2722799,0,0,0,0.0273312,0,0,0.0273312
2722809,0,0,0.0363248,0,0,0,0.0363248
2722826,0,0,0,0.0182208,0,0,0.0182208
2722845,0,0,0.0363248,0.0273312,0,0,0.063656
2722854,0,0,0.0363248,0.0273312,0,0,0.063656
2722855,0,0,0,0,0,0,0
2722883,0,0,0.0181624,0,0,0,0.0181624
2722895,0,0,0,0,0,0,0
2722901,0,0,0,0,0,0,0
2722909,0,0,0,0.0091104,0,0,0.0091104
2722918,0,0.0427781,0.0272436,0,0,0,0.0700216
2722953,0,0,0.0181624,0.0182208,0,0,0.0363832
2722961,0,0,0.0181624,0.0182208,0,0,0.0363832
2722984,0,0,0.0090812,0,0,0,0.0090812
2722985,0,0,0.0090812,0,0,0,0.0090812
2722988,0,0,0,0.0273312,0,0,0.0273312
2723008,0,0,0.0181624,0.0091104,0,0,0.0272728
2723009,0,0,0.0181624,0.0091104,0,0,0.0272728
2723035,0,0,0.0272436,0,0,0,0.0272436
2723038,0,0,0.0272436,0,0,0,0.0272436
2723054,0,0.00855561,0.0272436,0,0,0,0.0357992
2723070,0,0,0,0,0,0,0
2723080,0,0,0.0090812,0.0182208,0,0,0.027302
2723103,0,0,0,0,0,0,0
2723113,0,0,0.0090812,0.0273312,0,0,0.0364124
2723123,0,0,0.0090812,0.0273312,0,0,0.0364124
2723133,0,0,0.0998932,0,0,0,0.0998932
2723149,0,0.00855561,0,0,0,0,0.00855561
2723159,0,0,0.0635684,0.0273312,0,0,0.0908996
2723169,0,0,0.0635684,0.0273312,0,0,0.0908996
2723179,0,0,0,0,0,0,0
2723199,0,0,0,0,0,0,0
2723201,0,0,0.0090812,0.0273312,0,0,0.0364124
2723210,0,0.0342224,0.0817308,0,0,0,0.115953
2723220,0,0.0342224,0.0817308,0,0,0,0.115953
2723230,0,0,0.0090812,0.0091104,0,0,0.0181916
2723240,0,0,0.0363248,0,0,0,0.0363248
2723263,0,0.0256668,0.045406,0,0,0,0.0710728
2723285,0,0,0,0,0,0,0
2723322,0,0.00855561,0,0,0,0,0.00855561
2723323,0,0.00855561,0,0,0,0,0.00855561
2723333,0,0,0.0635684,0,0,0,0.0635684
2723343,0,0,0,0,0,0,0
2723352,0,0,0,0,0,0,0
2723364,0,0,0.0363248,0,0,0,0.0363248
2723374,0.0442939,0,0,0,0,0,0.0442939
2723384,0.0442939,0,0,0,0,0,0.0442939
2723394,0,0,0.0090812,0.0546624,0,0,0.0637436
2723404,0,0,0,0,0,0,0
2723420,0,0.00855561,0.0272436,0,0,0,0.0357992
2723443,0,0,0.0090812,0.0273312,0,0,0.0364124
2723453,0,0,0,0,0,0,0
2723463,0,0,0,0,0,0,0
2723474,0,0,0.0181624,0,0,0,0.0181624
2723484,0,0,0,0.0273312,0,0,0.0273312
2723507,0,0,0,0,0,0,0
2723523,0,0,0.0726496,0,0,0,0.0726496
2723533,0,0,0,0,0,0,0
2723543,0,0,0,0,0,0,0
2723560,0,0,0.0090812,0,0,0,0.0090812
2723572,0,0,0.0181624,0.0364416,0,0,0.054604
2723582,0,0,0.0272436,0,0,0,0.0272436
2723592,0,0,0.0272436,0,0,0,0.0272436
2723603,0,0,0,0,0,0,0
2723613,0,0.00855561,0.0272436,0,0,0,0.0357992
2723623,0,0.00855561,0.0272436,0,0,0,0.0357992
2723633,0,0,0.0181624,0.0273312,0,0,0.0454936
2723643,0,0,0.0181624,0.0273312,0,0,0.0454936
2723653,0,0,0.0090812,0,0,0,0.0090812
2723686,0,0,0.0090812,0.0273312,0,0,0.0364124
2723692,0,0,0,0,0,0,0
2723693,0,0,0,0,0,0,0
2723715,0,0.0256668,0.045406,0,0,0,0.0710728
2723726,0,0.0256668,0.045406,0.0546624,0,0,0.125735
2723735,0,0,0.045406,0.0546624,0,0,0.100068
2723745,0,0,0.0363248,0.0091104,0,0,0.0454352
2723768,0,0,0.0544872,0,0,0,0.0544872
2723773,0,0,0.236111,1.99518,19.7091,15,2.23129
2723788,0,0,0.236111,1.99518,19.7091,15,2.23129
2723798,0.372069,2.43835,0.535791,0.327974,12.6454,-7.94729,3.67418
2723814,0.0620115,0,0,0,0,0,0.0620115
2723824,0,0,0,0,0,0,0
2723834,0,0,0,0,0,0,0
2723844,0,0.00855561,0.0363248,0.0546624,0,0,0.0995428
2723854,0.0354351,0.0171112,0,0,0,0,0.0525463
2723879,0,0,0,0,0,0,0
2723889,0,0,0,0,0,0,0
2723899,0,0,0,0.045552,0,0,0.045552
2723909,0,0,0,0,0,0,0
2723920,0,0,0,0,0,0,0
2723929,0,0.0256668,0.0090812,0,0,0,0.034748
2723939,0,0,0.0817308,0.0364416,0,0,0.118172
2723944,0,0,0.0817308,0.0364416,0,0,0.118172
2723959,0,0.0342224,0,0,0,0,0.0342224
2723969,0,0.0342224,0,0,0,0,0.0342224
2723979,0,0,0,0.0182208,0,0,0.0182208
2723989,0,0,0,0.0091104,0,0,0.0091104
2724005,0.00885878,0,0.0090812,0,0,0,0.01794
2724015,0,0,0.0090812,0,0,0,0.0090812
2724027,0,0,0.0090812,0,0,0,0.0090812
2724054,0,0,0.045406,0,0,0,0.045406
2724060,0,0,0,0,0,0,0
2724070,0,0,0,0.045552,0,0,0.045552
2724082,0,0,0,0.045552,0,0,0.045552
2724092,0,0,0,0,0,0,0
2724105,0,0,0.0090812,0,0,0,0.0090812
2724108,0,0,0.0090812,0,0,0,0.0090812
2724118,0,0,0.0363248,0.0364416,0,0,0.0727664
2724129,0,0,0.0363248,0.0364416,0,0,0.0727664
2724139,0,0,0,0,0,0,0
2724149,0,0,0.045406,0.0273312,0,0,0.0727372
2724159,0,0,0.045406,0.0273312,0,0,0.0727372
2724169,0,0,0.0181624,0.0182208,0,0,0.0363832
2724179,0.0354351,0,0,0,0,0,0.0354351
2724202,0,0,0,0,0,0,0
2724211,0,0,0,0,0,0,0
2724221,0,0,0,0.045552,0,0,0.045552
2724232,0,0,0.0090812,0,0,0,0.0090812
2724248,0.00885878,0.0171112,0,0,0,0,0.02597
2724258,0,0.00855561,0.0817308,0.0546624,0,0,0.144949
2724268,0,0.00855561,0.0817308,0.0546624,0,0,0.144949
2724288,0,0.0256668,0,0,0,0,0.0256668
2724290,0,0.0256668,0,0,0,0,0.0256668
2724302,0,0,0,0.874598,25,15,0.874598
2724324,1.29338,3.64469,0,0,11.904,-15,4.93807
2724339,0.513809,0.479114,0,0,-0.873557,-15,0.992923
2724348,0.513809,0.479114,0,0,-0.873557,-15,0.992923
2724358,0,0,0,0,0,0,0
2724368,0,0,0,0,0,0,0
2724378,0,0,0.145299,0.0728832,0,0,0.218182
2724388,0,0.0770005,0,0,0,0,0.0770005
2724420,0,0.0770005,0,0,0,0,0.0770005
2724427,0,0,0,0,0,0,0
2724430,0,0,0.0181624,0.0364416,0,0,0.054604
2724439,0,0.00855561,0.0544872,0.0273312,0,0,0.090374
2724449,0,0.00855561,0.0544872,0.0273312,0,0,0.090374
2724459,0,0.0171112,0.0090812,0.0364416,0,0,0.062634
2724469,0,0,0.0544872,0,0,0,0.0544872
2724479,0,0,0.0544872,0,0,0,0.0544872
2724489,0,0,0.0363248,0.0182208,0,0,0.0545456
2724499,0,0,0.0090812,0,0,0,0.0090812
2724522,0,0.0171112,0.0090812,0,0,0,0.0261924
2724544,0,0.0171112,0.0090812,0,0,0,0.0261924
2724554,0,0,0.0181624,0.045552,0,0,0.0637144
2724564,0,0,0.0181624,0.045552,0,0,0.0637144
2724574,0,0.0342224,0.0272436,0,0,0,0.061466
2724594,0,0,0.0544872,0,0,0,0.0544872
2724608,0,0,0,0,0,0,0
2724624,0,0,0,0.0364416,0,0,0.0364416
2724634,0,0,0,0.0546624,0,0,0.0546624
2724650,0,0,0,0,0,0,0
2724660,0.00885878,0.0171112,0.0363248,0,0,0,0.0622948
2724670,0.00885878,0.0171112,0.0363248,0,0,0,0.0622948
2724682,0,0,0,0.0182208,0,0,0.0182208
2724704,0,0,0,0,0,0,0
2724715,0,0.0427781,0,0,0,0,0.0427781
2724733,0,0.0171112,0,0.0273312,0,0,0.0444424
2724743,0,0,0.0544872,0.0273312,0,0,0.0818184
2724753,0,0,0.0544872,0.0273312,0,0,0.0818184
2724763,0,0.00855561,0.045406,0,0,0,0.0539616
2724789,0,0,0,0,0,0,0
2724794,0,0,0.0090812,0,0,0,0.0090812
2724817,4.3851,10.7715,0,0,10.534,-15,15.1566
2724827,0.29234,0.222446,0,0,-3.39432,-15,0.514786
2724837,0.29234,0.222446,0,0,-3.39432,-15,0.514786
2724847,0.0177176,0.188223,0.15438,0.191318,9.40124,3.80024,0.55164
2724857,0.0177176,0.188223,0.15438,0.191318,9.40124,3.80024,0.55164
2724867,0.0177176,0,0,0,0,0,0.0177176
2724877,0,0,0.0363248,0.0273312,0,0,0.063656
2724893,0.0177176,0.0598893,0.045406,0,0,0,0.123013
2724904,0,0,0,0,0,0,0
2724915,0,0,0,0,0,0,0
2724926,0,0,0,0,0,0,0
2724942,0,0,0,0,0,0,0
2724953,0,0,0.0181624,0,0,0,0.0181624
2724962,0,0,0.0181624,0,0,0,0.0181624
2724972,0,0.0171112,0,0,0,0,0.0171112
2724994,0,0,0.0181624,0,0,0,0.0181624
2725006,0,0,0,0.0182208,0,0,0.0182208
2725015,0,0,0,0.0182208,0,0,0.0182208
2725023,0,0.00855561,0,0.0091104,0,0,0.017666
2725033,0,0.0513337,0.0272436,0.0182208,0,0,0.096798
2725055,0,0,0.0090812,0,0,0,0.0090812
2725078,0,0.0171112,0,0,0,0,0.0171112
2725088,0,0.0256668,0.0181624,0.045552,0,0,0.0893812
2725099,0,0.0256668,0.0181624,0.045552,0,0,0.0893812
2725103,0,0.00855561,0,0,0,0,0.00855561
2725113,0,0.0342224,0.0090812,0.0273312,0,0,0.0706348
2725157,0,0.0598893,0,0,0,0,0.0598893
2725163,0,0.0598893,0,0,0,0,0.0598893
2725179,0,0.0171112,0.0363248,0,0,0,0.053436
2725190,0,0.00855561,0,0,0,0,0.00855561
2725195,0,0.0256668,0.0090812,0,0,0,0.034748
2725213,0,0.0256668,0.0090812,0,0,0,0.034748
2725217,0,0.0427781,0.0090812,0,0,0,0.0518593
2725225,0,0.0427781,0.0090812,0,0,0,0.0518593
2725237,0,0,0,0.0728832,0,0,0.0728832
2725247,0.00885878,0.0427781,0.045406,0,0,0,0.0970428
2725269,0,0.0171112,0.0272436,0,0,0,0.0443548
2725279,0.00885878,0.102667,0.0635684,0.136656,0,0,0.31175
2725298,0.0442939,0.385003,0.127137,0.373526,15.7829,1.15112,0.929959
2725320,0.256905,1.01812,0.236111,0.847267,14.5477,-1.2189,2.3584
2725331,0.531527,2.04479,0.617521,2.33226,14.6034,1.01373,5.5261
2725335,0.531527,2.04479,0.617521,2.33226,14.6034,1.01373,5.5261
2725346,0.540386,2.13035,1.07158,4.16345,14.8051,4.86537,7.90577
2725355,0.416363,1.46301,1.13515,4.52787,14.7147,7.52476,7.54239
2725379,1.30224,1.71112,1.81624,6.02197,10.6312,6.66933,10.8516
2725389,1.30224,1.71112,1.81624,6.02197,10.6312,6.66933,10.8516
2725399,4.83689,3.14846,2.30662,7.85316,5.31562,1.79753,18.1451
2725409,2.94112,3.33669,2.53365,8.41801,9.11219,4.06907,17.2295
2725436,2.24127,4.36336,2.91506,7.95338,10.2449,3.66032,17.4731
2725439,3.97759,5.97182,7.73718,9.00107,3.05208,3.81572,26.6877
2725453,3.97759,5.97182,7.73718,9.00107,3.05208,3.81572,26.6877
2725457,5.61647,6.17715,9.19925,10.4405,1.43315,3.74418,31.4334
2725467,5.61647,6.17715,9.19925,10.4405,1.43315,3.74418,31.4334
2725477,5.58103,5.1847,10.7703,10.9871,-0.13797,5.06948,32.5232
2725488,5.77593,4.78259,11.0972,10.9507,-0.873955,5.2855,32.6064
2725524,5.51902,4.76548,10.4706,10.8505,-0.295584,5.23797,31.6056
2725531,5.34184,4.84248,10.1982,10.3403,-0.290705,5.05528,30.7228
2725540,5.74049,4.86814,10.289,10.1217,-0.83794,4.73996,31.0193
2725552,6.28088,5.04781,11.3697,10.6045,-1.50004,4.79485,33.3028
2725558,6.28088,5.04781,11.3697,10.6045,-1.50004,4.79485,33.3028
2725568,6.44033,5.11626,12.0235,10.9325,-1.74944,4.95445,34.5126
2725590,6.29859,4.81681,12.196,10.8414,-2.0763,5.23618,34.1528
2725601,6.30745,4.61147,12.3141,10.7776,-2.37608,5.36866,34.0106
2725612,6.30745,4.61147,12.3141,10.7776,-2.37608,5.36866,34.0106
2725622,6.56436,4.60292,13.5037,11.0327,-3.10366,5.61671,35.7037
2725632,6.75039,4.61147,14.5935,11.6249,-3.39775,5.92991,37.5802
2725642,6.75039,4.61147,14.5935,11.6249,-3.39775,5.92991,37.5802
2725652,6.90099,4.88525,15.5107,12.8001,-2.9468,6.18171,40.097
2725663,6.90099,4.88525,15.5107,12.8001,-2.9468,6.18171,40.097
2725673,7.60969,5.56115,16.5641,14.0391,-2.61201,5.97353,43.7741
2725683,8.30068,6.05737,17.5699,15.0139,-2.55596,5.82394,46.9419
2725693,8.30068,6.05737,17.5699,15.0139,-2.55596,5.82394,46.9419
2725703,8.84106,6.35682,18.4682,15.679,-2.67171,5.76024,49.3451
2725713,8.84106,6.35682,18.4682,15.679,-2.67171,5.76024,49.3451
2725723,9.10683,6.26271,19.6949,16.3623,-3.00269,6.03411,51.4267
2725733,9.38145,6.26271,21.2597,16.5809,-3.64472,6.22507,53.4847
2725749,10.0547,6.44238,22.7278,16.3896,-4.47301,6.10102,55.6145
2725760,10.6394,6.61349,24.1381,15.8065,-5.40122,5.95089,57.1975
2725769,10.6394,6.61349,24.1381,15.8065,-5.40122,5.95089,57.1975
2725779,11.3747,6.8616,26.2051,15.7154,-6.23485,5.90563,60.1568
2725790,11.3747,6.8616,26.2051,15.7154,-6.23485,5.90563,60.1568
2725800,12.1631,6.87016,28.4364,15.2964,-7.34194,5.90275,62.766
2725810,12.7035,6.66482,29.6148,14.3033,-8.43393,5.81873,63.2864
2725820,12.7035,6.66482,29.6148,14.3033,-8.43393,5.81873,63.2864
2725831,13.173,6.67338,29.9432,13.2738,-9.18479,5.55884,63.0634
2725841,13.8374,6.81027,29.5665,12.4175,-9.65014,5.10994,62.6316
2725863,14.4841,7.04982,28.9193,11.7889,-9.86661,4.62089,62.2421
2725891,14.8828,7.26371,28.8227,11.6977,-9.87124,4.39801,62.6669
2725897,15.1928,7.52038,29.0159,12.1168,-9.62141,4.3275,63.8459
2725900,15.1928,7.52038,29.0159,12.1168,-9.62141,4.3275,63.8459
2725915,15.2814,7.77705,28.417,12.6726,-9.06062,4.2163,64.1481
2725925,15.2105,7.91394,27.8858,13.1554,-8.58207,4.18839,64.1657
2725935,15.2105,7.91394,27.8858,13.1554,-8.58207,4.18839,64.1657
2725945,15.1131,7.93105,28.0693,13.6018,-8.36337,4.31745,64.7153
2725950,15.1131,7.93105,28.0693,13.6018,-8.36337,4.31745,64.7153
2725966,15.0068,8.06794,28.108,14.3033,-7.91904,4.42917,65.486
2725976,14.6701,8.32461,27.8278,14.7406,-7.40993,4.47821,65.5632
2725992,14.6613,8.45294,27.6347,15.3328,-7.00277,4.50652,66.0817
2726002,14.7499,8.58983,28.6489,16.2529,-6.7979,4.73951,68.2415
2726012,14.7499,8.58983,28.6489,16.2529,-6.7979,4.73951,68.2415
2726022,14.8562,8.60695,29.4892,17.096,-6.6534,4.95132,70.0484
2726044,14.4664,8.50428,28.871,17.461,-6.26675,5.05638,69.3027
2726054,13.9526,8.66683,28.504,18.8537,-5.33605,5.30279,69.9771
2726077,13.8729,9.06895,29.3057,20.8226,-4.54597,5.5809,73.0701
2726087,13.5894,8.91495,29.6341,21.9271,-4.1792,5.8847,74.0655
2726097,13.5894,8.91495,29.6341,21.9271,-4.1792,5.8847,74.0655
2726108,13.0047,8.42728,30.6676,22.3881,-4.3151,6.36825,74.4877
2726124,12.5352,8.14494,31.4693,22.4938,-4.47655,6.68842,74.6432
2726134,12.2163,8.10216,32.0199,22.9644,-4.37221,6.9053,75.3027
2726147,12.2163,8.10216,32.0199,22.9644,-4.37221,6.9053,75.3027
2726157,11.9594,8.0765,31.5659,22.6475,-4.31025,6.90462,74.2492
2726167,11.5164,7.98239,30.2909,21.6294,-4.26901,6.80942,71.4191
2726183,11.1709,7.78561,28.9483,20.2271,-4.4423,6.65302,68.1319
2726205,10.8077,7.58883,28.3784,19.1514,-4.71961,6.6286,65.9264
2726219,10.7723,7.60594,28.3977,18.652,-4.93371,6.57323,65.4279
2726259,10.8343,7.65727,28.5523,18.6616,-4.97208,6.55706,65.7054
2726265,10.9495,7.75138,29.325,19.161,-4.97198,6.64978,67.1869
2726288,11.1621,7.89683,33.0051,22.1,-4.77669,7.29051,74.164
