ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
5152520,0.0705029,0,0,0.0544872,0,0,0.12499
5152530,0.114567,0.0341709,0,0.0726496,0,0,0.221388
5152591,0.12338,0,0,0.0998932,0,0,0.223273
5152593,0.12338,0,0,0.0998932,0,0,0.223273
5152603,0.0793157,0.0170854,0,0.0363248,0,0,0.132726
5152613,0.0793157,0,0,0.0635684,0,0,0.142884
5152624,0.0881286,0.00854271,0,0,0,0,0.0966713
5152634,0.0881286,0.00854271,0,0,0,0,0.0966713
5152694,0.0440643,0,0,0.0726496,0,0,0.116714
5152704,0.00881286,0.0256281,0,0.0635684,0,0,0.0980094
5152721,0.0969414,0,0,0.0363248,0,0,0.133266
5152796,0.0969414,0,0,0.0363248,0,0,0.133266
5152799,0.0440643,0.00854271,0,0.045406,0,0,0.098013
5152803,0.105754,0,0,0.0272436,0,0,0.132998
5152818,0.105754,0,0,0.0272436,0,0,0.132998
5152899,0.0793157,0,0.0273165,0.045406,0,0,0.152038
5152902,0.114567,0.00854271,0,0.045406,0,0,0.168516
5152919,0.114567,0,0,0.090812,0,0,0.205379
5152937,0.0881286,0.0341709,0,0.0544872,0,0,0.176787
5153001,0.0881286,0,0,0.090812,0,0,0.178941
5153017,0.12338,0,0,0.0635684,0,0,0.186948
5153029,0.00881286,0.0170854,0,0.090812,0,0,0.11671
5153109,0.12338,0,0,0.0726496,0,0,0.19603
5153113,0.0705029,0.0256281,0,0.0635684,0,0,0.159699
5153123,0.0793157,0.00854271,0,0.090812,0,0,0.17867
5153133,0.0793157,0.00854271,0,0.108974,0,0,0.196833
5153138,0.0176257,0,0,0.0635684,0,0,0.0811941
5153218,0.0793157,0.0256281,0,0.090812,0,0,0.195756
5153226,0.0793157,0.0256281,0,0.090812,0,0,0.195756
5153242,0.0705029,0.0170854,0,0.045406,0,0,0.132994
5153309,0.0705029,0.0170854,0,0.0181624,0,0,0.105751
5153311,0.0793157,0.0341709,0,0.0635684,0,0,0.177055
5153321,0.0793157,0.00854271,0,0.0726496,0,0,0.160508
5153344,0.0264386,0.0170854,0,0.145299,0,0,0.188823
5153414,0.0705029,0,0,0.0635684,0,0,0.134071
5153417,0.0705029,0,0,0.0635684,0,0,0.134071
5153420,0.0881286,0,0,0.0544872,0,0,0.142616
5153435,0.0528771,0.00854271,0,0.0363248,0,0,0.0977446
5153445,0.0528771,0.00854271,0,0.0363248,0,0,0.0977446
5153515,0.105754,0.0256281,0,0.0363248,0,0,0.167707
5153518,0.0969414,0.0512563,0,0.0635684,0,0,0.211766
5153521,0.06169,0.0170854,0,0.045406,0,0,0.124181
5153537,0.0352514,0,0,0.0998932,0,0,0.135145
5153542,0.0793157,0.0170854,0,0.045406,0,0,0.141807
5153615,0.0969414,0.0256281,0,0.0363248,0,0,0.158894
5153618,0.0969414,0.0256281,0,0.0363248,0,0,0.158894
5153628,0.0440643,0,0,0.0817308,0,0,0.125795
5153638,0.0440643,0,0,0.0817308,0,0,0.125795
5153648,0.0881286,0,0,0.0635684,0,0,0.151697
5153718,0.0881286,0,0,0.0272436,0,0,0.115372
5153722,0,0.0170854,0,0.090812,0,0,0.107897
5153725,0.114567,0,0,0.0726496,0,0,0.187217
5153736,0.114567,0,0,0.0726496,0,0,0.187217
5153745,0.0705029,0,0.00910552,0.045406,0,0,0.125014
5153755,0.0793157,0.0256281,0,0.090812,0,0,0.195756
5153825,0.0793157,0.0256281,0,0.090812,0,0,0.195756
5153828,0.06169,0,0,0.0363248,0,0,0.0980148
5153840,0.105754,0.0341709,0,0.0726496,0,0,0.212575
5153858,0.0352514,0,0,0.0544872,0,0,0.0897386
5153928,0.0881286,0,0,0.045406,0,0,0.133535
5153959,0.0881286,0,0,0.045406,0,0,0.133535
5154030,0.0352514,0.0427136,0,0.0817308,0,0,0.159696
5154033,0.0352514,0.0427136,0,0.0817308,0,0,0.159696
5154037,0.06169,0,0,0.0726496,0,0,0.13434
5154051,0.105754,0.0256281,0,0.0272436,0,0,0.158626
5154063,0.0440643,0.0427136,0,0.0544872,0,0,0.141265
5154133,0.0440643,0.0427136,0,0.0544872,0,0,0.141265
5154135,0.0440643,0,0,0.0635684,0,0,0.107633
5154138,0.141006,0.0427136,0,0,0,0,0.183719
5154149,0.141006,0.0170854,0,0,0,0,0.158091
5154159,0.0705029,0.0341709,0,0.045406,0,0,0.15008
5154234,0.0705029,0.0341709,0,0.045406,0,0,0.15008
5154237,0.0793157,0.00854271,0,0.0635684,0,0,0.151427
5154240,0.0969414,0,0,0.0363248,0,0,0.133266
5154250,0.0969414,0,0,0.0363248,0,0,0.133266
5154261,0.0881286,0,0,0.0635684,0,0,0.151697
5154270,0.105754,0.0512563,0,0.090812,0,0,0.247823
5154333,0.105754,0.0512563,0,0.090812,0,0,0.247823
5154334,0.105754,0,0,0.0635684,0,0,0.169323
5154344,0.0528771,0,0,0.045406,0,0,0.0982831
5154354,0.0528771,0,0,0.127137,0,0,0.180014
5154363,0.0528771,0,0,0.127137,0,0,0.180014
5154374,0.105754,0,0,0.0544872,0,0,0.160241
5154435,0.105754,0.0170854,0,0.0363248,0,0,0.159164
5154437,0.105754,0.0170854,0,0.0363248,0,0,0.159164
5154446,0.0528771,0.00854271,0,0.0817308,0,0,0.143151
5154456,0.0881286,0.00854271,0,0.118056,0,0,0.214727
5154468,0.114567,0.00854271,0,0.045406,0,0,0.168516
5154473,0.114567,0.00854271,0,0.045406,0,0,0.168516
5154544,0.0793157,0.00854271,0,0.0272436,0,0,0.115102
5154547,0.132193,0.0170854,0,0.045406,0,0,0.194684
5154556,0.0881286,0,0,0.0363248,0,0,0.124453
5154569,0.0793157,0.0170854,0,0.045406,0,0,0.141807
5154573,0.0793157,0.0170854,0,0.045406,0,0,0.141807
5154642,0.0793157,0.0256281,0,0.090812,0,0,0.195756
5154644,0.0969414,0,0,0.0363248,0,0,0.133266
5154654,0.0969414,0.0341709,0,0.0726496,0,0,0.203762
5154754,0.0440643,0.0170854,0,0.090812,0,0,0.151962
5154757,0.06169,0,0,0.045406,0,0,0.107096
5154769,0.0705029,0.0170854,0,0.0544872,0,0,0.142075
5154777,0.0969414,0.538191,2.75897,5.91186,9.65546,12.9525,9.30596
5154845,0,0.418593,0,0.472222,25,0.903037,0.890815
5154847,0,0.418593,0,0.472222,25,0.903037,0.890815
5154858,0.0705029,0.0512563,0,0.0363248,0,0,0.158084
5154869,0.105754,0,0,0.0272436,0,0,0.132998
5154879,0.105754,0,0,0.0272436,0,0,0.132998
5154949,0.0881286,0.00854271,0,0.0363248,0,0,0.132996
5154953,0.0881286,0.0427136,0,0.0181624,0,0,0.149005
5154970,0.0705029,0,0,0.0817308,0,0,0.152234
