ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
5102109,0.0969414,0,0,0.0726496,0,0,0.169591
5102110,0.0969414,0,0,0.0726496,0,0,0.169591
5102147,0.0881286,0,0,0.0635684,0,0,0.151697
5102211,0.0881286,0,0,0.0635684,0,0,0.151697
5102212,0.12338,0.0170854,0,0.0090812,0,0,0.149547
5102222,0.0793157,0,0,0.0635684,0,0,0.142884
5102233,0.0793157,0,0,0.0635684,0,0,0.142884
5102246,0.149819,0.0170854,0,0.0181624,0,0,0.185066
5102247,0.12338,0,0,0.090812,0,0,0.214192
5102316,0.12338,0,0,0.090812,0,0,0.214192
5102317,0.0881286,0.0256281,0,0.0363248,0,0,0.150082
5102317,0.0793157,0,0,0.0090812,0,0,0.0883969
5102333,0.105754,0,0.00910552,0.0635684,0,0,0.178428
5102353,0.105754,0,0.00910552,0.0635684,0,0,0.178428
5102356,0.0264386,0.00854271,0,0.0544872,0,0,0.0894685
5102357,0.0528771,0,0,0.0726496,0,0,0.125527
5102416,0.0528771,0,0,0.0726496,0,0,0.125527
5102418,0.0881286,0,0,0.0363248,0,0,0.124453
5102419,0.06169,0,0,0.0090812,0,0,0.0707712
5102432,0.12338,0.00854271,0,0.0090812,0,0,0.141004
5102442,0.0881286,0,0,0.0181624,0,0,0.106291
5102453,0.0881286,0,0,0.0181624,0,0,0.106291
5102522,0.105754,0.0170854,0,0.045406,0,0,0.168246
5102525,0.105754,0.0170854,0,0.045406,0,0,0.168246
5102535,0.0705029,0.0256281,0,0.0635684,0,0,0.159699
5102545,0.141006,0,0,0.0635684,0,0,0.204574
5102555,0.141006,0,0,0.0635684,0,0,0.204574
5102625,0.0881286,0.00854271,0,0.0272436,0,0,0.123915
5102628,0.0969414,0,0,0.045406,0,0,0.142347
5102643,0.0881286,0.0427136,0,0.0817308,0,0,0.212573
5102653,0.12338,0.0170854,0,0.045406,0,0,0.185871
5102723,0.141006,0.00854271,0,0.090812,0,0,0.24036
5102726,0.105754,0.0427136,0,0.0544872,0,0,0.202955
5102736,0.12338,0,0,0.0817308,0,0,0.205111
