ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
718548,0.052932,0.059799,0,0.0272727,0,0,0.140004
718550,0,0,0.0181721,0,0,0,0.0181721
718552,0.035288,0.0256281,0,0.0363636,0,0,0.0972798
718562,0.035288,0.0256281,0,0.0363636,0,0,0.0972798
718572,0,0.00854271,0.0181721,0.0181818,0,0,0.0448966
718648,0.035288,0,0.0272582,0.00909091,0,0,0.0716371
718651,0.017644,0.0512563,0,0,0,0,0.0689003
718653,0.008822,0.0341709,0.00908605,0.0363636,0,0,0.0884425
718664,0.008822,0.0768844,0,0.0454545,0,0,0.131161
718748,0,0.0341709,0.0181721,0.0545455,0,0,0.106888
718751,0,0,0,0,0,0,0
718755,0.079398,0,0,0.0272727,0,0,0.106671
718769,0.061754,0.0170854,0,0.0181818,0,0,0.0970213
718779,0,0,0.00908605,0.00909091,0,0,0.018177
718851,0.017644,0.0170854,0.0181721,0.0272727,0,0,0.0801743
718853,0.017644,0.0170854,0.0181721,0.0272727,0,0,0.0801743
718856,0,0,0,0,0,0,0
718868,0,0,0,0,0,0,0
718878,0,0.00854271,0,0.0454545,0,0,0.0539973
718955,0.017644,0.0683417,0,0,0,0,0.0859857
718957,0.008822,0.00854271,0,0.0272727,0,0,0.0446374
718958,0.008822,0.0341709,0,0.0272727,0,0,0.0702656
718969,0.008822,0.0341709,0,0.0272727,0,0,0.0702656
718980,0,0.0512563,0,0.0454545,0,0,0.0967108
718989,0.008822,0.0427136,0.00908605,0.00909091,0,0,0.0697125
719077,0.008822,0.0427136,0.00908605,0.00909091,0,0,0.0697125
719083,0.017644,0.00854271,0,0,0,0,0.0261867
719095,0.04411,0,0,0.00909091,0,0,0.0532009
719159,0.035288,0.0341709,0,0,0,0,0.0694589
719161,0.052932,0.0512563,0.0272582,0.0363636,0,0,0.16781
719162,0.017644,0,0,0.00909091,0,0,0.0267349
719177,0.035288,0.00854271,0,0.0363636,0,0,0.0801944
719197,0.017644,0.00854271,0.00908605,0.0454545,0,0,0.0807273
719261,0.008822,0.059799,0,0,0,0,0.068621
719263,0.070576,0.0256281,0.0454303,0.0363636,0,0,0.177998
719274,0.017644,0.0683417,0.00908605,0,0,0,0.0950718
719284,0.017644,0.0427136,0,0.0181818,0,0,0.0785394
719297,0,0.0170854,0,0,0,0,0.0170854
719366,0.035288,0.0427136,0,0,0,0,0.0780016
719368,0.04411,0.0512563,0,0.00909091,0,0,0.104457
719379,0,0,0.00908605,0.0181818,0,0,0.0272679
719396,0.026466,0,0,0.0454545,0,0,0.0719206
719407,0.017644,0,0,0,0,0,0.017644
719466,0.017644,0,0,0,0,0,0.017644
719476,0,0.00854271,0,0.0181818,0,0,0.0267245
719487,0,0.0170854,0,0,0,0,0.0170854
719509,0.008822,0.0256281,0.0272582,0.0363636,0,0,0.0980719
719568,0.008822,0.0256281,0.0272582,0.0363636,0,0,0.0980719
