ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
678011,0.00883117,0.0767687,0,0.00909577,0,0,0.0946956
678021,0.00883117,0.0426493,0,0,0,0,0.0514804
678032,0.00883117,0.0426493,0,0,0,0,0.0514804
678102,0.0264935,0.0852985,0,0,0,0,0.111792
678104,0.0264935,0.0852985,0,0,0,0,0.111792
678114,0,0.059709,0,0,0,0,0.059709
678126,0,0.0426493,0,0,0,0,0.0426493
678136,0,0.0426493,0,0,0,0,0.0426493
678199,0,0.0682388,0,0.0181915,0,0,0.0864304
678200,0,0.0511791,0,0,0,0,0.0511791
678204,0,0.0511791,0,0.00909577,0,0,0.0602749
678219,0,0.059709,0,0,0,0,0.059709
678229,0,0.059709,0,0,0,0,0.059709
678239,0,0.0682388,0.00910064,0.0272873,0,0,0.104627
678304,0,0.0682388,0.00910064,0.0272873,0,0,0.104627
678306,0,0.0255896,0,0.0181915,0,0,0.0437811
678316,0,0.0852985,0,0,0,0,0.0852985
678328,0,0.0852985,0,0,0,0,0.0852985
678339,0,0.0511791,0,0,0,0,0.0511791
678415,0,0.0852985,0,0.00909577,0,0,0.0943943
678417,0.0176623,0.0511791,0,0,0,0,0.0688415
678427,0.00883117,0.0341194,0,0,0,0,0.0429506
678510,0,0.0426493,0,0.0363831,0,0,0.0790324
678512,0,0.059709,0,0,0,0,0.059709
678522,0,0.0341194,0,0.0181915,0,0,0.052311
678532,0.00883117,0.0511791,0,0,0,0,0.0600103
678543,0,0.0170597,0,0.00909577,0,0,0.0261555
678613,0,0.0170597,0,0.00909577,0,0,0.0261555
678616,0,0.0938284,0.0182013,0.0363831,0,0,0.148413
678619,0,0.0170597,0,0.0181915,0,0,0.0352513
678711,0,0.059709,0,0.0272873,0,0,0.0869963
678714,0,0.0341194,0,0.0545746,0,0,0.0886941
678724,0,0.0852985,0,0,0,0,0.0852985
678734,0.0618182,0.0255896,0,0,0,0,0.0874077
678745,0.0618182,0.0255896,0,0,0,0,0.0874077
678815,0,0.0341194,0,0.0454789,0,0,0.0795983
678818,0.0353247,0.059709,0,0,0,0,0.0950337
678820,0.052987,0.0341194,0,0,0,0,0.0871064
678830,0,0.00852985,0.00910064,0.0454789,0,0,0.0631094
678919,0,0.0511791,0,0,0,0,0.0511791
678921,0,0.0255896,0,0,0,0,0.0255896
678933,0.00883117,0.00852985,0,0.0454789,0,0,0.0628399
678941,0.00883117,0.0255896,0,0,0,0,0.0344207
679022,0,0.0767687,0,0.0181915,0,0,0.0949602
679026,0,0.0767687,0,0.0181915,0,0,0.0949602
679036,0,0.0682388,0,0.0181915,0,0,0.0864304
679046,0.0353247,0.0767687,0,0.00909577,0,0,0.121189
679057,0,0.0511791,0,0,0,0,0.0511791
679127,0,0.0170597,0,0,0,0,0.0170597
679130,0,0.0170597,0,0,0,0,0.0170597
679139,0.00883117,0.059709,0,0.0181915,0,0,0.0867317
679149,0.00883117,0.059709,0,0.0181915,0,0,0.0867317
679154,0,0.0938284,0.0273019,0.0363831,0,0,0.157513
679225,0,0.0938284,0.0273019,0.0363831,0,0,0.157513
679228,0,0,0,0.0181915,0,0,0.0181915
679238,0.0176623,0.0426493,0,0,0,0,0.0603116
679255,0.0176623,0.0341194,0,0.0181915,0,0,0.0699733
679265,0.0264935,0.102358,0,0.0181915,0,0,0.147043
679326,0.0264935,0.102358,0,0.0181915,0,0,0.147043
679328,0.0176623,0.0341194,0,0.0272873,0,0,0.0790691
679339,0,0,0,0,0,0,0
679349,0.0176623,0.904165,2.49358,6.25789,12.0197,12.1411,9.6733
679360,0.0176623,0.904165,2.49358,6.25789,12.0197,12.1411,9.6733
679427,0,1.18565,0.455032,0.673087,15.1669,-0.372966,2.31377
679432,0.158961,0.520321,0,0.154628,15.4689,-9.43724,0.83391
679452,0.203117,0.972403,0.0364026,0.309256,17.1272,-8.18307,1.52118
679462,0.0883117,0.503261,0.00910064,0.0454789,17.4621,-12.4659,0.646153
679539,0,0.059709,0.0273019,0.00909577,0,0,0.0961067
679541,0,0.0511791,0.0364026,0.0272873,0,0,0.114869
679551,0,0.0341194,0,0,0,0,0.0341194
679561,0.0264935,0.0682388,0,0.0454789,0,0,0.140211
679650,0,0.0511791,0,0.0363831,0,0,0.0875622
679653,0,0.0426493,0,0,0,0,0.0426493
679676,0.00883117,0.0255896,0,0,0,0,0.0344207
679761,0.0176623,0.0426493,0,0.0363831,0,0,0.0966947
679773,0.591688,2.09834,0.182013,1.01873,15.0572,-5.74164,3.89077
679843,0.485714,2.43954,0.209315,1.01873,16.6328,-6.12963,4.15329
679847,0.485714,2.43954,0.209315,1.01873,16.6328,-6.12963,4.15329
679856,0.167792,0.989463,0.00910064,0.209203,18.5701,-10.239,1.37556
679866,0.0176623,0.332664,0,0.0181915,0,0,0.368518
679951,0,0.0170597,0,0.0545746,0,0,0.0716344
679954,0,0.0255896,0.0182013,0.00909577,0,0,0.0528866
679971,0,0.0511791,0,0.00909577,0,0,0.0602749
679974,0,0.0511791,0,0.00909577,0,0,0.0602749
680052,0,0.0426493,0,0,0,0,0.0426493
680055,0,0.059709,0,0,0,0,0.059709
680065,0,0.059709,0,0,0,0,0.059709
680075,0.00883117,0.0682388,0.0455032,1.95559,23.6927,13.8874,2.07816
680145,0.423896,3.28399,0.345824,0.47298,16.498,-9.57349,4.52669
680147,0,0.810336,0.14561,1.19155,21.6098,3.67978,2.14749
680156,0.503377,1.90216,0.182013,1.19155,15.9318,-4.09612,3.77909
680180,0.459221,1.85098,0.28212,1.17335,15.1566,-3.40467,3.76567
680250,0.432727,1.93628,0.227516,1.20064,16.3061,-3.71664,3.79716
680253,0.397403,1.87657,0.273019,1.20064,16.0554,-3.20326,3.74763
680264,0.415065,1.80833,0.191113,1.13697,16.4658,-3.78142,3.55148
680268,0.415065,1.85098,0.227516,1.15516,16.1944,-3.63153,3.64872
680289,0.388571,1.83392,0.254818,1.16426,16.166,-3.30934,3.64157
680350,0.415065,1.79127,0.291221,1.12788,15.2593,-3.25715,3.62543
680352,0.388571,1.7998,0.172912,1.0733,16.826,-4.11472,3.43458
680361,0.406234,1.75715,0.236617,1.12788,15.889,-3.39676,3.52788
680371,0.362078,1.82539,0.273019,1.15516,16.2174,-3.14999,3.61565
680381,0.441558,1.85098,0.254818,1.21883,15.7549,-3.26146,3.76619
680391,0.441558,1.85098,0.254818,1.21883,15.7549,-3.26146,3.76619
680453,0.476883,1.83392,0.218415,1.20064,15.6793,-3.58624,3.72986
680456,0.406234,1.83392,0.273019,1.20064,15.855,-3.09584,3.71381
680464,0.476883,2.20923,0.273019,1.42804,16.4535,-3.36798,4.38717
680494,0.476883,2.32865,0.263919,1.51899,16.9275,-3.34303,4.58845
680554,0.574026,2.66984,0.327623,1.60086,16.284,-3.81468,5.17235
680558,0.574026,2.66984,0.327623,1.60086,16.284,-3.81468,5.17235
680565,0.635844,3.01957,0.300321,1.80096,16.8689,-4.04953,5.7567
680576,0.715325,3.21576,0.318522,1.95559,16.6695,-4.00543,6.20519
680592,0.732987,3.429,0.455032,2.16479,16.2411,-3.41095,6.78181
680663,0.732987,3.429,0.455032,2.16479,16.2411,-3.41095,6.78181
680665,0.847792,3.65078,0.509636,2.33761,15.7605,-3.37196,7.34582
680675,0.989091,4.45258,0.500535,2.71054,16.3922,-3.86686,8.65275
680686,0.989091,4.45258,0.500535,2.71054,16.3922,-3.86686,8.65275
680696,0.900779,4.26493,0.400428,2.44676,16.8805,-4.34022,8.0129
