ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4120433,0.0442248,0,0,0.0181915,0,0,0.0624163
4120457,0.0265349,0,0,0.0454789,0,0,0.0720137
4120519,0,0,0,0,0,0,0
4120521,0.0442248,0.00855131,0,0,0,0,0.0527761
4120554,0.0265349,0.00855131,0,0.0363831,0,0,0.0714693
4120624,0.0442248,0,0,0.0454789,0,0,0.0897036
4120627,0.0707596,0,0,0,0,0,0.0707596
4120649,0.00884495,0,0,0,0,0,0.00884495
4120659,0.0353798,0.00855131,0,0,0,0,0.0439311
4120729,0.0265349,0.0171026,0.0090812,0.0545746,0,0,0.107293
4120737,0.0265349,0.0171026,0.0090812,0.0545746,0,0,0.107293
4120738,0.0972945,0,0,0.081862,0,0,0.179156
4120746,0.0972945,0,0,0.081862,0,0,0.179156
4120761,0.0707596,0,0.0090812,0.081862,0,0,0.161703
4120765,0.0707596,0,0.0090812,0.081862,0,0,0.161703
4120825,0.0530697,0,0,0,0,0,0.0530697
4120827,0.0530697,0,0,0.0272873,0,0,0.080357
4120841,0.0619147,0,0,0.0363831,0,0,0.0982978
4120857,0.0442248,0,0,0.0454789,0,0,0.0897036
4120867,0.0353798,0.0256539,0,0.00909577,0,0,0.0701295
4120933,0.0530697,0.00855131,0,0.0545746,0,0,0.116196
4120937,0.0265349,0,0,0.0727662,0,0,0.099301
4120947,0,0,0,0.0363831,0,0,0.0363831
4120957,0,0,0,0.0363831,0,0,0.0363831
4120966,0.0265349,0,0,0,0,0,0.0265349
4121035,0.0265349,0,0,0,0,0,0.0265349
4121036,0.00884495,0,0,0,0,0,0.00884495
4121048,0.0796046,0,0,0.0545746,0,0,0.134179
4121071,0,0,0.0090812,0,0,0,0.0090812
4121133,0.0442248,0,0,0,0,0,0.0442248
4121137,0.0442248,0,0,0,0,0,0.0442248
4121153,0,0,0,0.0272873,0,0,0.0272873
4121163,0,0.0171026,0,0,0,0,0.0171026
4121173,0,0.0171026,0,0,0,0,0.0171026
4121236,0.0442248,0.0598592,0,0.0636704,0,0,0.167754
4121237,0.0353798,0.00855131,0,0,0,0,0.0439311
4121240,0.0353798,0,0,0.0636704,0,0,0.0990502
4121250,0.0353798,0,0,0.0636704,0,0,0.0990502
4121342,0.0176899,0.0171026,0,0,0,0,0.0347925
4121344,0.0530697,0,0,0,0,0,0.0530697
4121356,0.0530697,0,0,0.0181915,0,0,0.0712613
4121366,0.0530697,0,0,0.0181915,0,0,0.0712613
4121378,0.0353798,0,0,0.0454789,0,0,0.0808587
4121440,0.0442248,0,0,0.0363831,0,0,0.0806079
4121448,0.00884495,0,0,0.0545746,0,0,0.0634196
4121456,0.0176899,0.0171026,0,0.00909577,0,0,0.0438883
4121474,0.0442248,0,0,0.0454789,0,0,0.0897036
4121549,0.0353798,0,0,0.00909577,0,0,0.0444756
4121553,0.0353798,0,0,0.00909577,0,0,0.0444756
4121565,0.0176899,0,0,0.0363831,0,0,0.054073
4121585,0.0442248,0,0,0,0,0,0.0442248
4121649,0.0176899,0,0,0,0,0,0.0176899
4121669,0.0442248,0.0256539,0,0.0181915,0,0,0.0880702
4121675,0.0972945,0,0,0.0363831,0,0,0.133678
4121686,0.0972945,0,0,0.0363831,0,0,0.133678
4121748,0,0,0.0090812,0,0,0,0.0090812
4121750,0.0265349,0.0256539,0,0.0363831,0,0,0.0885719
4121759,0.0530697,0,0,0.0181915,0,0,0.0712613
4121772,0.0530697,0,0,0.0181915,0,0,0.0712613
4121783,0.0442248,0,0,0.0636704,0,0,0.107895
4121853,0.0176899,0,0,0,0,0,0.0176899
4121856,0.0265349,0,0,0,0,0,0.0265349
4121858,0,0,0,0,0,0,0
4121877,0.0265349,0,0,0.0636704,0,0,0.0902053
4121879,0.0265349,0,0,0.0636704,0,0,0.0902053
4121890,0.0619147,0.0256539,0,0.0545746,0,0,0.142143
4121957,0.0176899,0.0342052,0,0.0545746,0,0,0.10647
4121958,0.0176899,0.0342052,0,0.0545746,0,0,0.10647
4121977,0.00884495,0,0,0.0363831,0,0,0.045228
4121980,0.0619147,0,0,0,0,0,0.0619147
4122057,0.0442248,0,0,0,0,0,0.0442248
4122059,0,0,0,0.0181915,0,0,0.0181915
4122065,0,0,0,0.0363831,0,0,0.0363831
4122084,0.0530697,0,0,0.0636704,0,0,0.11674
4122164,0.203434,0.855131,0.272436,1.00963,14.8346,1.43232,2.34063
4122167,0.309573,1.23994,0.0090812,0.363831,16.7122,-9.1806,1.92243
4122184,0.212279,0.880785,0.0090812,0.245586,16.7877,-9.3312,1.34773
4122194,0.168054,0.709759,0,0.163724,16.9324,-10.2842,1.04154
4122272,0.168054,0.709759,0,0.163724,16.9324,-10.2842,1.04154
4122274,0.176899,0.461771,0,0.136437,13.5887,-9.71931,0.775106
4122284,0,0,0,0.00909577,0,0,0.00909577
4122295,0.0353798,0,0.0272436,0.0636704,0,0,0.126294
4122384,0.0442248,0,0,0.00909577,0,0,0.0533205
4122391,0.0442248,0,0,0.00909577,0,0,0.0533205
4122400,0.0265349,0,0,0,0,0,0.0265349
4122466,0.0265349,0,0,0.0636704,0,0,0.0902053
4122469,0.00884495,0,0,0.0545746,0,0,0.0634196
4122492,0,0,0.0363248,0.0636704,0,0,0.0999952
4122498,0,0.0256539,0,0.0454789,0,0,0.0711328
4122506,0,0.0256539,0,0.0454789,0,0,0.0711328
4122569,0.0265349,0.0171026,0,0,0,0,0.0436375
4122580,0.0176899,0,0,0.0181915,0,0,0.0358815
4122592,0.0176899,0,0,0.0181915,0,0,0.0358815
4122601,0.0442248,0,0.0181624,0.0272873,0,0,0.0896745
4122678,0.0442248,0,0.0181624,0.0272873,0,0,0.0896745
4122681,0.0265349,0,0,0.0545746,0,0,0.0811095
4122690,0,0.00855131,0,0.0181915,0,0,0.0267429
4122700,0,0.0171026,0.0181624,0.964152,24.0913,14.4866,0.999417
4122710,0.92872,4.01056,0.326923,0.454789,14.026,-10.9008,5.72099
4122770,0,0,0,0.0545746,0,0,0.0545746
4122775,0,0.0513078,0.0998932,0.336544,0,0,0.487745
4122780,0.159209,0.778169,0.0635684,0.482076,17.4891,-3.96218,1.48302
4122789,0.238814,1.02616,0.0726496,0.582129,16.8879,-4.76774,1.91975
4122805,0.238814,1.02616,0.0726496,0.582129,16.8879,-4.76774,1.91975
4122810,0.229969,1.0005,0.0817308,0.582129,16.7728,-4.48663,1.89433
