ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4084375,0,0,0,0.0182013,0,0,0.0182013
4084377,0,0,0,0,0,0,0
4084400,0,0,0,0,0,0,0
4084405,0,0,0,0.0273019,0,0,0.0273019
4084481,0,0,0,0,0,0,0
4084484,0,0.00855561,0,0,0,0,0.00855561
4084486,0,0.0256668,0,0,0,0,0.0256668
4084581,0,0,0,0.0182013,0,0,0.0182013
4084583,0,0,0,0,0,0,0
4084586,0,0.0171112,0,0.0273019,0,0,0.0444131
4084597,0,0,0,0.00910064,0,0,0.00910064
4084620,0,0,0,0.0182013,0,0,0.0182013
4084680,0,0,0,0.00910064,0,0,0.00910064
4084688,0,0,0,0.0273019,0,0,0.0273019
4084699,0,0,0,0,0,0,0
4084710,0,0,0,0,0,0,0
4084721,0,0.0171112,0,0.00910064,0,0,0.0262119
4084784,0,0,0,0.0364026,0,0,0.0364026
4084787,0,0,0,0.0364026,0,0,0.0364026
4084788,0,0,0,0,0,0,0
4084800,0,0,0,0,0,0,0
4084810,0,0.0256668,0,0,0,0,0.0256668
4084822,0,0.0256668,0,0,0,0,0.0256668
4084900,0,0.0171112,0,0.0364026,0,0,0.0535138
4084908,0,0.0171112,0,0,0,0,0.0171112
4084911,0,0,0,0,0,0,0
4084921,0,0.00855561,0,0.0364026,0,0,0.0449582
4084991,0,0,0,0.0455032,0,0,0.0455032
4084994,0,0,0,0,0,0,0
4085003,0,0.0342224,0.0091104,0,0,0,0.0433328
4085014,0,0.0342224,0.0091104,0,0,0,0.0433328
4085025,0,0,0,0.0273019,0,0,0.0273019
4085088,0,0.0171112,0,0.00910064,0,0,0.0262119
4085092,0,0,0,0,0,0,0
4085103,0,0,0,0.0364026,0,0,0.0364026
4085113,0,0,0,0,0,0,0
4085191,0,0,0,0,0,0,0
4085194,0,0,0,0.0273019,0,0,0.0273019
4085195,0,0,0,0,0,0,0
4085217,0,0,0,0.0182013,0,0,0.0182013
4085227,0,0.00855561,0,0.109208,0,0,0.117763
4085296,0,0,0,0,0,0,0
4085298,0,0,0,0,0,0,0
4085308,0,0,0,0.00910064,0,0,0.00910064
4085331,0,0,0,0,0,0,0
4085401,0,0,0,0,0,0,0
4085403,0,0,0,0,0,0,0
4085407,0,0.00855561,0,0,0,0,0.00855561
4085422,0,0.00855561,0,0,0,0,0.00855561
4085432,0,0,0,0.0182013,0,0,0.0182013
4085502,0,0,0,0,0,0,0
4085505,0,0,0,0.0182013,0,0,0.0182013
4085515,0,0,0,0.0182013,0,0,0.0182013
4085525,0,0,0,0.0364026,0,0,0.0364026
4085541,0,0,0,0.0182013,0,0,0.0182013
4085601,0,0.0342224,0,0.0182013,0,0,0.0524237
4085635,0,0,0,0.0273019,0,0,0.0273019
4085641,0,0,0,0.0364026,0,0,0.0364026
4085704,0,0,0,0,0,0,0
4085707,0,0,0,0,0,0,0
4085717,0,0,0,0.0182013,0,0,0.0182013
4085727,0,0,0,0.0182013,0,0,0.0182013
4085737,0,0,0,0.0364026,0,0,0.0364026
4085808,0,0.0427781,0,0,0,0,0.0427781
4085810,0,0,0,0.0273019,0,0,0.0273019
4085820,0,0,0,0,0,0,0
4085830,0,0.00855561,0,0,0,0,0.00855561
4085846,0,0.0171112,0,0,0,0,0.0171112
4085907,0,0,0,0,0,0,0
4085908,0,0.0171112,0,0,0,0,0.0171112
4085918,0,0,0,0,0,0,0
4085928,0,0.00855561,0,0,0,0,0.00855561
4085940,0,0,0,0.00910064,0,0,0.00910064
4086012,0,0.0171112,0,0.0364026,0,0,0.0535138
4086015,0,0,0,0,0,0,0
4086038,0,0,0,0,0,0,0
4086039,0,0,0,0.00910064,0,0,0.00910064
4086114,0,0.0171112,0,0.0182013,0,0,0.0353125
4086117,0,0.0171112,0,0.0182013,0,0,0.0353125
4086122,0,0,0,0.0182013,0,0,0.0182013
4086131,0,0.0171112,0,0,0,0,0.0171112
4086154,0,0,0,0.00910064,0,0,0.00910064
4086215,0,0,0,0.0364026,0,0,0.0364026
4086217,0,0,0,0.0364026,0,0,0.0364026
4086226,0,0,0,0.00910064,0,0,0.00910064
4086236,0,0,0,0,0,0,0
4086246,0,0,0,0,0,0,0
4086317,0,0,0,0.0637045,0,0,0.0637045
4086320,0,0,0,0.0182013,0,0,0.0182013
4086322,0,0,0,0.0182013,0,0,0.0182013
4086339,0,0,0,0.0182013,0,0,0.0182013
4086419,0,0,0,0.0637045,0,0,0.0637045
4086422,0,0,0,0.0637045,0,0,0.0637045
4086425,0,0,0,0.00910064,0,0,0.00910064
4086437,0,0,0,0.00910064,0,0,0.00910064
4086447,0,0.0256668,0,0.0182013,0,0,0.0438681
4086457,0,0,0,0.0637045,0,0,0.0637045
4086528,0,0,0,0.0273019,0,0,0.0273019
4086530,0,0,0,0.00910064,0,0,0.00910064
4086541,0,0,0,0.0273019,0,0,0.0273019
4086546,0,0,0,0.0273019,0,0,0.0273019
4086560,0,0.00855561,0,0,0,0,0.00855561
4086631,0,0.00855561,0,0.00910064,0,0,0.0176563
4086633,0,0.00855561,0,0.00910064,0,0,0.0176563
4086637,0,0,0,0,0,0,0
4086652,0,0,0,0,0,0,0
4086662,0,0,0,0,0,0,0
4086667,0,0,0,0.0728051,0,0,0.0728051
4086737,0,0,0.0364416,0.364026,0,0,0.400467
4086753,0,0,0.100214,0.864561,19.8063,15,0.964775
4086756,0,0,0.154877,1.09208,18.7898,15,1.24695
4086757,0,0,0.154877,1.09208,18.7898,15,1.24695
4086767,0,0.0171112,0.118435,1.02837,19.9122,14.559,1.16392
4086830,0,0,0.136656,1.17398,19.7867,15,1.31064
4086833,0,0,0.136656,1.17398,19.7867,15,1.31064
4086851,0,0,0.45552,3.62206,19.4143,15,4.07758
4086861,0,0,0.674169,4.98715,19.0458,15,5.66132
4086937,0,0,0.983923,7.0439,18.8718,15,8.02782
4086940,0,0,1.23901,8.5637,18.6803,15,9.80272
4086962,0,0,1.16613,7.49893,18.2711,15,8.66506
4086972,0.0533473,0.402114,1.07503,6.79818,18.226,13.3594,8.32867
4087035,0.693515,2.34424,0.264201,2.02944,16.0182,-2.09356,5.3314
4087037,0,0.179668,0.118435,1.15578,20.9269,11.2927,1.45388
4087047,0.0622385,0.436336,0.173098,1.23769,18.8373,7.16636,1.90936
4087050,0.631276,2.1389,0.145766,1.15578,15.4581,-5.41035,4.07173
4087073,0.195607,0.864117,0.154877,1.00107,17.0908,0.651432,2.21567
4087137,0.195607,0.864117,0.154877,1.00107,17.0908,0.651432,2.21567
