ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
435740,0.035124,0.0684105,0.0363636,0,0,0,0.139898
435745,0.0526859,0.0513078,0.0363636,0,0,0,0.140357
435749,0,0.0769618,0.0818182,0,0,0,0.15878
435807,0.017562,0.0855131,0.0454545,0,0,0,0.14853
435809,0.00878099,0.0598592,0.0363636,0,0,0,0.105004
435826,0.035124,0.0427565,0.0363636,0,0,0,0.114244
435836,0.017562,0.0513078,0.0363636,0,0,0,0.105233
435845,0.017562,0.0513078,0.0363636,0,0,0,0.105233
435855,0.0790289,0.0598592,0.0727273,0,0,0,0.211615
435916,0.0702479,0.0598592,0.0363636,0,0,0,0.166471
435920,0.026343,0.0342052,0.109091,0,0,0,0.169639
435922,0.035124,0.111167,0.0181818,0,0,0,0.164473
435933,0.0526859,0.0342052,0.0272727,0,0,0,0.114164
435952,0.0526859,0.0684105,0.0363636,0,0,0,0.15746
435966,0.00878099,0.0598592,0.0272727,0,0,0,0.0959129
436012,0.00878099,0.0598592,0.0272727,0,0,0,0.0959129
436013,0.00878099,0.111167,0.0636364,0,0,0,0.183584
436023,0.0702479,0,0.1,0,0,0,0.170248
436046,0.0790289,0.12827,0.0272727,0,0,0,0.234571
436056,0.0790289,0.12827,0.0272727,0,0,0,0.234571
436065,0.0702479,0.0855131,0.0363636,0,0,0,0.192125
436118,0.017562,0.0513078,0.1,0,0,0,0.16887
436125,0.026343,0.0171026,0.0363636,0,0,0,0.0798092
436147,0.00878099,0.0855131,0.0636364,0,0,0,0.15793
436157,0.035124,0.0513078,0.0363636,0,0,0,0.122795
436173,0.043905,0.0769618,0.0363636,0,0,0,0.15723
436222,0,0.0256539,0.0272727,0,0,0,0.0529267
436224,0.026343,0.0855131,0.00909091,0,0,0,0.120947
436234,0.043905,0.0598592,0.0909091,0,0,0,0.194673
436258,0.043905,0.0684105,0,0,0,0,0.112315
436268,0,0.0513078,0.0454545,0,0,0,0.0967624
436320,0.017562,0.0256539,0,0,0,0,0.0432159
436322,0.017562,0.0171026,0,0,0,0,0.0346646
436327,0.026343,0.0684105,0.0545455,0,0,0,0.149299
436337,0.035124,0.0342052,0.0727273,0,0,0,0.142056
436347,0.0526859,0.0940644,0.0545455,0,0,0,0.201296
436357,0.0526859,0.0940644,0.0545455,0,0,0,0.201296
436367,0.017562,0.0769618,0,0,0,0,0.0945238
436377,0.017562,0.0769618,0,0,0,0,0.0945238
436416,0.035124,0.0598592,0.0545455,0,0,0,0.149529
436417,0,0.0598592,0.0454545,0,0,0,0.105314
436428,0,0.0598592,0.0454545,0,0,0,0.105314
436438,0,0.0598592,0.0454545,0,0,0,0.105314
436448,0.0614669,0.0598592,0.0272727,0,0,0,0.148599
436474,0.043905,0.0427565,0.0363636,0,0,0,0.123025
436481,0.043905,0.0684105,0.0272727,0,0,0,0.139588
436518,0.043905,0.0684105,0.0272727,0,0,0,0.139588
436520,0.035124,0.0769618,0.0272727,0,0,0,0.139358
436529,0.0526859,0.0598592,0.00909091,0,0,0,0.121636
436553,0.043905,0.0598592,0.0545455,0,0,0,0.15831
436557,0.00878099,0.0513078,0.0454545,0,0,0,0.105543
436572,0.00878099,0.0513078,0.0454545,0,0,0,0.105543
436577,0.0614669,0.0427565,0,0,0,0,0.104223
436626,0.035124,0.0427565,0.0545455,0,0,0,0.132426
436628,0.035124,0.0427565,0.0545455,0,0,0,0.132426
436638,0.035124,0.0598592,0.0636364,0,0,0,0.158619
436661,0,0.0427565,0.0272727,0,0,0,0.0700293
436672,0.035124,0.0427565,0.0909091,0,0,0,0.16879
436682,0.035124,0.0427565,0.0909091,0,0,0,0.16879
436733,0.043905,0.0855131,0.0636364,0,0,0,0.193054
436734,0.043905,0.0598592,0.0181818,0,0,0,0.121946
436746,0.026343,0.0769618,0.0636364,0,0,0,0.166941
436751,0.017562,0.0855131,0.0454545,0,0,0,0.14853
436763,0.017562,0.0855131,0.0454545,0,0,0,0.14853
436773,0.026343,0.119718,0.0545455,0,0,0,0.200607
436783,0.026343,0.119718,0.0545455,0,0,0,0.200607
436842,0,0.0171026,0.0272727,0,0,0,0.0443753
436848,0.035124,0.0342052,0.0454545,0,0,0,0.114784
436850,0,0.0684105,0.00909091,0,0,0,0.0775014
436874,0,0.0342052,0.0363636,0,0,0,0.0705689
436884,0.0878099,0.111167,0,0,0,0,0.198977
436934,0.0878099,0.111167,0,0,0,0,0.198977
436937,0.017562,0.0513078,0.0181818,0,0,0,0.0870516
436940,0.0526859,0.0855131,0.0454545,0,0,0,0.183654
436957,0,0.0427565,0.00909091,0,0,0,0.0518474
436960,0.0526859,0.0513078,0.0636364,0,0,0,0.16763
436975,0.0526859,0.0513078,0.0636364,0,0,0,0.16763
436985,0.00878099,0.0684105,0.0363636,0,0,0,0.113555
436990,0.0702479,0.0940644,0.0363636,0,0,0,0.200676
437040,0.105372,0.0598592,0,0,0,0,0.165231
437042,0.017562,0.0684105,0,0,0,0,0.0859724
437052,0.017562,0.0598592,0.481818,1.27273,11.3704,13.7322,1.83197
437062,0.825413,2.17203,0.245455,0.318182,9.96429,-10.2517,3.56108
437073,0.245868,0.213783,0.0454545,0,-3.8378,-12.3003,0.505105
437138,0,0.00855131,0,0,0,0,0.00855131
437141,0,0.00855131,0,0,0,0,0.00855131
437143,0,0.0684105,0.00909091,0,0,0,0.0775014
437153,0.017562,0.00855131,0.0454545,0,0,0,0.0715678
437177,0.035124,0.0513078,0.0363636,0,0,0,0.122795
437239,0.00878099,0.0427565,0.0454545,0,0,0,0.0969921
437242,0.017562,0.0598592,0.0454545,0,0,0,0.122876
437245,0.043905,0.0256539,0.0909091,0,0,0,0.160468
437255,0.026343,0.0598592,0.0272727,0,0,0,0.113475
437265,0.035124,0.0256539,0.00909091,0,0,0,0.0698688
437288,0.00878099,0.0427565,0.0727273,0,0,0,0.124265
437347,0.017562,0.0342052,0.0272727,0,0,0,0.0790399
437349,0.035124,0.0684105,0.00909091,0,0,0,0.112625
437359,0,0.0855131,0.190909,0.818182,16.2795,12.6563,1.0946
437369,1.34349,3.53169,0.645455,0.654545,8.89564,-8.6844,6.17518
437381,1.34349,3.53169,0.645455,0.654545,8.89564,-8.6844,6.17518
437387,0.122934,0.12827,0,0,0,0,0.251204
437397,0,0,0.0272727,0,0,0,0.0272727
437449,0,0,0.0272727,0,0,0,0.0272727
437452,0.0614669,0.12827,0.118182,0,0,0,0.307918
437463,0.017562,0,0.00909091,0,0,0,0.0266529
437467,0.026343,0.0342052,0.0454545,0.00909091,0,0,0.115094
437481,0.0614669,0.0598592,0.0545455,0.00909091,0,0,0.184962
437498,0.017562,0.0342052,0.0272727,0,0,0,0.0790399
437549,0.0526859,0.0598592,0.0454545,0,0,0,0.158
437552,0.035124,0.0513078,0.0545455,0,0,0,0.140977
437558,0.035124,0.0427565,0.0454545,0,0,0,0.123335
437583,0.0614669,0.0598592,0,0,0,0,0.121326
437589,0.0702479,0.0684105,0.0272727,0,0,0,0.165931
437600,0.0702479,0.0684105,0.0272727,0,0,0,0.165931
437654,0.0614669,0.0256539,0.0454545,0,0,0,0.132575
437657,0.0614669,0.0256539,0.0454545,0,0,0,0.132575
437659,0.0702479,0.0598592,0,0,0,0,0.130107
437669,1.21178,6.75553,1.70909,4.19091,14.4685,-2.23617,13.8673
437680,1.21178,6.75553,1.70909,4.19091,14.4685,-2.23617,13.8673
437690,0,0.213783,0.727273,0.309091,-4.0875,9.86981,1.25015
437738,0,0,0.0545455,0.763636,21.6667,15,0.818182
437740,0.228306,0.778169,0.0909091,0.290909,13.5033,-6.74919,1.38829
437752,0.219525,0.316398,0.0454545,0.0909091,5.29268,-8.91494,0.672287
437774,0.0614669,0.0855131,0,0.0181818,0,0,0.165162
437784,0.0614669,0.0855131,0,0.0181818,0,0,0.165162
437792,0.0526859,0.0684105,0.0636364,0,0,0,0.184733
437802,0.035124,0.0598592,0.0818182,0,0,0,0.176801
437863,0.035124,0.0598592,0.0818182,0,0,0,0.176801
437866,0,0.0427565,0,0.00909091,0,0,0.0518474
437877,0.0526859,0.0427565,0.0545455,0,0,0,0.149988
437881,0.0702479,0.0855131,0.0363636,0.0181818,0,0,0.210306
437895,0.0702479,0.0855131,0.0363636,0.0181818,0,0,0.210306
437905,0.043905,0.0513078,0.0454545,0,0,0,0.140667
437963,0.0526859,0.0342052,0.0454545,0,0,0,0.132346
437965,0.0526859,0.0342052,0.0454545,0,0,0,0.132346
437975,0.043905,0.0342052,0.0363636,0,0,0,0.114474
437982,0,0.0769618,0.0363636,0.00909091,0,0,0.122416
437997,0.043905,0.0427565,0.0181818,0,0,0,0.104843
438009,0.043905,0.0427565,0.0181818,0,0,0,0.104843
438013,0,0.0855131,0.0727273,0.0272727,0,0,0.185513
438059,0,0.0855131,0.0727273,0.0272727,0,0,0.185513
438062,0,0,0.0636364,0.0363636,0,0,0.1
438063,0.043905,0,0.0454545,0.00909091,0,0,0.0984504
438082,0.017562,0.0256539,0.0181818,0,0,0,0.0613977
438084,0.017562,0.0256539,0.0181818,0,0,0,0.0613977
438094,0.043905,0.0513078,0.0636364,0,0,0,0.158849
438104,0.043905,0.0513078,0.0636364,0,0,0,0.158849
438114,0,0.0342052,0.0727273,0,0,0,0.106933
438162,0.720041,1.76157,0.263636,0.554545,10.0949,-7.56152,3.29979
438163,0.720041,1.76157,0.263636,0.554545,10.0949,-7.56152,3.29979
438164,0.465393,1.18008,0.445455,1.21818,11.2373,0.0823331,3.30911
438174,0.693698,1.9839,0.672727,2.19091,12.6704,0.503592,5.54124
438184,0.693698,1.9839,0.672727,2.19091,12.6704,0.503592,5.54124
438194,0.658574,1.92404,0.918182,3.03636,12.9401,3.14799,6.53716
438210,0.746384,2.05231,0.963636,3.23636,12.7833,3.00335,6.9987
438214,0.746384,2.05231,0.963636,3.23636,12.7833,3.00335,6.9987
438264,0.904442,2.40292,0.9,2.8,12.1247,0.840488,7.00736
438267,1.14153,2.95875,0.754545,2.33636,11.8167,-2.10544,7.19119
438277,1.26446,3.48893,0.654545,1.96364,11.9837,-4.34483,7.37158
438287,1.22934,3.59155,0.672727,2.27273,12.7544,-3.62223,7.76634
438318,1.25568,3.81388,0.790909,2.83636,13.2337,-2.48762,8.69684
438369,1.22934,3.79678,0.881818,3.36364,13.6149,-1.263,9.27157
438372,1.15909,3.48038,1,3.9,13.6834,0.409657,9.53947
438382,1.15031,3.24095,1.21818,4.84545,13.6728,2.39943,10.4549
438392,1.26446,3.36922,1.16364,4.6,13.3234,1.63017,10.3973
438402,1.18543,3.3008,1.15455,4.34545,13.284,1.52274,9.98624
438412,1.18543,3.3008,1.15455,4.34545,13.284,1.52274,9.98624
438422,1.13275,3.27515,1.08182,4.32727,13.7207,1.52979,9.81699
438477,1.13275,3.27515,1.08182,4.32727,13.7207,1.52979,9.81699
438479,1.05372,3.01006,1.32727,5.56364,14.1325,3.87112,10.9547
438503,1.07128,3.10412,1.23636,5.63636,14.5564,3.66214,11.0481
438513,1.21178,3.50604,1.08182,5.13636,14.5135,2.05793,10.936
438528,1.17665,3.42052,1.24545,5.89091,14.6787,3.24606,11.7335
438577,1.17665,3.42052,1.24545,5.89091,14.6787,3.24606,11.7335
438579,1.15909,3.18109,1.52727,8.35455,15.5556,5.84479,14.222
438594,3.06457,4.40392,1.69091,7.72727,10.9194,1.73186,16.8867
