ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
388415,0.0614669,0.0769618,0.0181818,0,0,0,0.156611
388417,0.0614669,0.0769618,0.0181818,0,0,0,0.156611
388420,0.0965909,0.00855131,0,0,0,0,0.105142
388430,0.026343,0.0598592,0.0363636,0.0181818,0,0,0.140748
388454,0.035124,0.0256539,0.00909091,0,0,0,0.0698688
388515,0.0526859,0.0256539,0.0545455,0,0,0,0.132885
388517,0.0702479,0,0,0,0,0,0.0702479
388526,0.026343,0.0256539,0.00909091,0,0,0,0.0610878
388538,0,0.0256539,0.0181818,0,0,0,0.0438357
388541,0.017562,0.0427565,0.0454545,0,0,0,0.105773
388617,0.0790289,0.0256539,0,0,0,0,0.104683
388620,0.0790289,0.0256539,0,0,0,0,0.104683
388622,0.0526859,0.0513078,0,0,0,0,0.103994
388645,0.026343,0.0684105,0.0181818,0,0,0,0.112935
388720,0.0790289,0.0171026,0.0272727,0,0,0,0.123404
388724,0.017562,0.0513078,0.0272727,0,0,0,0.0961426
388726,0.035124,0.00855131,0.0272727,0,0,0,0.070948
388736,0.035124,0.00855131,0.0272727,0,0,0,0.070948
388746,0,0.0684105,0.0363636,0.0363636,0,0,0.141138
388756,0.017562,0,0.0363636,0,0,0,0.0539256
388835,0.035124,0.0684105,0,0,0,0,0.103534
388837,0.0614669,0.0171026,0,0,0,0,0.0785696
388855,0.0526859,0.0342052,0,0,0,0,0.0868912
388865,0.043905,0.0256539,0.00909091,0,0,0,0.0786498
388926,0.026343,0.0513078,0.00909091,0,0,0,0.0867417
388935,0.043905,0,0.00909091,0,0,0,0.0529959
388945,0.035124,0.0256539,0,0.00909091,0,0,0.0698688
388955,0.035124,0.0256539,0,0.00909091,0,0,0.0698688
388966,0.0526859,0.0256539,0.00909091,0,0,0,0.0874308
389026,0.017562,0.0513078,0,0,0,0,0.0688698
389027,0.043905,0.00855131,0.0272727,0,0,0,0.079729
389067,0.043905,0.0598592,0.0454545,0,0,0,0.149219
389129,0.0790289,0.00855131,0.0363636,0,0,0,0.123944
389137,0.0526859,0,0.0363636,0,0,0,0.0890496
389147,0.0526859,0,0.0363636,0,0,0,0.0890496
389158,0,0.0256539,0.0545455,0,0,0,0.0801994
389167,0,0.0256539,0.0545455,0,0,0,0.0801994
389231,0.00878099,0.00855131,0.0272727,0,0,0,0.044605
389235,0.035124,0.0256539,0.0545455,0,0,0,0.115323
389239,0.0526859,0.0342052,0.0454545,0,0,0,0.132346
389254,0.0526859,0.0342052,0.0454545,0,0,0,0.132346
389264,0.105372,0,0,0,0,0,0.105372
389274,0.0965909,0.0427565,0.00909091,0,0,0,0.148438
389335,0.122934,0.0940644,0.0454545,0,0,0,0.262453
389337,0.00878099,0,0.0181818,0.00909091,0,0,0.0360537
389340,0.0526859,0.0598592,0,0,0,0,0.112545
389350,0.035124,0.0427565,0.0818182,0,0,0,0.159699
389360,0.035124,0.0427565,0.0818182,0,0,0,0.159699
389370,0.043905,0.0769618,0,0,0,0,0.120867
389437,0.0702479,0.0256539,0.0363636,0,0,0,0.132265
389439,0.0702479,0.0256539,0.0363636,0,0,0,0.132265
389455,0.0526859,0.0684105,0.0454545,0.0363636,0,0,0.202915
389465,0.0702479,0,0,0,0,0,0.0702479
389475,0.0702479,0,0,0,0,0,0.0702479
389545,0.0878099,0.0684105,0,0.00909091,0,0,0.165311
389547,0.0702479,0.0598592,0,0,0,0,0.130107
389557,0.0614669,0.0598592,0.00909091,0,0,0,0.130417
389567,0.0526859,0.0171026,0.0818182,0,0,0,0.151607
389647,0.0702479,0.0427565,0.0272727,0,0,0,0.140277
389650,0.0526859,0.0171026,0.481818,1.25455,10.2032,13.8408,1.80615
389654,0.0526859,0,0.0636364,0.0272727,0,0,0.143595
389675,0.131715,0.0427565,0.0272727,0,0,0,0.201744
389745,0.026343,0.0598592,0.0272727,0,0,0,0.113475
389747,0.0878099,0.0256539,0.0181818,0,0,0,0.131646
389767,0.0526859,0.0171026,0.0181818,0,0,0,0.0879704
389770,0.0526859,0.0171026,0.0181818,0,0,0,0.0879704
389851,0.0526859,0.0256539,0.0181818,0,0,0,0.0965217
389854,0.0878099,0.0256539,0,0,0,0,0.113464
389857,0.043905,0,0.0272727,0,0,0,0.0711777
389872,0.0526859,0.0342052,0.0181818,0,0,0,0.105073
389889,0.0790289,0,0.0636364,0,0,0,0.142665
389949,0.035124,0.0855131,0.0454545,0.00909091,0,0,0.175183
389971,0,0,0.1,0.0454545,0,0,0.145455
389982,0.0878099,0.12827,0.0818182,0.0181818,0,0,0.31608
389993,0.0878099,0.12827,0.0818182,0.0181818,0,0,0.31608
390076,0.0526859,0.0427565,0,0,0,0,0.0954425
390079,0.0526859,0.0427565,0.0545455,0,0,0,0.149988
390081,0.035124,0.0513078,0.0636364,0,0,0,0.150068
390092,0.035124,0.0342052,0.0727273,0,0,0,0.142056
390171,0.035124,0.0342052,0.0727273,0,0,0,0.142056
390176,0.0526859,0.0256539,0.0636364,0,0,0,0.141976
390186,0.026343,0,0.0272727,0,0,0,0.0536157
390197,0.0614669,0.0513078,0.0454545,0,0,0,0.158229
390256,0.0614669,0.0513078,0.0454545,0,0,0,0.158229
390279,0,0.555835,0.609091,0.618182,7.92052,5.64832,1.78311
390283,0,0.555835,0.609091,0.618182,7.92052,5.64832,1.78311
390297,0,0,0.718182,1.04545,4.63918,15,1.76364
390359,0.763946,1.45372,0.227273,0.690909,9.19537,-6.21595,3.13585
390360,0.763946,1.45372,0.227273,0.690909,9.19537,-6.21595,3.13585
390376,0.280992,0.564386,0.227273,0.381818,7.52749,-2.43684,1.45447
390387,0.201963,0.487425,0.172727,0.327273,9.24861,-2.38847,1.18939
390396,0.201963,0.487425,0.172727,0.327273,9.24861,-2.38847,1.18939
390466,0.166839,0.419014,0.154545,0.318182,9.82003,-1.60298,1.05858
390469,0.17562,0.436117,0.172727,0.236364,7.938,-2.97767,1.02083
390481,0.0965909,0.265091,0.0818182,0.136364,9.61628,-3.71207,0.579863
390485,0.131715,0.213783,0.172727,0.2,3.80593,0.568687,0.718225
390500,0.166839,0.230885,0.163636,0.218182,3.80325,-0.306064,0.779542
390537,0.166839,0.230885,0.163636,0.218182,3.80325,-0.306064,0.779542
390544,0.140496,0.342052,0.218182,0.172727,4.46793,-1.57373,0.873457
390546,0.254649,0.564386,0.227273,0.454545,8.94508,-1.37139,1.50085
390556,0.254649,0.564386,0.227273,0.454545,8.94508,-1.37139,1.50085
390566,0.245868,0.615694,0.272727,0.563636,9.72857,-0.222609,1.69793
390576,0.360021,0.829477,0.372727,0.827273,9.66732,0.0659305,2.3895
390586,0.360021,0.829477,0.372727,0.827273,9.66732,0.0659305,2.3895
390596,0.500517,1.09457,0.490909,1.07273,9.30653,-0.149337,3.15872
390622,0.553202,1.25704,0.672727,1.31818,8.87424,0.712931,3.80115
390626,0.597107,1.35966,0.709091,1.4,8.93698,0.561967,4.06586
390641,0.597107,1.35966,0.709091,1.4,8.93698,0.561967,4.06586
390652,0.632231,1.48793,0.790909,1.60909,9.25785,0.928645,4.52016
