ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
574982,0.0264935,0.0341194,0,0.0363831,0,0,0.096996
574986,0.0264935,0.0170597,0,0,0,0,0.0435532
574994,0,0.0511791,0,0.00909577,0,0,0.0602749
575026,0,0.0255896,0,0.00909577,0,0,0.0346853
575084,0,0.0511791,0,0.0272873,0,0,0.0784664
575093,0.0264935,0.059709,0,0.00909577,0,0,0.0952983
575104,0.0264935,0.059709,0,0.00909577,0,0,0.0952983
575114,0.0176623,0.00852985,0,0.0272873,0,0,0.0534795
575124,0.0176623,0.00852985,0,0.0272873,0,0,0.0534795
575184,0.0176623,0.0341194,0,0.081862,0,0,0.133644
575187,0,0.0255896,0.00910064,0.00909577,0,0,0.043786
575198,0,0,0,0.0363831,0,0,0.0363831
575209,0,0,0,0.0363831,0,0,0.0363831
575213,0.00883117,0.0682388,0,0,0,0,0.07707
575228,0.052987,0.0255896,0,0.0454789,0,0,0.124055
575240,0.052987,0.0255896,0,0.0454789,0,0,0.124055
575243,0.052987,0.0170597,0,0.0454789,0,0,0.115526
575258,0.00883117,0.0341194,0,0.0363831,0,0,0.0793337
575269,0.00883117,0.0341194,0,0.0363831,0,0,0.0793337
575273,0,0,0,0,0,0,0
575289,0,0,0,0,0,0,0
575298,0.0441558,0.0341194,0,0.0272873,0,0,0.105563
575303,0.0264935,0.0170597,0,0.00909577,0,0,0.052649
575318,0.0264935,0.0170597,0,0.00909577,0,0,0.052649
575328,0.0176623,0,0,0,0,0,0.0176623
575338,0,0.0170597,0,0.0272873,0,0,0.044347
575348,0,0.0170597,0,0.0272873,0,0,0.044347
575358,0.00883117,0.00852985,0,0,0,0,0.017361
575387,0.00883117,0.00852985,0,0,0,0,0.017361
575393,0.0176623,0.0511791,0,0,0,0,0.0688415
575395,0.00883117,0.059709,0,0,0,0,0.0685401
575408,0.00883117,0,0,0.00909577,0,0,0.0179269
575414,0,0,0,0.0454789,0,0,0.0454789
575424,0,0,0,0.0454789,0,0,0.0454789
575434,0.00883117,0.0341194,0,0.00909577,0,0,0.0520464
575444,0.00883117,0.0341194,0,0.00909577,0,0,0.0520464
575454,0,0.059709,0,0.0636704,0,0,0.123379
575465,0.00883117,0.0341194,0,0.0363831,0,0,0.0793337
575474,0.00883117,0.0341194,0,0.0363831,0,0,0.0793337
575485,0.00883117,0.0170597,0,0,0,0,0.0258909
575496,0.00883117,0.0255896,0,0.0272873,0,0,0.0617081
575506,0.00883117,0.0255896,0,0.0272873,0,0,0.0617081
575516,0,0.0426493,0,0,0,0,0.0426493
575539,0,0.0341194,0,0.0272873,0,0,0.0614067
575549,0,0.059709,0,0.0181915,0,0,0.0779005
575566,0.0264935,0.0682388,0,0.0363831,0,0,0.131115
575576,0,0,0,0,0,0,0
575586,0,0,0,0,0,0,0
575597,0.0441558,0.059709,0,0.0181915,0,0,0.122056
575607,0.0441558,0.059709,0,0.0181915,0,0,0.122056
575617,0,0.0341194,0,0,0,0,0.0341194
