ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
548155,0,0,0.018211,0.00907635,0,0,0.0272874
548157,0,0,0.0273165,0,0,0,0.0273165
548193,0.0176349,0,0.0455276,0.0181527,0,0,0.0813151
548256,0,0,0,0,0,0,0
548258,0,0,0,0,0,0,0
548273,0,0,0.0273165,0.027229,0,0,0.0545456
548289,0,0,0,0.00907635,0,0,0.00907635
548299,0,0,0,0.00907635,0,0,0.00907635
548359,0,0.0257316,0.0364221,0,0,0,0.0621537
548374,0,0,0,0.0181527,0,0,0.0181527
548384,0,0,0,0.0181527,0,0,0.0181527
548394,0,0.00857719,0,0.00907635,0,0,0.0176535
548464,0,0,0.00910552,0.0453817,0,0,0.0544873
548466,0.0352697,0,0,0.00907635,0,0,0.0443461
548471,0,0.0257316,0,0.0181527,0,0,0.0438843
548482,0.00881743,0,0,0,0,0,0.00881743
548492,0.00881743,0,0,0,0,0,0.00881743
548504,0,0,0.0273165,0,0,0,0.0273165
548576,0,0.0257316,0,0.0363054,0,0,0.062037
548586,0.00881743,0,0,0,0,0,0.00881743
548597,0,0,0,0,0,0,0
548603,0,0,0,0,0,0,0
548666,0,0.00857719,0.0455276,0,0,0,0.0541048
548669,0,0,0.018211,0,0,0,0.018211
548679,0,0,0,0,0,0,0
548695,0.0176349,0.00857719,0.0273165,0.027229,0,0,0.0807576
548705,0,0,0,0,0,0,0
548769,0,0,0,0,0,0,0
548771,0,0,0.0273165,0,0,0,0.0273165
548775,0,0,0.0364221,0,0,0,0.0364221
548785,0.00881743,0,0.0637386,0.00907635,0,0,0.0816324
548801,0.00881743,0,0.0637386,0.00907635,0,0,0.0816324
548807,0,0,0,0.0181527,0,0,0.0181527
548874,0,0,0,0.0181527,0,0,0.0181527
548876,0,0,0,0.00907635,0,0,0.00907635
548887,0,0.0171544,0,0.0635344,0,0,0.0806888
548985,0.0176349,0,0,0,0,0,0.0176349
548987,0,0,0,0.027229,0,0,0.027229
548997,0.00881743,0,0.00910552,0.00907635,0,0,0.0269993
549075,0,0,0,0.0544581,0,0,0.0544581
549079,0,0,0,0.00907635,0,0,0.00907635
549081,0,0.00857719,0.0364221,0.0363054,0,0,0.0813047
549091,0,0.00857719,0.0364221,0.0363054,0,0,0.0813047
549100,0,0,0,0,0,0,0
549111,0.00881743,0,0.018211,0.0453817,0,0,0.0724102
549180,0.00881743,0,0.018211,0.0453817,0,0,0.0724102
549182,0,0,0,0,0,0,0
549194,0,0,0,0.0363054,0,0,0.0363054
549210,0,0,0,0.0363054,0,0,0.0363054
549214,0.0440871,0,0,0,0,0,0.0440871
549295,0,0,0,0.027229,0,0,0.027229
549301,0,0,0,0.027229,0,0,0.027229
549312,0,0,0.0455276,0,0,0,0.0455276
549324,0.0352697,0.0514632,0,0.0453817,0,0,0.132115
549382,0.0352697,0.0514632,0,0.0453817,0,0,0.132115
549398,0,0,0.018211,0,0,0,0.018211
549409,0,0.0171544,0.00910552,0.0181527,0,0,0.0444126
549425,0,0,0,0,0,0,0
549485,0,0,0,0,0,0,0
549507,0,0,0.018211,0,0,0,0.018211
549519,0.0264523,0,0,0,0,0,0.0264523
549589,0,0.00857719,0.018211,0.027229,0,0,0.0540173
549591,0,0,0,0,0,0,0
549594,0,0,0,0.00907635,0,0,0.00907635
549610,0,0,0,0.00907635,0,0,0.00907635
