ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2327034,0.0325048,0.0187534,0.0528224,0,0,0,0.104081
2327044,0.0325048,0.0187534,0.0528224,0,0,0,0.104081
2327056,0,0.0562603,0.0704298,0,0,0,0.12669
2327066,0,0.0656371,0.0440186,0,0,0,0.109656
2327076,0,0.0656371,0.0440186,0,0,0,0.109656
2327088,0,0.0656371,0.096841,0,0,0,0.162478
2327098,0,0.0656371,0.096841,0,0,0,0.162478
2327107,0,0,0.0440186,0,0,0,0.0440186
2327117,0,0.0468836,0.0616261,0,0,0,0.10851
2327142,0,0.0375069,0.0792336,0,0,0,0.11674
2327152,0,0,0.132056,0,0,0,0.132056
2327162,0,0,0.0704298,0.00871795,0,0,0.0791478
2327172,0,0,0.0704298,0.00871795,0,0,0.0791478
2327189,0,0.0468836,0,0,0,0,0.0468836
2327194,0,0.00937672,0.0792336,0.0174359,0,0,0.106046
2327204,0,0.00937672,0.0792336,0.0174359,0,0,0.106046
2327214,0,0.0187534,0.0792336,0,0,0,0.097987
2327237,0,0.0187534,0.0352149,0,0,0,0.0539684
2327249,0,0.0187534,0.0704298,0,0,0,0.0891833
2327254,0,0.0187534,0.0704298,0,0,0,0.0891833
2327269,0,0.00937672,0.0616261,0,0,0,0.0710028
2327279,0,0.0750138,0.0440186,0,0,0,0.119032
2327289,0,0.0750138,0.0440186,0,0,0,0.119032
2327326,0,0.0562603,0.096841,0,0,0,0.153101
2327329,0,0.0562603,0.096841,0,0,0,0.153101
2327350,0,0.0656371,0.0440186,0,0,0,0.109656
2327353,0,0.0281302,0.0528224,0,0,0,0.0809525
2327357,0,0.0375069,0.0352149,0.00871795,0,0,0.0814398
2327366,0,0.0375069,0.0352149,0.00871795,0,0,0.0814398
2327376,0,0.0281302,0.0704298,0,0,0,0.09856
2327386,0,0.0281302,0.0704298,0,0,0,0.09856
2327396,0,0.0375069,0.0880373,0,0,0,0.125544
2327407,0.0433397,0.0187534,0.0264112,0,0,0,0.0885043
2327418,0.0433397,0.0187534,0.0264112,0,0,0,0.0885043
2327427,0,0.0843905,0.0176075,0,0,0,0.101998
2327445,0,0.0656371,0.0528224,0,0,0,0.118459
2327448,0,0.0656371,0.0528224,0,0,0,0.118459
2327461,0,0.00937672,0.0792336,0,0,0,0.0886103
2327468,0,0.00937672,0.0792336,0,0,0,0.0886103
2327477,0.0108349,0.0750138,0.0264112,0,0,0,0.11226
2327487,0,0.0562603,0.0440186,0,0,0,0.100279
2327498,0,0.0562603,0.0440186,0,0,0,0.100279
2327508,0,0.00937672,0.0352149,0,0,0,0.0445916
2327517,0.0433397,0.0187534,0.0704298,0,0,0,0.132523
2327540,0,0.0281302,0.0352149,0,0,0,0.0633451
2327550,0,0.0281302,0.0352149,0,0,0,0.0633451
2327562,0,0.0375069,0.0704298,0.0174359,0,0,0.125373
2327572,0,0,0.114448,0.00871795,0,0,0.123166
2327577,0,0,0.114448,0.00871795,0,0,0.123166
2327600,0,0,0.0616261,0,0,0,0.0616261
