ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2286548,0.0433121,0.0187534,0,0.0523077,0,0,0.114373
2286558,0.0433121,0.0187534,0,0.0523077,0,0,0.114373
2286574,0.0541401,0.0187534,0,0.0261538,0,0,0.0990474
2286592,0.0216561,0,0,0.00871795,0,0,0.030374
2286602,0.010828,0,0,0.0261538,0,0,0.0369819
2286613,0.010828,0,0,0.0261538,0,0,0.0369819
2286623,0.0541401,0,0,0,0,0,0.0541401
2286633,0,0.0656371,0,0.0261538,0,0,0.0917909
2286649,0.0324841,0.0187534,0,0.0261538,0,0,0.0773914
2286659,0.010828,0,0,0,0,0,0.010828
2286669,0.010828,0,0,0,0,0,0.010828
2286680,0.0541401,0,0,0,0,0,0.0541401
2286690,0.0541401,0,0,0,0,0,0.0541401
2286700,0.0541401,0,0,0.00871795,0,0,0.0628581
2286710,0.010828,0,0,0.0610256,0,0,0.0718537
2286720,0.010828,0,0,0.0610256,0,0,0.0718537
2286730,0.0216561,0.00937672,0,0,0,0,0.0310328
2286740,0.0216561,0.00937672,0,0,0,0,0.0310328
2286751,0,0,0,0,0,0,0
2286761,0.0649682,0,0,0.0174359,0,0,0.082404
2286771,0.0649682,0,0,0.0174359,0,0,0.082404
2286780,0.0649682,0,0,0,0,0,0.0649682
2286791,0.0541401,0,0,0.00871795,0,0,0.0628581
2286801,0.0541401,0,0,0.00871795,0,0,0.0628581
2286811,0.0649682,0.0281302,0,0.00871795,0,0,0.101816
2286821,0.0649682,0.0281302,0,0.00871795,0,0,0.101816
2286831,0.0216561,0,0,0,0,0,0.0216561
2286841,0.0433121,0.0562603,0,0.00871795,0,0,0.10829
2286851,0.0433121,0.0562603,0,0.00871795,0,0,0.10829
2286861,0.0216561,0,0,0,0,0,0.0216561
2286871,0.0324841,0,0,0.0261538,0,0,0.0586379
2286898,0,0,0,0.0261538,0,0,0.0261538
2286912,0.0649682,0,0,0,0,0,0.0649682
2286924,0.0433121,0.0187534,0,0.0435897,0,0,0.105655
2286941,0.0541401,0.0187534,0,0.0174359,0,0,0.0903295
2286951,0.0541401,0.0187534,0,0.0174359,0,0,0.0903295
2286961,0.0324841,0,0,0.0174359,0,0,0.04992
2286971,0,0.0375069,0,0.0174359,0,0,0.0549428
2286981,0,0.0375069,0,0.0174359,0,0,0.0549428
2286991,0.0216561,0,0,0.0348718,0,0,0.0565278
2287001,0.0757962,0,0,0,0,0,0.0757962
2287024,0.0433121,0,0,0.0610256,0,0,0.104338
2287034,0.0433121,0,0,0.0610256,0,0,0.104338
2287044,0.0216561,0,0,0,0,0,0.0216561
2287054,0.0433121,0,0,0.00871795,0,0,0.05203
