ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1406040,0,0,0.0176349,0,0,0,0.0176349
1406053,0,0.0187638,0,0.0436121,0,0,0.0623759
1406070,0,0.0187638,0,0,0,0,0.0187638
1406079,0,0.0375276,0,0,0,0,0.0375276
1406089,0,0.0093819,0,0.0436121,0,0,0.052994
1406099,0,0.0093819,0,0.0436121,0,0,0.052994
1406109,0,0.0375276,0,0,0,0,0.0375276
1406119,0,0.0375276,0,0,0,0,0.0375276
1406129,0,0,0,0.0436121,0,0,0.0436121
1406139,0,0.0187638,0.00881743,0,0,0,0.0275812
1406161,0,0.0375276,0,0,0,0,0.0375276
1406174,0,0.0281457,0.0529046,0,0,0,0.0810503
1406184,0,0.0281457,0.0529046,0,0,0,0.0810503
1406194,0,0,0.0529046,0,0,0,0.0529046
1406204,0,0,0.0529046,0,0,0,0.0529046
1406214,0,0,0.0705394,0,0,0,0.0705394
1406224,0,0,0,0.0261673,0,0,0.0261673
1406234,0,0,0,0.0261673,0,0,0.0261673
1406250,0,0.0187638,0,0,0,0,0.0187638
1406252,0,0.0187638,0,0,0,0,0.0187638
1406262,0,0.0375276,0,0,0,0,0.0375276
1406274,0,0,0.0176349,0,0,0,0.0176349
1406284,0,0,0.0176349,0,0,0,0.0176349
1406294,0,0.0187638,0.0352697,0,0,0,0.0540335
1406304,0,0.0093819,0,0,0,0,0.0093819
1406314,0,0.0093819,0,0,0,0,0.0093819
1406330,0,0.0656733,0,0,0,0,0.0656733
1406332,0,0.0093819,0.0176349,0.0174448,0,0,0.0444616
1406367,0,0.0187638,0,0,0,0,0.0187638
1406374,0,0,0,0.0261673,0,0,0.0261673
1406384,0,0,0.00881743,0.0174448,0,0,0.0262623
1406394,0,0,0.00881743,0.0174448,0,0,0.0262623
1406404,0,0.0281457,0,0,0,0,0.0281457
1406414,0,0,0.061722,0,0,0,0.061722
1406436,0,0,0,0.0436121,0,0,0.0436121
1406446,0,0,0,0.0436121,0,0,0.0436121
1406456,0,0.0281457,0,0,0,0,0.0281457
1406466,0,0.0187638,0.0352697,0.0348897,0,0,0.0889232
1406476,0,0.0187638,0.0352697,0.0348897,0,0,0.0889232
1406486,0,0.0187638,0,0,0,0,0.0187638
1406496,0,0.0187638,0,0,0,0,0.0187638
1406506,0,0,0.0176349,0,0,0,0.0176349
1406516,0,0,0.0352697,0.00872242,0,0,0.0439921
1406526,0,0,0.0352697,0.00872242,0,0,0.0439921
1406536,0,0,0.0176349,0.0174448,0,0,0.0350797
1406546,0,0,0.00881743,0,0,0,0.00881743
1406556,0,0,0.00881743,0,0,0,0.00881743
1406566,0,0,0.0264523,0,0,0,0.0264523
1406582,0,0.0093819,0.0176349,0.0174448,0,0,0.0444616
1406592,0,0.0093819,0,0,0,0,0.0093819
1406602,0,0.0093819,0,0,0,0,0.0093819
1406612,0,0,0,0,0,0,0
1406622,0,0.0375276,0,0.0697794,0,0,0.107307
1406632,0,0.0375276,0,0.0697794,0,0,0.107307
1406642,0.0109184,0,0,0,0,0,0.0109184
1406652,0.0109184,0,0,0,0,0,0.0109184
1406662,0,0.0093819,0,0,0,0,0.0093819
1406672,0,0,0,0,0,0,0
1406682,0,0,0,0,0,0,0
1406694,0,0,0,0,0,0,0
1406704,0,0,0,0.0261673,0,0,0.0261673
1406736,0,0,0,0.0261673,0,0,0.0261673
1406742,0,0,0,0,0,0,0
1406752,0,0.0375276,0.0352697,0.0174448,0,0,0.0902421
1406775,0,0.0187638,0.00881743,0,0,0,0.0275812
1406785,0,0.0187638,0,0,0,0,0.0187638
1406796,0,0.0281457,0,0,0,0,0.0281457
1406806,0,0,0.0176349,0.0261673,0,0,0.0438021
1406816,0,0,0.0176349,0.0261673,0,0,0.0438021
1406826,0,0,0,0,0,0,0
1406836,0,0.0281457,0.00881743,0.00872242,0,0,0.0456855
1406846,0,0.0281457,0.00881743,0.00872242,0,0,0.0456855
1406860,0,0,0.0352697,0.0261673,0,0,0.061437
1406874,0,0.0187638,0,0,0,0,0.0187638
1406891,0,0,0.0705394,0.0261673,0,0,0.0967067
1406894,0,0,0.0705394,0.0261673,0,0,0.0967067
1406904,0,0,0.0176349,0.0261673,0,0,0.0438021
1406914,0,0,0.0176349,0,0,0,0.0176349
1406924,0,0,0.0176349,0,0,0,0.0176349
1406934,0,0,0,0,0,0,0
1406956,0,0,0,0.0174448,0,0,0.0174448
1406970,0,0,0,0,0,0,0
1406985,0,0.0375276,0.0264523,0,0,0,0.0639799
1406995,0,0.0187638,0,0,0,0,0.0187638
1407005,0,0.0187638,0,0,0,0,0.0187638
1407015,0,0,0,0,0,0,0
1407038,0,0.0469095,0,0,0,0,0.0469095
1407047,0,0,0,0.0261673,0,0,0.0261673
1407070,0,0.0281457,0.061722,0,0,0,0.0898677
1407109,0,0.0562914,0,0,0,0,0.0562914
1407115,0,0.0562914,0,0,0,0,0.0562914
1407116,0,0,0,0,0,0,0
1407126,0,0,0,0,0,0,0
1407136,0,0,0,0,0,0,0
1407146,0,0.0093819,0,0,0,0,0.0093819
1407156,0,0,0.0264523,0,0,0,0.0264523
1407166,0,0,0.0264523,0,0,0,0.0264523
1407176,0,0,0,0.00872242,0,0,0.00872242
1407186,0,0,0,0.00872242,0,0,0.00872242
1407196,0,0,0.00881743,0,0,0,0.00881743
1407206,0,0,0.0352697,0,0,0,0.0352697
1407229,0,0.0187638,0,0,0,0,0.0187638
1407239,0,0,0.0176349,0.0785018,0,0,0.0961367
1407262,0,0,0,0.0174448,0,0,0.0174448
1407273,0,0,0,0.0174448,0,0,0.0174448
1407282,0,0,0,0.0174448,0,0,0.0174448
1407294,0,0,0,0,0,0,0
1407300,0,0,0,0,0,0,0
1407309,0,0,0,0,0,0,0
1407319,0,0,0,0,0,0,0
1407329,0,0,0,0,0,0,0
1407339,0,0.0093819,0.00881743,0,0,0,0.0181993
1407362,0,0,0,0,0,0,0
1407373,0,0,0.00881743,0.0174448,0,0,0.0262623
1407389,0,0,0.0264523,0.0174448,0,0,0.0438971
1407399,0,0,0.00881743,0.0261673,0,0,0.0349847
1407421,0,0.0375276,0,0,0,0,0.0375276
1407444,0,0,0,0,0,0,0
1407481,0,0.0093819,0.0264523,0,0,0,0.0358342
1407489,0,0.0093819,0.0264523,0,0,0,0.0358342
1407490,0,0,0,0.0436121,0,0,0.0436121
1407501,0,0.0844371,0,0,0,0,0.0844371
1407512,0,0.0844371,0,0,0,0,0.0844371
1407522,0,0,0.0440871,0.0697794,0,0,0.113867
1407532,0,0.0281457,0,0,0,0,0.0281457
1407555,0,0.0093819,0.00881743,0,0,0,0.0181993
1407565,0,0.0093819,0,0,0,0,0.0093819
1407575,0,0,0,0,0,0,0
1407585,0,0,0.00881743,0.0174448,0,0,0.0262623
1407595,0,0,0.00881743,0.0174448,0,0,0.0262623
1407605,0,0,0,0,0,0,0
1407622,0,0,0.0176349,0,0,0,0.0176349
1407625,0,0,0.0176349,0,0,0,0.0176349
1407635,0,0,0,0,0,0,0
1407645,0,0,0,0,0,0,0
1407655,0,0,0,0,0,0,0
1407665,0,0.0281457,0,0,0,0,0.0281457
1407682,0,0,0.00881743,0,0,0,0.00881743
1407694,0,0,0,0.0348897,0,0,0.0348897
1407710,0,0,0,0,0,0,0
1407732,0,0,0.0264523,0.00872242,0,0,0.0351747
1407749,0,0,0.061722,0,0,0,0.061722
