ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1277901,0,0.0187742,0,0.0436345,0,0,0.0624087
1277907,0,0.0187742,0,0.0087269,0,0,0.0275011
1277917,0,0,0,0,0,0,0
1277927,0,0,0,0.0087269,0,0,0.0087269
1277943,0,0,0,0.0436345,0,0,0.0436345
1277953,0,0,0,0.0436345,0,0,0.0436345
1277965,0,0,0,0.0087269,0,0,0.0087269
1277978,0,0.0281612,0,0,0,0,0.0281612
1277997,0,0.0750966,0,0,0,0,0.0750966
1278007,0,0,0,0.0610883,0,0,0.0610883
1278017,0,0,0,0.0610883,0,0,0.0610883
1278027,0,0,0,0.0261807,0,0,0.0261807
1278050,0,0,0,0,0,0,0
1278060,0,0,0,0,0,0,0
1278070,0,0,0,0,0,0,0
1278081,0.0108974,0,0,0,0,0,0.0108974
1278083,0,0,0,0,0,0,0
1278106,0,0,0.0176807,0,0,0,0.0176807
1278116,0,0,0.0176807,0,0,0,0.0176807
1278126,0,0,0,0,0,0,0
1278136,0,0.0187742,0,0,0,0,0.0187742
1278158,0,0,0,0,0,0,0
1278168,0,0,0,0,0,0,0
1278178,0,0,0,0.0261807,0,0,0.0261807
1278188,0,0,0,0,0,0,0
1278198,0,0,0,0,0,0,0
1278208,0,0.00938708,0,0.0261807,0,0,0.0355678
1278218,0,0,0,0.0087269,0,0,0.0087269
1278235,0,0.00938708,0,0,0,0,0.00938708
1278245,0,0.00938708,0,0,0,0,0.00938708
1278269,0,0,0,0.0261807,0,0,0.0261807
1278275,0.0108974,0,0,0.0436345,0,0,0.0545319
1278285,0,0.0281612,0,0.0261807,0,0,0.0543419
1278296,0,0.00938708,0,0.0523614,0,0,0.0617485
1278318,0,0,0,0.0610883,0,0,0.0610883
1278335,0,0,0,0,0,0,0
1278345,0,0,0,0.0349076,0,0,0.0349076
1278367,0,0,0,0,0,0,0
1278377,0,0,0,0.0261807,0,0,0.0261807
1278387,0,0,0,0.0261807,0,0,0.0261807
1278398,0,0,0,0,0,0,0
1278408,0,0,0,0,0,0,0
1278418,0,0,0,0.0087269,0,0,0.0087269
1278428,0.0217949,0.0281612,0,0,0,0,0.0499561
1278438,0.0217949,0.0281612,0,0,0,0,0.0499561
1278448,0,0,0,0.0174538,0,0,0.0174538
1278458,0,0,0,0.0174538,0,0,0.0174538
1278468,0,0,0,0.0261807,0,0,0.0261807
1278478,0,0,0,0.0349076,0,0,0.0349076
1278488,0,0,0,0.0349076,0,0,0.0349076
1278499,0,0,0,0.0436345,0,0,0.0436345
1278508,0,0,0,0,0,0,0
1278518,0,0,0,0,0,0,0
1278528,0,0,0,0,0,0,0
1278538,0,0,0,0,0,0,0
1278548,0,0,0,0.0174538,0,0,0.0174538
1278558,0,0,0,0.0261807,0,0,0.0261807
1278568,0,0,0,0.0261807,0,0,0.0261807
1278578,0,0,0,0,0,0,0
1278588,0,0,0,0,0,0,0
1278611,0,0,0,0,0,0,0
1278644,0,0,0,0,0,0,0
1278646,0,0.00938708,0,0.0174538,0,0,0.0268409
1278656,0,0,0,0,0,0,0
1278678,0,0.00938708,0,0.0610883,0,0,0.0704754
1278688,0,0,0,0.0087269,0,0,0.0087269
1278698,0,0,0,0.0087269,0,0,0.0087269
1278708,0,0,0,0,0,0,0
1278718,0,0,0,0.0349076,0,0,0.0349076
1278728,0,0,0,0.0349076,0,0,0.0349076
1278739,0,0,0.00884035,0.0610883,0,0,0.0699287
1278750,0,0,0.00884035,0.0610883,0,0,0.0699287
1278760,0,0,0,0,0,0,0
1278770,0,0,0,0,0,0,0
1278779,0,0,0,0,0,0,0
1278790,0,0,0,0,0,0,0
1278799,0,0,0,0,0,0,0
1278816,0,0,0,0.0087269,0,0,0.0087269
1278826,0,0,0,0.0087269,0,0,0.0087269
1278836,0,0,0,0.0087269,0,0,0.0087269
1278846,0.0217949,0,0,0.0174538,0,0,0.0392487
1278856,0.0217949,0,0,0.0174538,0,0,0.0392487
1278866,0,0,0,0,0,0,0
1278888,0,0,0,0.0610883,0,0,0.0610883
1278898,0,0,0,0,0,0,0
1278921,0,0,0,0,0,0,0
1278931,0,0,0,0.0261807,0,0,0.0261807
1278947,0,0,0,0.0610883,0,0,0.0610883
1278957,0,0,0,0.0610883,0,0,0.0610883
1278967,0,0,0,0.0349076,0,0,0.0349076
1278977,0,0,0,0.0785421,0,0,0.0785421
1279003,0,0,0,0.0785421,0,0,0.0785421
1279010,0,0,0,0,0,0,0
1279019,0,0,0,0,0,0,0
1279032,0,0,0,0,0,0,0
1279048,0,0,0,0.0087269,0,0,0.0087269
1279060,0,0,0,0.0436345,0,0,0.0436345
1279082,0,0,0,0.0087269,0,0,0.0087269
1279092,0,0.00938708,0,0.0436345,0,0,0.0530216
1279108,0,0,0,0.0349076,0,0,0.0349076
1279131,0,0,0,0,0,0,0
1279141,0,0,0,0,0,0,0
1279151,0,0,0,0,0,0,0
1279161,0,0,0.0176807,0,0,0,0.0176807
1279171,0,0,0,0,0,0,0
1279193,0,0,0,0.0261807,0,0,0.0261807
1279210,0,0,0,0.0087269,0,0,0.0087269
1279220,0,0,0,0.0174538,0,0,0.0174538
1279230,0,0,0,0.0174538,0,0,0.0174538
1279241,0,0,0,0,0,0,0
1279251,0,0,0,0,0,0,0
1279261,0,0,0,0.0349076,0,0,0.0349076
1279271,0,0.0187742,0,0,0,0,0.0187742
1279281,0,0.0187742,0,0,0,0,0.0187742
1279291,0,0,0,0.0436345,0,0,0.0436345
1279301,0,0.0187742,0,0,0,0,0.0187742
1279311,0,0.0187742,0,0,0,0,0.0187742
1279321,0.0544872,0,0,0,0,0,0.0544872
1279331,0.0544872,0,0,0,0,0,0.0544872
1279341,0,0,0,0.0610883,0,0,0.0610883
1279372,0,0,0,0.0087269,0,0,0.0087269
1279378,0,0,0,0.0087269,0,0,0.0087269
1279381,0.0217949,0,0,0.0087269,0,0,0.0305218
1279389,0.0217949,0,0,0.0087269,0,0,0.0305218
1279400,0,0,0,0,0,0,0
1279422,0,0,0,0.0174538,0,0,0.0174538
1279432,0,0,0,0.0174538,0,0,0.0174538
1279455,0,0,0,0,0,0,0
1279464,0,0,0,0.0349076,0,0,0.0349076
1279471,0,0,0,0.0349076,0,0,0.0349076
1279481,0,0,0,0.0087269,0,0,0.0087269
1279495,0,0,0,0.0087269,0,0,0.0087269
1279505,0,0,0,0.0610883,0,0,0.0610883
1279514,0,0,0,0,0,0,0
1279524,0,0,0,0,0,0,0
1279534,0,0.00938708,0,0.0174538,0,0,0.0268409
1279545,0,0,0,0.0087269,0,0,0.0087269
1279554,0,0,0,0.0087269,0,0,0.0087269
1279564,0,0,0,0,0,0,0
1279574,0,0,0,0,0,0,0
1279584,0,0,0,0,0,0,0
1279594,0,0,0,0.0174538,0,0,0.0174538
1279604,0,0,0,0.0174538,0,0,0.0174538
1279614,0,0,0,0.0523614,0,0,0.0523614
1279637,0,0,0,0.0087269,0,0,0.0087269
1279641,0,0.0187742,0,0,0,0,0.0187742
1279656,0,0.0187742,0,0,0,0,0.0187742
1279666,0,0,0,0.0087269,0,0,0.0087269
1279676,0,0,0,0.0436345,0,0,0.0436345
1279686,0,0,0,0.0436345,0,0,0.0436345
1279696,0,0,0,0,0,0,0
1279712,0,0,0,0.0087269,0,0,0.0087269
1279738,0,0,0,0,0,0,0
1279745,0,0,0,0,0,0,0
