ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
884249,0,0.0171026,0.0817745,0,0,0,0.0988771
884259,0,0.0684105,0,0.0181818,0,0,0.0865923
884331,0,0.0684105,0,0.0181818,0,0,0.0865923
884333,0,0,0,0,0,0,0
884338,0,0.0256539,0.0545163,0.00909091,0,0,0.0892611
884349,0,0.0256539,0.0545163,0.00909091,0,0,0.0892611
884359,0,0.0342052,0.0272582,0,0,0,0.0614634
884433,0,0.0427565,0.0454303,0.0181818,0,0,0.106369
884435,0.0176532,0,0.0181721,0,0,0,0.0358253
884445,0,0,0.0363442,0,0,0,0.0363442
884532,0,0.0427565,0.0817745,0,0,0,0.124531
884546,0,0.0342052,0,0,0,0,0.0342052
884556,0,0,0.0272582,0,0,0,0.0272582
884568,0,0,0,0,0,0,0
884573,0,0,0,0,0,0,0
884634,0,0.0256539,0,0,0,0,0.0256539
884637,0,0,0,0.0181818,0,0,0.0181818
884647,0.0264798,0.0684105,0.0272582,0,0,0,0.122148
884657,0.0264798,0.0684105,0.0272582,0,0,0,0.122148
884666,0,0,0.0272582,0,0,0,0.0272582
884676,0,0,0.0272582,0,0,0,0.0272582
884737,0.00882658,0.0598592,0.0272582,0.0181818,0,0,0.114126
884745,0.0353063,0.0171026,0.00908605,0,0,0,0.061495
884755,0,0.0256539,0.0454303,0,0,0,0.0710842
884778,0,0.0684105,0.0363442,0,0,0,0.104755
884839,0,0.0256539,0,0,0,0,0.0256539
884846,0,0.0171026,0.0272582,0,0,0,0.0443608
884856,0,0,0,0.0181818,0,0,0.0181818
884866,0,0,0,0.0181818,0,0,0.0181818
884878,0,0.00855131,0.0272582,0,0,0,0.0358095
884942,0,0.00855131,0,0,0,0,0.00855131
884944,0,0.00855131,0,0,0,0,0.00855131
884946,0,0,0.00908605,0,0,0,0.00908605
884956,0,0.0171026,0,0.0272727,0,0,0.0443753
884966,0,0.0256539,0.0545163,0,0,0,0.0801702
884980,0,0.0256539,0.0545163,0,0,0,0.0801702
885044,0,0.0256539,0.0181721,0,0,0,0.043826
885047,0.0176532,0.0171026,0.0726884,0,0,0,0.107444
885048,0,0,0,0,0,0,0
885058,0,0,0,0,0,0,0
885068,0,0.0171026,0,0,0,0,0.0171026
885078,0.00882658,0,0,0.0181818,0,0,0.0270084
885148,0,0.0171026,0.0272582,0,0,0,0.0443608
885151,0,0.0256539,0.00908605,0,0,0,0.03474
885160,0.0264798,0.675553,1.83538,4.77273,12.2652,12.1189,7.31014
885248,0.564901,0.624245,0,0,1.24762,-15,1.18915
885249,0.564901,0.624245,0,0,1.24762,-15,1.18915
885252,0.141225,0.495976,0.208979,0.836364,14.593,3.63861,1.68254
885261,0.141225,0.384809,0.172635,0.654545,13.4032,3.33812,1.35321
885284,0.0970924,0.342052,0.218065,0.527273,11.6964,3.87756,1.18448
885354,0.150052,0.367706,0.136291,0.5,12.594,1.54065,1.15405
885357,0.150052,0.350604,0.127205,0.4,11.5129,0.387442,1.02786
885367,0.0176532,0.0855131,0.0636024,0.0545455,0,0,0.221314
885376,0,0.0342052,0.0636024,0.0545455,0,0,0.152353
885386,0,0.0342052,0.0636024,0.0545455,0,0,0.152353
885459,0,0.0427565,0.0272582,0.0363636,0,0,0.106378
885462,0,0,0,0.0272727,0,0,0.0272727
885464,0.0176532,0.0256539,0.0363442,0.0272727,0,0,0.106924
885474,0,0,0.0363442,0,0,0,0.0363442
885484,0,0.0171026,0,0.0181818,0,0,0.0352844
885583,0.0176532,0,0,0,0,0,0.0176532
885590,0,0,0,0,0,0,0
885660,0,0,0,0,0,0,0
885663,0,0,0,0,0,0,0
885673,0,0.0342052,0.00908605,0,0,0,0.0432913
885685,0.0176532,0,0.00908605,0.00909091,0,0,0.0358301
885688,0.0176532,0,0.00908605,0.00909091,0,0,0.0358301
885699,0.0176532,0.0171026,0.00908605,0,0,0,0.0438418
885760,0.0264798,0.00855131,0.0181721,0,0,0,0.0532032
885762,0.0264798,0.00855131,0.0181721,0,0,0,0.0532032
885769,0,0.0598592,0.0272582,0,0,0,0.0871173
885783,0,0.0171026,0.0181721,0,0,0,0.0352747
885793,0,0,0,0,0,0,0
885803,0,0,0,0,0,0,0
885863,0,0.0171026,0,0,0,0,0.0171026
885873,0.00882658,0.0513078,0,0.0272727,0,0,0.0874072
885883,0.00882658,0.0513078,0,0.0272727,0,0,0.0874072
885894,0.141225,1.62475,1.69001,4.1,12.8822,7.98844,7.55598
885904,0.141225,1.62475,1.69001,4.1,12.8822,7.98844,7.55598
885969,0.0529595,0.102616,0.118119,0.190909,0,0,0.464603
885971,0.0529595,0,0.336184,0.827273,9.00451,13.6939,1.21642
885990,0.0882658,0.384809,0.199893,0.481818,12.5233,2.71007,1.15479
886000,0.0970924,0.239437,0.118119,0.263636,10.0191,0.944459,0.718284
886070,0.0970924,0.239437,0.118119,0.263636,10.0191,0.944459,0.718284
886073,0.0353063,0.136821,0.0636024,0.172727,0,0,0.408457
886085,0,0.00855131,0.0181721,0.0363636,0,0,0.063087
886096,0,0.00855131,0.0181721,0.0363636,0,0,0.063087
886100,0,0.0171026,0.0454303,0,0,0,0.0625329
886173,0.00882658,0.0256539,0,0,0,0,0.0344805
886175,0.00882658,0.0256539,0,0,0,0,0.0344805
886188,0,0.00855131,0.0272582,0.0363636,0,0,0.0721731
886198,0,0,0.00908605,0,0,0,0.00908605
886201,0,0,0.00908605,0,0,0,0.00908605
886277,0,0,0,0,0,0,0
886280,0,0,0,0,0,0,0
886308,0.0176532,0.0171026,0.0181721,0,0,0,0.0529279
886314,0,0,0.0272582,0.0545455,0,0,0.0818036
886375,0,0.0256539,0.0363442,0.0454545,0,0,0.107453
886376,0,0.00855131,0,0,0,0,0.00855131
886385,0.00882658,0.0256539,0,0,0,0,0.0344805
886397,0,0.0256539,0.0454303,0,0,0,0.0710842
886404,0,0.0342052,0,0,0,0,0.0342052
886480,0.00882658,0.0342052,0,0,0,0,0.0430318
886483,0,0.0427565,0.0363442,0.00909091,0,0,0.0881917
886485,0,0.0684105,0.0545163,0.0181818,0,0,0.141109
886505,0,0.0684105,0.0545163,0.0181818,0,0,0.141109
886508,0.0706127,0.0171026,0,0,0,0,0.0877153
886518,0.00882658,0.0598592,0.0181721,0,0,0,0.0868578
886583,0,0.00855131,0.0272582,0,0,0,0.0358095
886584,0,0.00855131,0.0272582,0,0,0,0.0358095
886599,0,0.0342052,0.0454303,0,0,0,0.0796355
886611,0,0.0342052,0.0454303,0,0,0,0.0796355
886623,0.00882658,0.0684105,0.0454303,0,0,0,0.122667
886691,0.00882658,0.0684105,0.0454303,0,0,0,0.122667
886702,0.0529595,0.188129,0.0363442,0.318182,17.5032,2.85682,0.595614
886711,0.00882658,0.188129,0.0999466,0.472727,17.9334,7.32272,0.769629
886721,0.00882658,0.188129,0.0999466,0.472727,17.9334,7.32272,0.769629
886784,0.0441329,0.282193,0.154463,0.463636,14.4859,4.63414,0.944425
886787,0.0617861,0.282193,0.109033,0.281818,13.377,0.956783,0.73483
886790,0.0176532,0.0684105,0,0.0272727,0,0,0.113336
886805,0.0176532,0.0684105,0,0.0272727,0,0,0.113336
