ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
816864,0.06169,0.034188,0,0,0,0,0.095878
816874,0.0528771,0,0,0.0182013,0,0,0.0710784
816885,0.0528771,0,0,0.0182013,0,0,0.0710784
816948,0.0440643,0,0,0,0,0,0.0440643
816950,0.0528771,0.00854701,0,0.0182013,0,0,0.0796254
816959,0.0440643,0,0,0,0,0,0.0440643
816965,0.0440643,0,0,0,0,0,0.0440643
816975,0.0440643,0.017094,0,0,0,0,0.0611583
816988,0.0352514,0.00854701,0.00907635,0.0728051,0,0,0.12568
817050,0.0352514,0.00854701,0.00907635,0.0728051,0,0,0.12568
817053,0.0440643,0.00854701,0.027229,0,0,0,0.0798403
817070,0.06169,0.017094,0.00907635,0.0364026,0,0,0.124263
817088,0.0352514,0,0,0.0182013,0,0,0.0534527
817159,0.06169,0,0,0,0,0,0.06169
817162,0.0705029,0.034188,0,0,0,0,0.104691
817173,0.0440643,0.025641,0,0,0,0,0.0697053
817259,0.06169,0.025641,0.0363054,0,0,0,0.123636
817260,0.06169,0.034188,0.0181527,0.0182013,0,0,0.132232
817273,0.06169,0.034188,0.0181527,0.0182013,0,0,0.132232
817283,0.0264386,0.034188,0,0,0,0,0.0606266
817295,0.00881286,0.025641,0,0.00910064,0,0,0.0435545
817358,0.0264386,0,0,0.0364026,0,0,0.0628411
817360,0.0176257,0.00854701,0,0,0,0,0.0261727
817362,0.0793157,0,0,0.0273019,0,0,0.106618
817372,0.0969414,0,0.0363054,0,0,0,0.133247
817382,0.0969414,0,0.0363054,0,0,0,0.133247
817391,0.0440643,0,0,0,0,0,0.0440643
817402,0.0440643,0,0,0,0,0,0.0440643
817471,0.0528771,0.025641,0,0,0,0,0.0785182
817474,0.0793157,0,0,0,0,0,0.0793157
817495,0.0440643,0.017094,0.0181527,0,0,0,0.079311
817502,0.0528771,0,0.0181527,0.0182013,0,0,0.0892311
817565,0.0528771,0,0.0181527,0.0182013,0,0,0.0892311
817572,0.0705029,0.0598291,0.0453817,0,0,0,0.175714
817582,0.0264386,0,0,0.0546039,0,0,0.0810424
817598,0.0264386,0,0,0.0546039,0,0,0.0810424
817602,0.0440643,0.025641,0,0.00910064,0,0,0.078806
817670,0.06169,0.042735,0,0.00910064,0,0,0.113526
817674,0.06169,0.042735,0,0.00910064,0,0,0.113526
817684,0.06169,0.0598291,0,0,0,0,0.121519
817694,0.0440643,0.0769231,0,0,0,0,0.120987
817707,0.0440643,0.0769231,0,0,0,0,0.120987
817768,0.0528771,0.017094,0,0.00910064,0,0,0.0790718
817769,0.0528771,0.017094,0,0.00910064,0,0,0.0790718
817779,0.0528771,0,0,0.0364026,0,0,0.0892797
817796,0.0528771,0.042735,0.0181527,0.00910064,0,0,0.122866
817805,0.0528771,0.042735,0.027229,0.0273019,0,0,0.150143
817875,0.0528771,0.042735,0.027229,0.0273019,0,0,0.150143
817878,0.0352514,0.042735,0,0.0182013,0,0,0.0961878
817888,0.0352514,0,0,0.0364026,0,0,0.071654
817899,0.0352514,0,0,0.0364026,0,0,0.071654
817978,0.0881286,0.025641,0,0,0,0,0.11377
817981,0.0881286,0.025641,0,0,0,0,0.11377
817986,0.0440643,0.00854701,0.027229,0.0182013,0,0,0.0980416
818002,0.0440643,0.00854701,0.027229,0.0182013,0,0,0.0980416
818013,0.06169,0.017094,0.0363054,0.0455032,0,0,0.160593
818074,0.0881286,0,0,0,0,0,0.0881286
818075,0.0881286,0,0,0,0,0,0.0881286
818091,0,0,0,0,0,0,0
818103,0.0440643,0.042735,0,0.00910064,0,0,0.0959
818113,0.0440643,0.042735,0,0.00910064,0,0,0.0959
818183,0.0264386,0,0.00907635,0,0,0,0.0355149
818186,0.0528771,0.017094,0.027229,0,0,0,0.0972002
818204,0.06169,0,0,0,0,0,0.06169
818214,0.0705029,0,0,0,0,0,0.0705029
818300,0.0705029,0,0,0,0,0,0.0705029
818307,0.0528771,0.504274,2.85905,6.43415,10.2192,13.3032,9.85035
818310,0.440643,1.41026,0.417512,1.61081,13.9391,0.686066,3.87922
818385,0.387766,1.33333,0.390283,1.356,13.7804,0.10893,3.46738
818388,0.352514,1.2735,0.381207,1.33779,14.0326,0.41696,3.34502
818390,0.229134,0.74359,0.217832,0.655246,12.8924,-0.809774,1.8458
818401,0.229134,0.74359,0.217832,0.655246,12.8924,-0.809774,1.8458
818412,0.149819,0.478632,0.127069,0.373126,12.7337,-1.70455,1.12865
818421,0.114567,0.282051,0.0726108,0.182013,10.6292,-3.27055,0.651242
818484,0.0705029,0.0683761,0.00907635,0.0364026,0,0,0.184358
818486,0.0705029,0.034188,0.027229,0,0,0,0.13192
818496,0,0.017094,0,0,0,0,0.017094
818506,0.0705029,0,0.027229,0.00910064,0,0,0.106833
818516,0.0705029,0,0.027229,0.00910064,0,0,0.106833
818527,0.06169,0.025641,0.0363054,0.0182013,0,0,0.141838
818588,0.0352514,0.017094,0.0181527,0,0,0,0.0704981
818605,0.0352514,0.017094,0.0363054,0.0273019,0,0,0.115953
818615,0.00881286,0,0.027229,0,0,0,0.0360419
818625,0.00881286,0,0.027229,0,0,0,0.0360419
818689,0.06169,0.025641,0.00907635,0,0,0,0.0964074
818692,0.0440643,0.00854701,0.027229,0,0,0,0.0798403
818695,0.0176257,0.034188,0,0.0182013,0,0,0.070015
818716,0.0528771,0,0,0,0,0,0.0528771
818726,0.0440643,0,0.0181527,0,0,0,0.062217
818794,0.0440643,0,0.0181527,0,0,0,0.062217
818796,0.0440643,0.025641,0,0,0,0,0.0697053
818797,0.0881286,0.017094,0.0181527,0,0,0,0.123375
818808,0,0.00854701,0.0998398,0.0182013,0,0,0.126588
818819,0,0.00854701,0.0998398,0.0182013,0,0,0.126588
818830,0.0793157,0.034188,0.0181527,0.0182013,0,0,0.149858
818894,0.0793157,0.034188,0.0181527,0.0182013,0,0,0.149858
818897,0.00881286,0.0769231,0.027229,0.0182013,0,0,0.131166
818909,0.0176257,0.0769231,0.0453817,0,0,0,0.139931
818919,0.0176257,0.0769231,0.0453817,0,0,0,0.139931
818929,0.0264386,0,0.0181527,0,0,0,0.0445913
819006,0.0176257,0.034188,0.027229,0.00910064,0,0,0.0881434
819009,0,0.034188,0.027229,0,0,0,0.0614171
819011,1.9212,6.48718,0,0.809957,14.5794,-12.3641,9.21834
819020,0.6169,0.512821,0,0,-2.30321,-15,1.12972
819034,0.6169,0.512821,0,0,-2.30321,-15,1.12972
819099,0.176257,1.20513,0.208756,1.25589,18.236,0.438818,2.84603
819101,0.193883,0.74359,0.435665,1.31959,13.3102,4.55552,2.69273
819110,0.273199,1.12821,0.226909,1.01017,15.5228,-0.934193,2.63848
819120,0.24676,1.09402,0.190603,1.03747,16.4872,-0.65808,2.56885
819130,0.264386,1.08547,0.235985,0.928266,15.0487,-1.10738,2.51411
819140,0.264386,1.08547,0.235985,0.928266,15.0487,-1.10738,2.51411
819203,0.237947,0.846154,0.208756,0.755353,14.0953,-0.878754,2.04821
819204,0.167444,0.700855,0.108916,0.555139,15.9825,-1.99931,1.53235
819216,0.0352514,0.102564,0.00907635,0.127409,0,0,0.274301
819233,0.00881286,0.042735,0.0453817,0,0,0,0.0969296
819243,0.00881286,0.042735,0.0453817,0,0,0,0.0969296
819304,0.0528771,0,0.00907635,0.0364026,0,0,0.0983561
819306,0.00881286,0.00854701,0.0635344,0,0,0,0.0808943
819315,0.0264386,0,0,0,0,0,0.0264386
819325,0.0264386,0,0,0,0,0,0.0264386
819335,0.0264386,0,0.0544581,0.00910064,0,0,0.0899973
819345,0.00881286,0,0.00907635,0.0182013,0,0,0.0360905
819413,0.00881286,0,0.00907635,0.0182013,0,0,0.0360905
819421,0.0264386,0.017094,0.0181527,0,0,0,0.0616853
819423,0.0440643,0,0.00907635,0,0,0,0.0531406
819433,0.0440643,0,0.00907635,0,0,0,0.0531406
819443,0.0440643,0.0598291,0.027229,0,0,0,0.131122
819513,0.06169,0.0512821,0.00907635,0.00910064,0,0,0.131149
819515,0.06169,0.0512821,0.00907635,0.00910064,0,0,0.131149
819525,0.0528771,0.017094,0,0,0,0,0.0699712
819535,0.0352514,0.042735,0.027229,0,0,0,0.105216
819612,0.0264386,0.042735,0,0,0,0,0.0691736
819614,0.0352514,0.042735,0.00907635,0,0,0,0.0870628
819618,0.06169,0,0.0635344,0,0,0,0.125224
819628,0.06169,0,0.0635344,0,0,0,0.125224
819638,0.0705029,0.017094,0.0635344,0,0,0,0.151131
819648,0.0793157,0.034188,0,0,0,0,0.113504
819718,0.0793157,0.034188,0,0,0,0,0.113504
819720,0.0264386,0.0512821,0.0453817,0.00910064,0,0,0.132203
819727,0.0264386,0.034188,0.00907635,0,0,0,0.069703
819820,0.0705029,0.034188,0.0181527,0,0,0,0.122844
819824,0.0440643,0,0.0453817,0,0,0,0.089446
819831,0,0.042735,0.145222,2.36617,22.1571,14.498,2.55412
819839,0,0.042735,0.145222,2.36617,22.1571,14.498,2.55412
819850,0.202696,1.25641,0.235985,0.373126,14.3947,-6.16469,2.06822
819919,0.00881286,0,0.381207,0.473233,2.40989,14.6937,0.863253
819922,0.00881286,0,0.381207,0.473233,2.40989,14.6937,0.863253
819932,0.237947,0.957265,0.335825,1.14668,14.2862,1.60936,2.67772
819942,0.237947,1,0.290443,0.964668,14.4028,0.10327,2.49306
819959,0.237947,0.91453,0.245061,0.946467,14.6969,0.249901,2.34401
820020,0.237947,0.91453,0.19968,0.900964,15.2884,-0.345079,2.25312
820022,0.237947,0.965812,0.19968,0.900964,15.5045,-0.671209,2.3044
820044,0.0969414,0.470085,0.117993,0.364026,14.7557,-1.21552,1.04905
820054,0.149819,0.384615,0.0907635,0.254818,11.3308,-3.21902,0.880015
820064,0.149819,0.384615,0.0907635,0.254818,11.3308,-3.21902,0.880015
820149,0.105754,0.282051,0.0816871,0.109208,8.80497,-5.10395,0.5787
820155,0.0264386,0,0.027229,0,0,0,0.0536676
820225,0.0264386,0,0.027229,0,0,0,0.0536676
820228,0.00881286,0,0.0363054,0.00910064,0,0,0.0542189
820239,0.0528771,0.034188,0.027229,0,0,0,0.114294
820255,0.06169,0,0.0363054,0.0182013,0,0,0.116197
820265,0.0352514,0,0,0,0,0,0.0352514
820328,0.0264386,0.025641,0,0.0273019,0,0,0.0793815
820329,0.0352514,0.0512821,0,0,0,0,0.0865335
820339,0.0705029,0,0,0,0,0,0.0705029
