ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
239220,0.1051,0,0,0.0453817,0,0,0.150482
239222,0.122617,0,0,0.0816871,0,0,0.204304
239238,0.122617,0,0,0.0635344,0,0,0.186152
239248,0.122617,0,0,0.0816871,0,0,0.204304
239325,0.166409,0,0,0.027229,0,0,0.193638
239330,0.218959,0,0,0.0181527,0,0,0.237112
239332,0.157651,0,0,0.0907635,0,0,0.248414
239354,0.131376,0,0,0.0453817,0,0,0.176757
239424,0.0963421,0,0,0.027229,0,0,0.123571
239426,0.131376,0,0,0.027229,0,0,0.158605
239430,0.122617,0,0,0.0453817,0,0,0.167999
239441,0.122617,0,0,0.0453817,0,0,0.167999
239452,0.122617,0,0,0.0453817,0,0,0.167999
239461,0.1051,0,0,0.0181527,0,0,0.123253
239527,0.131376,0,0,0.0544581,0,0,0.185834
239529,0.1051,0,0,0.0363054,0,0,0.141406
239532,0.1051,0,0,0,0,0,0.1051
239541,0.122617,0,0,0.0181527,0,0,0.14077
239564,0.140134,0,0,0.0181527,0,0,0.158287
239640,0.131376,0,0,0.0453817,0,0,0.176757
239643,0.131376,0,0,0.0453817,0,0,0.176757
239653,0.113859,0,0,0.0998398,0,0,0.213699
239663,0.113859,0,0,0.0998398,0,0,0.213699
239734,0.157651,0,0,0.0544581,0,0,0.212109
239736,0.157651,0,0,0.0544581,0,0,0.212109
239746,0.113859,0,0,0.027229,0,0,0.141088
239757,0.131376,0,0,0,0,0,0.131376
239766,0.131376,0,0,0,0,0,0.131376
239838,0.113859,0,0,0.0544581,0,0,0.168317
239840,0.140134,0,0,0.0363054,0,0,0.176439
239845,0.0788253,0,0,0.0635344,0,0,0.14236
239857,0.0788253,0,0,0.0635344,0,0,0.14236
239865,0.131376,0,0,0.0726108,0,0,0.203986
239940,0.131376,0,0,0.0726108,0,0,0.203986
239943,0.0963421,0,0,0.0363054,0,0,0.132647
239948,0.1051,0,0,0.0181527,0,0,0.123253
239969,0.0963421,0,0,0.0453817,0,0,0.141724
239979,0.122617,0,0,0.0363054,0,0,0.158923
240051,0.122617,0,0,0.0363054,0,0,0.158923
240053,0.0613086,0,0,0.0544581,0,0,0.115767
240060,0.113859,0,0,0.0998398,0,0,0.213699
240079,0.0788253,0,0,0.0907635,0,0,0.169589
240140,0.131376,0,0,0.0544581,0,0,0.185834
240141,0.113859,0,0,0.0544581,0,0,0.168317
240150,0.1051,0,0,0.0181527,0,0,0.123253
240159,0.113859,0,0,0.0726108,0,0,0.18647
240170,0.0963421,0,0,0.0816871,0,0,0.178029
240242,0.131376,0,0.0273312,0.0635344,0,0,0.222241
240250,0.0963421,0,0,0.0907635,0,0,0.187106
240272,0.122617,0,0,0.0453817,0,0,0.167999
240284,0.122617,0,0,0.0453817,0,0,0.167999
240345,0.1051,0,0,0.0544581,0,0,0.159559
240348,0.148892,0,0,0.0544581,0,0,0.20335
240351,0.175167,0,0,0.0635344,0,0,0.238702
240366,0.131376,0,0,0.0453817,0,0,0.176757
240376,0.131376,0,0,0.0453817,0,0,0.176757
240386,0.0963421,0,0,0.0998398,0,0,0.196182
240448,0.0963421,0,0,0.0998398,0,0,0.196182
240449,0.131376,0,0,0.00907635,0,0,0.140452
240465,0.113859,0,0.0273312,0.0907635,0,0,0.231954
240475,0.113859,0,0.0273312,0.0907635,0,0,0.231954
240485,0.122617,0,0,0.0544581,0,0,0.177075
240555,0.131376,0,0,0.027229,0,0,0.158605
240558,0.131376,0,0,0.027229,0,0,0.158605
240653,0.0875837,0,0,0.0635344,0,0,0.151118
240658,0.122617,0,0,0.0453817,0,0,0.167999
240667,0.122617,0,0,0.0453817,0,0,0.167999
240678,0.1051,0,0,0.0544581,0,0,0.159559
240688,0.113859,0,0,0.0453817,0,0,0.159241
240758,0.113859,0,0,0.0453817,0,0,0.159241
240760,0.0875837,0,0,0.0181527,0,0,0.105736
240770,0.1051,0,0,0.0363054,0,0,0.141406
240780,0.1051,0,0,0.0363054,0,0,0.141406
240791,0.122617,0,0.0091104,0.0453817,0,0,0.177109
240871,0.122617,0,0.0091104,0.0453817,0,0,0.177109
240874,0.0963421,0,0,0.0816871,0,0,0.178029
240893,0.148892,0,0,0.0181527,0,0,0.167045
240969,0.140134,0,0,0.0544581,0,0,0.194592
240975,0.113859,0,0,0.0816871,0,0,0.195546
240986,0.0875837,0,0.0091104,0.0544581,0,0,0.151152
240990,0.0875837,0,0.0091104,0.0544581,0,0,0.151152
241067,0.122617,0,0,0.0544581,0,0,0.177075
241069,0.122617,0,0,0.0453817,0,0,0.167999
241071,0.1051,0,0,0.0544581,0,0,0.159559
241081,0.0788253,0,0,0.0726108,0,0,0.151436
241091,0.131376,0,0,0.0181527,0,0,0.149528
241104,0.131376,0,0,0.0181527,0,0,0.149528
241166,0.131376,0,0,0.027229,0,0,0.158605
241167,0.140134,0,0.0091104,0.0453817,0,0,0.194626
241176,0.113859,0,0,0.0544581,0,0,0.168317
241186,0.113859,0,0,0.0544581,0,0,0.168317
241196,0.0788253,0,0,0.0181527,0,0,0.096978
241273,0.0788253,0,0,0.027229,0,0,0.106054
241275,0.113859,0,0,0.0635344,0,0,0.177393
241285,0.113859,0,0,0.0453817,0,0,0.159241
241308,0.113859,0,0,0.00907635,0,0,0.122935
241377,0.113859,0,0,0.00907635,0,0,0.122935
241386,0.157651,0,0,0,0,0,0.157651
241397,0.157651,0,0,0,0,0,0.157651
241407,0.140134,0,0,0.0635344,0,0,0.203668
241471,0.201443,0,0,0.0544581,0,0,0.255901
241475,0.201443,0,0,0.0544581,0,0,0.255901
241476,0.113859,0.00858586,0,0.0453817,0,0,0.167826
241486,0.0963421,0,0,0,0,0,0.0963421
241496,0.0963421,0,0,0.0816871,0,0,0.178029
241574,0.131376,0,0,0.0363054,0,0,0.167681
241576,0.131376,0,0,0.027229,0,0,0.158605
241581,0.113859,0,0,0.027229,0,0,0.141088
241598,0.113859,0,0,0.0726108,0,0,0.18647
241607,0.157651,0,0,0.0635344,0,0,0.221185
241703,0.148892,0,0,0.0181527,0,0,0.167045
241709,0.140134,0.00858586,0,0,0,0,0.14872
241719,0.131376,0,0,0.0726108,0,0,0.203986
241794,0.122617,0,0,0.0544581,0,0,0.177075
241796,0.1051,0,0,0,0,0,0.1051
241800,0.148892,0,0,0.0998398,0,0,0.248732
241882,0.122617,0,0,0.0726108,0,0,0.195228
241885,0.122617,0,0,0.0726108,0,0,0.195228
241896,0.113859,0,0,0,0,0,0.113859
241906,0.148892,0,0,0.0635344,0,0,0.212427
241916,0.148892,0,0,0.0635344,0,0,0.212427
241986,0.148892,0,0,0.027229,0,0,0.176121
241990,0.1051,0,0,0.0816871,0,0,0.186788
242001,0.0875837,0,0,0.0544581,0,0,0.142042
242011,0.122617,0,0,0.0726108,0,0,0.195228
