ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
174367,0,0,0,0.0181044,0,0,0.0181044
174384,0.017562,0,0.0272873,0,0,0,0.0448493
174394,0.0526859,0,0.0181915,0.0633653,0,0,0.134243
174416,0.035124,0.00858586,0.0454789,0.0271566,0,0,0.116345
174426,0.0614669,0,0.00909577,0.0362087,0,0,0.106771
174457,0.0614669,0,0.00909577,0.0362087,0,0,0.106771
174467,0,0,0.0636704,0.0271566,0,0,0.090827
174477,0,0,0.0181915,0.0362087,0,0,0.0544003
174493,0.00878099,0,0.0181915,0.0724175,0,0,0.09939
174507,0.017562,0,0.0272873,0.0814696,0,0,0.126319
174530,0.035124,0,0,0.0814696,0,0,0.116594
174546,0.026343,0,0.00909577,0.0362087,0,0,0.0716475
174556,0,0.00858586,0.0545746,0.0905218,0,0,0.153682
174575,0.017562,0,0,0.00905218,0,0,0.0266142
174596,0.026343,0,0.0272873,0.0362087,0,0,0.089839
174606,0.00878099,0,0.0363831,0.00905218,0,0,0.0542163
174628,0.043905,0,0.0454789,0.0271566,0,0,0.11654
174638,0.00878099,0,0.00909577,0.0181044,0,0,0.0359811
174655,0.0614669,0,0.0181915,0,0,0,0.0796585
174665,0.043905,0.0171717,0.0727662,0.00905218,0,0,0.142895
174675,0.043905,0.0171717,0.0727662,0.00905218,0,0,0.142895
174685,0.017562,0,0.0272873,0.0271566,0,0,0.0720059
174695,0.017562,0,0.0272873,0.0271566,0,0,0.0720059
174705,0.0526859,0,0,0.099574,0,0,0.15226
174715,0.0702479,0,0,0.0271566,0,0,0.0974045
174737,0.017562,0,0.0272873,0.0181044,0,0,0.0629537
174747,0.0526859,0,0.00909577,0.0452609,0,0,0.107043
174771,0,0,0.00909577,0.0543131,0,0,0.0634089
174781,0,0,0.00909577,0.0543131,0,0,0.0634089
174785,0.043905,0,0.00909577,0.0724175,0,0,0.125418
174820,0.00878099,0,0.0636704,0.0452609,0,0,0.117712
174826,0.00878099,0,0.0636704,0.0452609,0,0,0.117712
174850,0.043905,0.0171717,0.0181915,0.0452609,0,0,0.124529
174866,0.043905,0,0.0272873,0.0543131,0,0,0.125505
174876,0.035124,0,0,0.0362087,0,0,0.0713327
174886,0.035124,0,0,0.0362087,0,0,0.0713327
174896,0.0614669,0.0171717,0.00909577,0.0633653,0,0,0.1511
174918,0.026343,0,0,0.0633653,0,0,0.0897083
174928,0.017562,0,0.0454789,0.0543131,0,0,0.117354
174938,0.017562,0,0.0454789,0.0543131,0,0,0.117354
174948,0.035124,0,0.0727662,0.0452609,0,0,0.153151
174959,0.0790289,0,0.0181915,0,0,0,0.0972205
174982,0,0,0.00909577,0.0543131,0,0,0.0634089
174986,0,0,0.00909577,0.0543131,0,0,0.0634089
175001,0,0,0.0181915,0.0633653,0,0,0.0815568
175021,0.0790289,0,0.0363831,0.0362087,0,0,0.151621
175023,0.0790289,0,0.0363831,0.0362087,0,0,0.151621
175028,0.017562,0,0.0454789,0.0362087,0,0,0.0992496
175037,0.026343,0,0.0181915,0.0452609,0,0,0.0897954
175048,0.026343,0,0.0181915,0.0452609,0,0,0.0897954
175060,0.0614669,0,0.0272873,0.0181044,0,0,0.106859
175070,0.0614669,0,0.0272873,0.0181044,0,0,0.106859
175080,0.035124,0,0.0363831,0.0633653,0,0,0.134872
175092,0.035124,0,0.0181915,0.0724175,0,0,0.125733
175109,0.035124,0,0.0545746,0.00905218,0,0,0.0987508
175120,0.043905,0,0.0454789,0.00905218,0,0,0.098436
175129,0.043905,0,0.0454789,0.00905218,0,0,0.098436
175138,0.043905,0,0.0272873,0.0271566,0,0,0.0983488
175161,0.0526859,0,0.0181915,0.0543131,0,0,0.125191
175194,0.00878099,0,0.0272873,0.0633653,0,0,0.0994336
175203,0,0,0.0454789,0.0814696,0,0,0.126949
175221,0.0702479,0,0.0545746,0.0452609,0,0,0.170083
175235,0.0702479,0,0.0545746,0.0452609,0,0,0.170083
175245,0.0614669,0,0,0.0362087,0,0,0.0976757
175250,0,0,0.081862,0.0181044,0,0,0.0999663
175279,0.0526859,0,0.0272873,0.099574,0,0,0.179547
175285,0.026343,0,0.0272873,0.0814696,0,0,0.1351
175292,0.026343,0,0.0272873,0.0814696,0,0,0.1351
175304,0.00878099,0,0.0454789,0.0452609,0,0,0.0995208
175314,0.0790289,0,0,0.0452609,0,0,0.12429
175324,0.0790289,0,0,0.0814696,0,0,0.160499
175334,0.00878099,0,0.0272873,0.0362087,0,0,0.072277
175344,0.00878099,0,0.0272873,0.0362087,0,0,0.072277
175355,0.043905,0,0.0454789,0.0543131,0,0,0.143697
175365,0.043905,0,0.0454789,0,0,0,0.0893838
175381,0.0790289,0,0.0181915,0.0362087,0,0,0.133429
175391,0.0790289,0,0.0181915,0.0362087,0,0,0.133429
175401,0,0.00858586,0.0181915,0.0633653,0,0,0.0901427
175411,0.035124,0,0,0.0271566,0,0,0.0622805
