ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4397832,0.021519,0.0282236,0.0353247,0.0692817,0,0,0.154349
4397842,0.021519,0.0282236,0.0353247,0.0692817,0,0,0.154349
4397852,0.043038,0.00940786,0.0264935,0.0519613,0,0,0.130901
4397868,0.043038,0.00940786,0.0264935,0.0519613,0,0,0.130901
4397873,0.064557,0,0,0.0259806,0,0,0.0905376
4397883,0,0,0.0618182,0,0,0,0.0618182
4397908,0,0,0.0618182,0,0,0,0.0618182
4397915,0.0537975,0.0282236,0,0.0173204,0,0,0.0993415
4397924,0.0537975,0.0282236,0,0.0173204,0,0,0.0993415
4397935,0.064557,0,0.0353247,0.0606215,0,0,0.160503
4397945,0.064557,0,0.0353247,0.0606215,0,0,0.160503
4397955,0.021519,0,0,0.0346409,0,0,0.0561598
4397964,0.043038,0.0282236,0,0.103923,0,0,0.175184
4397974,0.043038,0.0282236,0,0.103923,0,0,0.175184
4397986,0.064557,0.0376314,0,0.0519613,0,0,0.15415
4397996,0,0.0376314,0.0264935,0.0519613,0,0,0.116086
4398006,0,0,0.0264935,0.0519613,0,0,0.0784548
4398016,0.043038,0,0.0176623,0.0259806,0,0,0.086681
4398026,0.043038,0,0.0176623,0.0259806,0,0,0.086681
4398036,0.0753165,0,0,0.0606215,0,0,0.135938
4398046,0.064557,0.0282236,0.00883117,0.0259806,0,0,0.127592
4398056,0.064557,0.0282236,0.00883117,0.0259806,0,0,0.127592
4398066,0.0968354,0,0,0,0,0,0.0968354
4398076,0.0968354,0,0,0,0,0,0.0968354
4398087,0.107595,0,0.00883117,0.0346409,0,0,0.151067
4398097,0.0537975,0.0188157,0,0.0606215,0,0,0.133235
4398120,0,0.0470393,0,0.0606215,0,0,0.107661
4398123,0,0.0188157,0,0.0519613,0,0,0.070777
4398139,0,0.0188157,0,0.0519613,0,0,0.070777
4398150,0.064557,0,0,0.0606215,0,0,0.125178
4398159,0.064557,0,0,0.0606215,0,0,0.125178
4398163,0.0322785,0,0,0.0519613,0,0,0.0842398
4398178,0.043038,0,0.00883117,0.0346409,0,0,0.08651
4398188,0.043038,0,0.00883117,0.0346409,0,0,0.08651
4398199,0.0753165,0,0,0.0346409,0,0,0.109957
4398208,0.0753165,0,0,0.0346409,0,0,0.109957
4398218,0.0107595,0,0,0.0519613,0,0,0.0627208
4398230,0.0860759,0,0,0.0259806,0,0,0.112057
4398240,0.0860759,0,0,0.0259806,0,0,0.112057
4398250,0.0860759,0.0188157,0,0.0346409,0,0,0.139533
4398280,0,0,0,0.0606215,0,0,0.0606215
4398282,0,0,0,0.0606215,0,0,0.0606215
4398285,0.0753165,0,0,0.00866021,0,0,0.0839767
4398300,0,0,0.0353247,0.00866021,0,0,0.0439849
4398310,0.043038,0,0,0.0779419,0,0,0.12098
4398320,0.043038,0,0,0.0779419,0,0,0.12098
4398329,0.0107595,0.0564471,0.00883117,0.0433011,0,0,0.119339
4398339,0.0537975,0.00940786,0,0.0346409,0,0,0.0978462
4398350,0.0537975,0.00940786,0,0.0346409,0,0,0.0978462
4398360,0.0968354,0,0,0.0173204,0,0,0.114156
4398370,0.0968354,0,0,0.0173204,0,0,0.114156
4398379,0.0322785,0,0.0441558,0.0173204,0,0,0.0937548
4398389,0.0107595,0,0.00883117,0.00866021,0,0,0.0282509
4398401,0.0107595,0,0.00883117,0.00866021,0,0,0.0282509
4398411,0.0322785,0.00940786,0,0.0692817,0,0,0.110968
4398415,0.021519,0.0188157,0.052987,0.0433011,0,0,0.136623
4398430,0.021519,0.0188157,0.052987,0.0433011,0,0,0.136623
4398440,0.064557,0,0.0353247,0.0346409,0,0,0.134522
4398450,0.064557,0,0.0353247,0.0346409,0,0,0.134522
4398460,0.0537975,0,0,0.0259806,0,0,0.0797781
4398468,0.0537975,0,0.0264935,0.0606215,0,0,0.140912
4398478,0.0537975,0,0.0264935,0.0606215,0,0,0.140912
4398488,0.0107595,0.00940786,0.0176623,0.0606215,0,0,0.0984512
4398498,0.0753165,0.00940786,0.0441558,0.0606215,0,0,0.189502
4398510,0.0753165,0,0.0441558,0.0433011,0,0,0.162773
4398519,0.0860759,0,0.0176623,0.0173204,0,0,0.121059
4398530,0.0860759,0,0.0176623,0.0173204,0,0,0.121059
4398540,0.0537975,0,0.00883117,0.0259806,0,0,0.0886093
4398556,0.0322785,0,0,0.0606215,0,0,0.0929
4398566,0.0860759,0.0376314,0,0.0779419,0,0,0.201649
4398576,0.0860759,0.0376314,0,0.0779419,0,0,0.201649
4398586,0.0322785,0,0,0.0433011,0,0,0.0755796
4398596,0,0.0188157,0.0176623,0.103923,0,0,0.140401
4398606,0,0.0188157,0.0176623,0.103923,0,0,0.140401
4398616,0.064557,0,0,0.0606215,0,0,0.125178
4398646,0.0107595,0,0,0.0433011,0,0,0.0540606
4398653,0.0107595,0,0,0.0433011,0,0,0.0540606
4398670,0.0537975,0.00940786,0,0,0,0,0.0632053
4398680,0.0537975,0,0,0.0519613,0,0,0.105759
4398702,0.043038,0,0,0,0,0,0.043038
4398712,0.0322785,0,0,0,0,0,0.0322785
4398728,0.0322785,0,0,0.0519613,0,0,0.0842398
4398738,0.0322785,0,0,0.0519613,0,0,0.0842398
4398748,0,0.0282236,0.0264935,0.0346409,0,0,0.0893579
4398758,0.043038,0,0.0176623,0.0606215,0,0,0.121322
4398781,0,0.0376314,0,0.0259806,0,0,0.0636121
4398791,0,0.0376314,0,0.0259806,0,0,0.0636121
4398801,0.0322785,0,0,0.00866021,0,0,0.0409387
4398811,0,0.0282236,0.00883117,0.0606215,0,0,0.0976762
4398822,0,0.0282236,0.00883117,0.0606215,0,0,0.0976762
4398827,0,0,0.0176623,0.0259806,0,0,0.043643
4398837,0.0537975,0.0752629,0.0264935,0.0952624,0,0,0.250816
4398847,0.0537975,0.0752629,0.0264935,0.0952624,0,0,0.250816
4398858,0,0.065855,0,0.0606215,0,0,0.126477
4398868,0,0.065855,0,0.0606215,0,0,0.126477
4398878,0.0537975,0,0,0.00866021,0,0,0.0624577
4398888,0.0322785,0,0.0264935,0.0433011,0,0,0.102073
4398898,0.0322785,0,0.0264935,0.0433011,0,0,0.102073
