ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4332531,0,0.0843905,0,0.0260337,0,0,0.110424
4332541,0,0.0843905,0,0.0260337,0,0,0.110424
4332551,0.010828,0.0187534,0,0.0433895,0,0,0.072971
4332561,0.010828,0.0187534,0,0.0433895,0,0,0.072971
4332572,0,0.0281302,0,0.0781011,0,0,0.106231
4332582,0,0,0,0.0433895,0,0,0.0433895
4332592,0,0,0,0.0433895,0,0,0.0433895
4332602,0,0.0562603,0,0.086779,0,0,0.143039
4332612,0,0.0281302,0,0.0260337,0,0,0.0541639
4332622,0,0.0281302,0,0.0260337,0,0,0.0541639
4332632,0,0,0,0.0694232,0,0,0.0694232
4332642,0,0,0,0.0694232,0,0,0.0694232
4332652,0,0.0281302,0,0,0,0,0.0281302
4332662,0,0,0,0.0260337,0,0,0.0260337
4332672,0,0,0,0.0260337,0,0,0.0260337
4332682,0,0.00937672,0,0.0954569,0,0,0.104834
4332693,0,0.00937672,0,0.0954569,0,0,0.104834
4332703,0,0,0,0.0086779,0,0,0.0086779
4332713,0,0.0187534,0,0.0347116,0,0,0.053465
4332723,0,0.0187534,0,0.0347116,0,0,0.053465
4332733,0.0324841,0.0562603,0,0.0173558,0,0,0.1061
4332743,0,0.00937672,0,0.0260337,0,0,0.0354104
4332753,0,0.00937672,0,0.0260337,0,0,0.0354104
4332763,0,0,0,0.0347116,0,0,0.0347116
4332773,0,0,0,0.0347116,0,0,0.0347116
4332779,0,0.0468836,0,0.0433895,0,0,0.0902731
4332794,0.010828,0.0281302,0,0.0173558,0,0,0.056314
4332804,0.010828,0.0281302,0,0.0173558,0,0,0.056314
4332814,0,0.0281302,0,0.0433895,0,0,0.0715197
4332824,0,0.0281302,0,0.0347116,0,0,0.0628418
4332835,0,0.0281302,0,0.0347116,0,0,0.0628418
4332862,0,0.0187534,0,0.0260337,0,0,0.0447871
4332868,0,0.0187534,0,0.0260337,0,0,0.0447871
4332871,0,0.00937672,0,0.0520674,0,0,0.0614441
4332881,0,0.00937672,0,0.0520674,0,0,0.0614441
4332893,0,0.00937672,0,0.0260337,0,0,0.0354104
4332903,0,0.00937672,0,0.0260337,0,0,0.0354104
4332913,0,0.00937672,0,0.0173558,0,0,0.0267325
4332923,0,0,0,0.0520674,0,0,0.0520674
4332933,0,0,0,0.0520674,0,0,0.0520674
4332943,0,0,0,0.0260337,0,0,0.0260337
4332953,0,0,0,0.0173558,0,0,0.0173558
4332971,0,0,0,0.0520674,0,0,0.0520674
4332981,0,0,0,0.0520674,0,0,0.0520674
4332995,0,0.0468836,0,0.0954569,0,0,0.14234
4333004,0,0.00937672,0,0.0694232,0,0,0.0787999
4333021,0,0.0187534,0,0,0,0,0.0187534
4333032,0,0.0750138,0,0.0954569,0,0,0.170471
4333042,0,0.0750138,0,0.0954569,0,0,0.170471
4333052,0,0,0,0.0347116,0,0,0.0347116
4333062,0,0,0,0.0347116,0,0,0.0347116
4333072,0,0,0,0.0433895,0,0,0.0433895
4333082,0,0,0,0.0260337,0,0,0.0260337
4333094,0,0,0,0.0260337,0,0,0.0260337
4333102,0,0,0,0.0086779,0,0,0.0086779
4333112,0,0,0,0.0173558,0,0,0.0173558
4333122,0,0,0,0.0173558,0,0,0.0173558
4333132,0,0,0,0.0086779,0,0,0.0086779
4333142,0,0,0,0.0086779,0,0,0.0086779
4333152,0,0,0,0,0,0,0
4333162,0,0.0187534,0,0.0347116,0,0,0.053465
4333175,0,0.0187534,0,0.0347116,0,0,0.053465
4333182,0,0.0843905,0,0.0260337,0,0,0.110424
4333192,0,0.0843905,0,0.0260337,0,0,0.110424
4333202,0,0,0,0.0260337,0,0,0.0260337
4333231,0,0.0281302,0,0.0607453,0,0,0.0888755
4333237,0,0,0,0.0086779,0,0,0.0086779
4333247,0,0.0187534,0,0.112813,0,0,0.131566
4333257,0,0.0187534,0,0.112813,0,0,0.131566
4333267,0,0.0187534,0,0.0694232,0,0,0.0881766
4333277,0,0.0187534,0,0.0694232,0,0,0.0881766
4333287,0,0,0,0.0086779,0,0,0.0086779
4333298,0,0.0187534,0,0.0520674,0,0,0.0708208
4333303,0,0.0187534,0,0.0520674,0,0,0.0708208
4333318,0,0.103144,0,0.0433895,0,0,0.146533
4333329,0,0.0468836,0,0.0520674,0,0,0.098951
4333333,0,0.0468836,0,0.0520674,0,0,0.098951
4333348,0.010828,0.0375069,0,0.0520674,0,0,0.100402
4333358,0.010828,0.0375069,0,0.0520674,0,0,0.100402
4333368,0,0.0187534,0,0.0173558,0,0,0.0361092
4333378,0,0.0281302,0,0.0781011,0,0,0.106231
4333388,0,0.0281302,0,0.0781011,0,0,0.106231
4333398,0,0.00937672,0,0,0,0,0.00937672
4333405,0,0.0562603,0.00884035,0.0520674,0,0,0.117168
4333413,0,0.0562603,0.00884035,0.0520674,0,0,0.117168
4333423,0,0,0,0.0520674,0,0,0.0520674
4333446,0,0,0,0,0,0,0
4333456,0,0,0,0.0607453,0,0,0.0607453
4333466,0,0,0,0.0607453,0,0,0.0607453
4333476,0,0,0,0.0347116,0,0,0.0347116
4333486,0,0.00937672,0,0.0954569,0,0,0.104834
4333496,0,0.00937672,0,0.0954569,0,0,0.104834
4333506,0,0,0,0.0433895,0,0,0.0433895
4333516,0,0,0,0.0433895,0,0,0.0433895
4333526,0,0.0281302,0,0.0781011,0,0,0.106231
4333536,0.010828,0,0,0.0694232,0,0,0.0802512
4333546,0.010828,0,0,0.0694232,0,0,0.0802512
4333555,0,0.00937672,0,0.0781011,0,0,0.0874778
4333566,0,0.00937672,0,0.0781011,0,0,0.0874778
4333597,0,0,0,0.0607453,0,0,0.0607453
4333603,0.0433121,0,0,0.156202,0,0,0.199514
4333604,0.010828,0.0375069,0,0.112813,0,0,0.161148
4333614,0.0324841,0.112521,0,0.104135,0,0,0.24914
4333637,0,0.0562603,0,0,0,0,0.0562603
4333647,0,0.0281302,0,0,0,0,0.0281302
4333657,0,0.0281302,0,0,0,0,0.0281302
4333667,0,0,0,0.0347116,0,0,0.0347116
4333677,0,0,0,0.0347116,0,0,0.0347116
4333687,0,0.0281302,0,0.0433895,0,0,0.0715197
4333697,0,0.0468836,0,0.0347116,0,0,0.0815952
