ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2090982,0,0.0562293,0.0351421,0,0,0,0.0913714
2091009,0,0,0.0439276,0,0,0,0.0439276
2091015,0.0108626,0,0.0527132,0.00871795,0,0,0.0722937
2091019,0.0108626,0,0.0527132,0.00871795,0,0,0.0722937
2091034,0.0325879,0,0.0175711,0.0348718,0,0,0.0850307
2091043,0.0434505,0.0187431,0.0527132,0,0,0,0.114907
2091060,0.0108626,0.0374862,0.0527132,0.0435897,0,0,0.144652
2091070,0,0.0374862,0.0439276,0.0435897,0,0,0.125004
2091080,0,0.0468578,0.0439276,0,0,0,0.0907854
2091090,0.0108626,0,0.0351421,0,0,0,0.0460047
2091112,0,0.0281147,0,0,0,0,0.0281147
2091123,0.0217252,0.0281147,0.0351421,0,0,0,0.084982
2091132,0.0217252,0.0281147,0.0351421,0,0,0,0.084982
2091144,0,0,0.0351421,0,0,0,0.0351421
2091154,0,0,0.0351421,0,0,0,0.0351421
2091164,0.0217252,0,0.0439276,0,0,0,0.0656529
2091175,0.0217252,0.0374862,0.0175711,0,0,0,0.0767825
2091185,0.0217252,0.0374862,0.0175711,0,0,0,0.0767825
2091195,0.0760383,0,0.0614987,0,0,0,0.137537
2091205,0.0325879,0.0468578,0.0790698,0,0,0,0.158515
2091222,0.0108626,0,0.0702842,0.0261538,0,0,0.107301
2091231,0.0108626,0,0.0702842,0.0261538,0,0,0.107301
2091244,0,0.0468578,0.0175711,0,0,0,0.0644288
2091254,0,0,0,0.0435897,0,0,0.0435897
2091264,0,0,0,0.0435897,0,0,0.0435897
2091274,0.0217252,0.0656009,0.0351421,0,0,0,0.122468
2091284,0.0325879,0,0.0614987,0,0,0,0.0940866
2091294,0.0325879,0,0.0614987,0,0,0,0.0940866
2091305,0,0.0374862,0.0966408,0.0348718,0,0,0.168999
2091315,0,0.0374862,0.0966408,0.0348718,0,0,0.168999
2091329,0,0.0468578,0.0351421,0,0,0,0.0819999
2091331,0,0.0374862,0.0966408,0.0261538,0,0,0.160281
2091341,0,0.0374862,0.0966408,0.0261538,0,0,0.160281
2091376,0.0434505,0.0374862,0.0790698,0,0,0,0.160006
2091382,0.0217252,0,0.00878553,0.00871795,0,0,0.0392287
2091411,0,0,0.0527132,0,0,0,0.0527132
2091417,0,0.0281147,0.0175711,0,0,0,0.0456857
2091432,0,0.0187431,0.0439276,0,0,0,0.0626708
2091442,0,0.0187431,0.0439276,0,0,0,0.0626708
2091452,0,0.0187431,0.0439276,0,0,0,0.0626708
2091462,0.0434505,0.0187431,0.0527132,0.0174359,0,0,0.132343
2091472,0.0434505,0.0187431,0.0527132,0.0174359,0,0,0.132343
