ms,Sensor 1 (kg),Sensor 2 (kg),Sensor  3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1689955,0,0.0750138,0,0,0,0,0.0750138
1689959,0,0.0562603,0,0,0,0,0.0562603
1689975,0,0.00937672,0,0,0,0,0.00937672
1689979,0,0.00937672,0,0,0,0,0.00937672
1689994,0.0216699,0.0750138,0,0,0,0,0.0966836
1690004,0,0.00937672,0,0,0,0,0.00937672
1690014,0,0.00937672,0,0,0,0,0.00937672
1690024,0.0325048,0.0656371,0,0.0174448,0,0,0.115587
1690029,0.0325048,0.0656371,0,0.0174448,0,0,0.115587
1690044,0.0541746,0.112521,0,0,0,0,0.166695
1690074,0,0.0468836,0,0,0,0,0.0468836
1690080,0,0.0468836,0,0,0,0,0.0468836
1690090,0,0.0562603,0,0,0,0,0.0562603
1690100,0,0.0843905,0,0,0,0,0.0843905
1690113,0,0.0843905,0,0,0,0,0.0843905
1690120,0.0216699,0.00937672,0,0,0,0,0.0310466
1690136,0.0325048,0.0562603,0,0,0,0,0.0887651
1690146,0.0325048,0.0562603,0,0,0,0,0.0887651
1690155,0.0216699,0.0281302,0,0,0,0,0.0498
1690166,0.0216699,0.0281302,0,0,0,0,0.0498
1690176,0.0108349,0,0,0,0,0,0.0108349
1690185,0.0108349,0,0,0,0,0,0.0108349
1690203,0.0108349,0,0,0,0,0,0.0108349
1690208,0,0.0937672,0,0,0,0,0.0937672
1690212,0,0.0656371,0,0,0,0,0.0656371
1690227,0,0.0656371,0,0,0,0,0.0656371
1690237,0.0325048,0.0375069,0,0,0,0,0.0700117
1690247,0.0325048,0.0375069,0,0,0,0,0.0700117
1690257,0,0.0375069,0,0,0,0,0.0375069
1690260,0.0108349,0.0750138,0,0,0,0,0.0858487
1690281,0,0,0,0,0,0,0
1690292,0,0.0468836,0,0,0,0,0.0468836
1690302,0,0.0468836,0,0,0,0,0.0468836
1690313,0,0.0562603,0,0,0,0,0.0562603
1690323,0,0.0562603,0,0,0,0,0.0562603
1690334,0,0.0750138,0,0,0,0,0.0750138
1690344,0,0.0187534,0,0,0,0,0.0187534
1690363,0.0325048,0.0750138,0,0,0,0,0.107519
1690373,0.0325048,0.0468836,0,0,0,0,0.0793884
1690383,0.0325048,0.0468836,0,0,0,0,0.0793884
1690393,0,0.0562603,0,0,0,0,0.0562603
1690403,0,0.0562603,0,0,0,0,0.0562603
1690413,0,0.0750138,0,0,0,0,0.0750138
1690442,0,0.0750138,0,0,0,0,0.0750138
1690449,0.0325048,0.0562603,0,0,0,0,0.0887651
1690458,0.0216699,0.0187534,0,0,0,0,0.0404233
1690468,0.0216699,0.0187534,0,0,0,0,0.0404233
1690478,0.0325048,0.0281302,0,0,0,0,0.0606349
1690483,0.0325048,0.0281302,0,0,0,0,0.0606349
1690496,0,0.0281302,0,0,0,0,0.0281302
1690507,0.0216699,0.0375069,0,0,0,0,0.0591767
1690518,0.0216699,0.0375069,0,0,0,0,0.0591767
