ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3511161,9.28553,10.5472,3.63631,8.34372,4.69076,-3.70261,31.8127
3511171,9.28553,10.5472,3.63631,8.34372,4.69076,-3.70261,31.8127
3511181,9.44806,10.6415,3.1875,7.70991,4.6115,-4.44969,30.987
3511197,9.84895,10.8208,3.07759,7.48417,4.30526,-4.8547,31.2315
3511199,9.84895,10.8208,3.07759,7.48417,4.30526,-4.8547,31.2315
3511209,10.109,11.0755,2.97683,7.48417,4.32433,-5.08294,31.6455
3511222,10.109,11.0755,2.97683,7.48417,4.32433,-5.08294,31.6455
3511233,10.3799,11.3491,3.05011,7.68386,4.31489,-5.08039,32.4629
3511245,10.5099,11.7264,2.87608,7.77068,4.64612,-5.2867,32.8831
3511248,10.5099,11.7264,2.87608,7.77068,4.64612,-5.2867,32.8831
3511278,10.5315,12.0189,2.61961,7.63177,4.9536,-5.62425,32.8018
3511284,10.3799,12.4245,2.21659,7.29316,5.50937,-6.17128,32.3141
3511290,10.0331,12.8585,1.85938,7.09346,6.32719,-6.56572,31.8445
3511299,10.0331,12.8585,1.85938,7.09346,6.32719,-6.56572,31.8445
3511309,9.51307,13.1698,1.76778,6.93718,7.02991,-6.67994,31.3878
3511320,9.02549,13.2925,1.75862,6.99796,7.64798,-6.54622,31.0745
3511329,9.02549,13.2925,1.75862,6.99796,7.64798,-6.54622,31.0745
3511339,8.27788,13.2547,1.90517,7.2237,8.39438,-6.06807,30.6615
3511350,7.11855,12.6604,2.125,7.39734,9.22671,-5.25058,29.3013
3511361,7.11855,12.6604,2.125,7.39734,9.22671,-5.25058,29.3013
3511371,5.95921,11.7642,2.125,7.19765,10.0547,-4.65912,27.046
3511394,5.2441,11.0094,2.15248,7.13687,10.5212,-4.0897,25.5429
3511404,4.81071,10.3868,2.13416,7.20633,10.8487,-3.58037,24.538
3511410,4.81071,10.3868,2.13416,7.20633,10.8487,-3.58037,24.538
3511424,4.69152,10.1226,2.19828,7.23238,10.7912,-3.33072,24.2448
3511434,5.34162,10.3019,2.37231,7.78805,10.0528,-3.1874,25.8039
3511444,5.34162,10.3019,2.37231,7.78805,10.0528,-3.1874,25.8039
3511454,6.20841,10.5943,2.83944,8.47395,8.90986,-2.92858,28.1161
3511459,6.20841,10.5943,2.83944,8.47395,8.90986,-2.92858,28.1161
3511474,11.9726,11.4245,9.70905,11.4173,0.651422,-0.765038,44.5234
3511491,9.78394,11.3208,8.68319,11.478,2.62424,-0.342946,41.2659
3511493,9.78394,11.3208,8.68319,11.478,2.62424,-0.342946,41.2659
3511506,10.0765,11.3208,7.67565,10.1323,2.35996,-1.37328,39.2052
3511511,10.0765,11.3208,7.67565,10.1323,2.35996,-1.37328,39.2052
