ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3463265,7.10771,10.5283,7.57489,14.2303,6.38674,1.58561,39.4412
3463275,7.16189,10.0566,6.57651,12.9193,6.29013,0.930426,36.7143
3463285,7.16189,10.0566,6.57651,12.9193,6.29013,0.930426,36.7143
3463295,7.30274,9.68868,6.0361,12.407,6.17821,0.614539,35.4346
3463305,7.11855,9.70755,5.93534,12.0598,6.25583,0.503576,34.8212
3463315,7.11855,9.70755,5.93534,12.0598,6.25583,0.503576,34.8212
3463325,7.2594,9.54717,5.78879,11.5128,5.87231,0.217686,34.1081
3463342,7.12938,9.33962,5.73384,11.2002,5.74544,0.20883,33.403
3463352,6.96686,9.26415,5.83459,11.2957,5.81393,0.404341,33.3613
3463364,6.96686,9.26415,5.83459,11.2957,5.81393,0.404341,33.3613
3463374,6.85851,9.29245,5.68804,11.4954,6.18078,0.4646,33.3344
3463384,6.70682,9.5566,5.62392,11.7385,6.66479,0.490251,33.6259
3463394,6.70682,9.5566,5.62392,11.7385,6.66479,0.490251,33.6259
3463404,6.59847,9.89623,5.51401,11.7559,7.06333,0.344378,33.7646
3463414,6.59847,9.89623,5.51401,11.7559,7.06333,0.344378,33.7646
3463424,6.94519,10.3208,5.15679,11.808,7.32292,-0.131983,34.2307
3463434,7.11855,10.6226,4.79957,11.4694,7.47857,-0.649335,34.0101
3463444,7.11855,10.6226,4.79957,11.4694,7.47857,-0.649335,34.0101
3463454,7.18356,10.9057,4.35991,11.1047,7.79858,-1.17331,33.5538
3463471,7.20523,11.283,3.74623,10.5403,8.29288,-1.92297,32.7748
3463504,7.18356,11.6226,3.51724,10.4362,8.66769,-2.222,32.7596
3463512,7.19439,11.9528,3.44397,10.5838,8.96628,-2.31477,33.1749
3463513,7.11855,12.2925,3.44397,10.8008,9.30803,-2.30252,33.6558
3463534,6.89101,12.4811,3.34321,10.6879,9.68082,-2.39841,33.4033
3463544,6.89101,12.4811,3.22414,10.6879,9.80489,-2.46065,33.2842
3463554,6.62014,12.5189,3.22414,10.4275,9.98919,-2.5102,32.7906
3463564,6.37094,12.5755,3.17834,10.0281,10.1502,-2.67783,32.1528
3463574,6.37094,12.5755,3.17834,10.0281,10.1502,-2.67783,32.1528
3463584,5.97004,12.4528,3.20582,9.75894,10.383,-2.60841,31.3876
3463594,5.50414,12.3774,3.20582,9.70684,10.8578,-2.42035,30.7942
3463604,5.50414,12.3774,3.20582,9.70684,10.8578,-2.42035,30.7942
3463616,5.09242,12.2075,3.20582,9.62002,11.2274,-2.22772,30.1258
3463627,5.09242,12.2075,3.20582,9.62002,11.2274,-2.22772,30.1258
3463636,4.9624,12.1038,3.2333,9.69816,11.3394,-2.06752,29.9976
3463647,4.9624,12.1038,3.26994,9.98468,11.4246,-1.88562,30.3208
3463657,4.9624,12.1038,3.26994,9.98468,11.4246,-1.88562,30.3208
3463668,4.83238,11.8774,3.37069,10.0715,11.3971,-1.62554,30.1519
3463681,4.76737,11.7925,3.37069,10.2451,11.5155,-1.46342,30.1757
3463684,4.76737,11.7925,3.37069,10.2451,11.5155,-1.46342,30.1757
3463693,4.76737,11.7358,3.38901,10.2017,11.4485,-1.45169,30.094
3463713,5.35245,12.1698,3.35237,10.0281,10.9158,-2.01041,30.9027
3463729,6.56597,12.8962,3.22414,9.65475,9.86429,-3.05338,32.3411
3463747,7.74697,12.8774,3.66379,9.46374,8.0961,-3.33173,33.7519
3463757,9.72976,12.5377,7.66649,10.6793,3.58304,-1.44845,40.6133
3463767,9.72976,12.5377,7.66649,10.6793,3.58304,-1.44845,40.6133
3463777,9.63225,12.3208,5.95366,10.6532,4.78999,-2.07967,38.5599
3463787,9.63225,12.3208,5.95366,10.6532,4.78999,-2.07967,38.5599
