ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
4329206,0.619792,2.08757,0.57181,3.78789,16.5693,3.50713,7.06707
4329210,0.610937,2.02768,0.626268,3.69684,16.1142,3.62947,6.96173
4329211,0.610937,1.99346,0.535505,3.64221,16.548,3.4797,6.78211
4329221,0.610937,1.99346,0.535505,3.64221,16.548,3.4797,6.78211
4329231,0.628646,1.95924,0.562734,3.56936,16.1355,3.44692,6.71998
4329242,0.628646,1.96779,0.562734,3.55115,16.1228,3.39205,6.71032
4329312,0.548958,1.97635,0.562734,3.35994,16.3795,3.25071,6.44797
4329316,0.619792,2.03624,0.490123,3.05945,16.0572,2.15986,6.2056
4329326,0.726042,2.2929,0.37213,1.72094,14.2589,-2.71675,5.11202
4329337,0.726042,2.2929,0.37213,1.72094,14.2589,-2.71675,5.11202
4329347,0.734896,2.30146,0.335825,1.52973,14.0785,-3.5827,4.90191
4329411,0.734896,2.31002,0.27229,1.24746,13.9676,-5.01187,4.56466
4329413,0.734896,2.31002,0.27229,1.24746,13.9676,-5.01187,4.56466
4329428,0.708333,2.22446,0.163374,0.500803,12.8828,-9.46052,3.59697
4329438,0.690625,2.08757,0.0998398,0.427959,13.045,-10.2105,3.30599
4329518,0.664062,1.93357,0.0998398,0.355115,12.4876,-10.5288,3.05259
4329521,0.664062,1.93357,0.0998398,0.355115,12.4876,-10.5288,3.05259
4329527,0.540104,1.56568,0.0907635,0.218532,11.939,-11.1579,2.41508
4329536,0.522396,1.49723,0.0544581,0.163899,12.1122,-12.0729,2.23799
4329546,0.522396,1.49723,0.0544581,0.163899,12.1122,-12.0729,2.23799
4329556,0.540104,1.4459,0.0726108,0.118372,10.9274,-12.3682,2.17699
4329617,0.469271,1.37745,0.0363054,0.100161,12.2535,-12.9357,1.98319
4329651,0.433854,1.30045,0.027229,0.0637386,12.3695,-13.5049,1.82527
4329657,0.504687,1.37745,0.0635344,0.0819497,10.988,-12.8475,2.02763
4329718,0.433854,1.2919,0.0363054,0.0455276,11.9948,-13.6418,1.80758
4329720,0.522396,1.2919,0.0907635,0.136583,9.98365,-11.6594,2.04164
4329730,0.442708,1.28334,0.0816871,0.0910552,11.1913,-12.2708,1.89879
4329741,0.442708,1.28334,0.0816871,0.0910552,11.1913,-12.2708,1.89879
4329751,0.451562,1.2919,0.0544581,0.0910552,11.6059,-12.689,1.88897
4329821,0.442708,1.20634,0.027229,0.0819497,11.6361,-13.1371,1.75823
4329823,0.442708,1.20634,0.027229,0.0819497,11.6361,-13.1371,1.75823
4329828,0.380729,1.12079,0.117993,0.109266,10.5758,-11.0563,1.72877
4329843,0.425,1.11223,0.0907635,0.163899,10.6084,-10.7364,1.79189
4329859,0.354167,1.16356,0.0544581,0.18211,13.3536,-10.9545,1.7543
4329923,0.363021,1.06945,0.0816871,0.18211,11.8916,-10.3345,1.69627
4329925,0.363021,1.06945,0.0816871,0.18211,11.8916,-10.3345,1.69627
4329941,0.354167,1.00956,0.181527,0.437065,11.4882,-5.63837,1.98232
4329954,0.354167,1.0609,0.163374,0.455276,12.276,-5.87408,2.03371
4329963,0.354167,1.0609,0.163374,0.455276,12.276,-5.87408,2.03371
4330029,0.309896,0.958228,0.190603,0.655597,13.1641,-2.99332,2.11432
4330036,0.309896,0.958228,0.190603,0.655597,13.1641,-2.99332,2.11432
4330046,0.309896,0.906895,0.353978,1.34762,13.626,2.49181,2.91838
4330056,0.274479,0.924006,0.417512,1.80289,14.8799,4.48356,3.41889
4330132,0.274479,0.924006,0.417512,1.80289,14.8799,4.48356,3.41889
4330136,0.203646,0.83845,0.481046,2.21264,15.836,6.63151,3.73578
4330146,0.177083,0.718671,0.526428,3.1323,17.2767,9.09974,4.55448
4330158,0.177083,0.718671,0.526428,3.1323,17.2767,9.09974,4.55448
4330168,0.168229,0.667338,0.544581,3.22335,17.258,9.5548,4.6035
4330230,0.168229,0.667338,0.544581,3.22335,17.258,9.5548,4.6035
4330233,0.141667,0.607448,0.517352,3.33262,17.8353,10.1135,4.59909
