ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
3977287,0,0,0,0,0,0,0
3977290,0,0,0,0,0,0,0
3977366,0.0266041,0.0256539,0.0544581,0,0,0,0.106716
3977379,0.0266041,0.0256539,0.0544581,0,0,0,0.106716
3977381,0,0,0,0,0,0,0
3977383,0,0,0,0,0,0,0
3977394,0,0.0171026,0,0,0,0,0.0171026
3977404,0,0.0171026,0,0,0,0,0.0171026
3977468,0,0.0171026,0.0363054,0.0546624,0,0,0.10807
3977469,0.017736,0,0,0,0,0,0.017736
3977473,0,0.0598592,0,0,0,0,0.0598592
3977488,0,0.0598592,0,0,0,0,0.0598592
3977498,0,0.00855131,0.00907635,0,0,0,0.0176277
3977507,0,0,0,0,0,0,0
3977591,0.017736,0.0684105,0.00907635,0,0,0,0.0952229
3977598,0,0.0171026,0,0,0,0,0.0171026
3977607,0,0.0256539,0,0,0,0,0.0256539
3977677,0,0.00855131,0,0,0,0,0.00855131
3977680,0,0.00855131,0,0,0,0,0.00855131
3977690,0.0443401,0,0,0,0,0,0.0443401
3977700,0.0266041,0.0513078,0.00907635,0,0,0,0.0869883
3977710,0.0266041,0.0513078,0.00907635,0,0,0,0.0869883
3977780,0.017736,0,0.0181527,0,0,0,0.0358887
3977783,0,0.00855131,0,0,0,0,0.00855131
3977793,0,0.0256539,0,0,0,0,0.0256539
3977803,0,0,0,0.0364416,0,0,0.0364416
3977813,0.00886802,0.00855131,0,0,0,0,0.0174193
3977883,0.00886802,0.00855131,0,0,0,0,0.0174193
3977885,0,0,0,0,0,0,0
3977895,0,0.0256539,0.0181527,0,0,0,0.0438066
3977905,0,0.0256539,0.0181527,0,0,0,0.0438066
3977915,0,0,0,0.0091104,0,0,0.0091104
3977980,0.017736,0.0427565,0,0,0,0,0.0604926
3977983,0.00886802,0.0171026,0.0181527,0,0,0,0.0441233
3977993,0,0,0.00907635,0,0,0,0.00907635
3978003,0,0,0.00907635,0,0,0,0.00907635
3978013,0,0,0,0.0273312,0,0,0.0273312
3978023,0,0,0.00907635,0.0091104,0,0,0.0181867
3978083,0,0,0.00907635,0.0091104,0,0,0.0181867
3978091,0,0,0.0181527,0,0,0,0.0181527
3978101,0,0,0,0.0273312,0,0,0.0273312
3978124,0,0.0256539,0.0181527,0,0,0,0.0438066
3978185,0,0,0,0,0,0,0
3978188,0.00886802,0.0427565,0,0,0,0,0.0516246
3978204,0,0,0,0,0,0,0
3978214,0,0.00855131,0,0,0,0,0.00855131
3978290,0,0,0,0,0,0,0
3978293,0.017736,0,0,0,0,0,0.017736
3978294,0,0.0513078,0,0,0,0,0.0513078
3978327,0,0.0513078,0,0,0,0,0.0513078
3978390,0,0.0769618,0,0,0,0,0.0769618
3978400,0,0.0684105,0,0,0,0,0.0684105
3978410,0,0,0,0,0,0,0
