ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2665748,0,0.00855561,0.0272436,0.0364416,0,0,0.0722408
2665749,0,0.0256668,0.0635684,0,0,0,0.0892352
2665759,0,0,0.0090812,0.0273312,0,0,0.0364124
2665770,0,0,0.0090812,0.0273312,0,0,0.0364124
2665781,0,0.0256668,0.0272436,0,0,0,0.0529104
2665791,0,0,0,0,0,0,0
2665851,0,0.0256668,0.0363248,0.0273312,0,0,0.0893228
2665864,0.115164,0.752894,0,0.091104,18.9966,-12.1505,0.959162
2665867,0,0.00855561,0,0,0,0,0.00855561
2665878,0,0.00855561,0,0,0,0,0.00855561
2665889,0,0,0.0726496,0.0182208,0,0,0.0908704
2665960,0,0,0.0726496,0.0182208,0,0,0.0908704
2665962,0,0.0171112,0,0.0273312,0,0,0.0444424
2665994,0,0,0.0544872,0,0,0,0.0544872
2666055,0,0,0.0090812,0,0,0,0.0090812
2666056,0,0,0.0090812,0,0,0,0.0090812
2666060,0,0,0.0544872,0,0,0,0.0544872
2666081,0.0177176,0,0.0363248,0,0,0,0.0540423
2666091,0.0177176,0,0.0363248,0,0,0,0.0540423
2666161,0,0.00855561,0,0,0,0,0.00855561
2666164,0,0.0171112,0,0,0,0,0.0171112
2666187,0,0.0171112,0.0181624,0.0637728,0,0,0.0990464
2666196,0,0.00855561,0.0363248,0,0,0,0.0448804
2666260,0,0,0.0544872,0,0,0,0.0544872
2666263,0,0,0,0,0,0,0
2666274,0,0,0.0363248,0.0182208,0,0,0.0545456
2666284,0,0,0.0363248,0.0182208,0,0,0.0545456
2666294,0,0,0,0,0,0,0
2666367,0,0,0.0090812,0.0273312,0,0,0.0364124
2666375,0,0,0.0090812,0.0273312,0,0,0.0364124
2666385,0,0,0.0817308,0.0091104,0,0,0.0908412
2666396,0,0,0.0817308,0.0091104,0,0,0.0908412
2666466,0,0,0.0726496,0,0,0,0.0726496
2666469,0,0,0.0726496,0,0,0,0.0726496
2666486,0,0,0,0.0091104,0,0,0.0091104
2666499,0,0,0,0.0091104,0,0,0.0091104
2666569,0,0,0.0272436,0,0,0,0.0272436
2666571,0,0,0,0.0273312,0,0,0.0273312
2666581,0,0,0.0090812,0,0,0,0.0090812
2666585,0,0,0.0090812,0,0,0,0.0090812
2666601,0,1.74534,2.64263,8.9373,15.0842,11.0706,13.3253
2666605,0,1.74534,2.64263,8.9373,15.0842,11.0706,13.3253
2666674,0,0.641671,0,0.21865,25,-7.37553,0.86032
2666677,0.159458,0.119779,0.136218,0,0,0,0.415455
2666688,0,0.0427781,0,0,0,0,0.0427781
2666698,0,0,0.0090812,0,0,0,0.0090812
2666774,0,0,0.0635684,0.0091104,0,0,0.0726788
2666778,0,0,0.0635684,0.0091104,0,0,0.0726788
2666779,0,0,0.0544872,0,0,0,0.0544872
2666790,0,0.00855561,0.0090812,0,0,0,0.0176368
2666815,0,0.0427781,0,0,0,0,0.0427781
2666874,0,0.0427781,0.0181624,0.0091104,0,0,0.0700509
2666884,0,0,0,0,0,0,0
2666894,0,0,0.0272436,0,0,0,0.0272436
2666904,0,0.0598893,0.0090812,0,0,0,0.0689705
2666977,0,0.0342224,0.0363248,0,0,0,0.0705472
2666979,0,0.0941117,0.045406,0,0,0,0.139518
2666981,0,0.0256668,0.0817308,0,0,0,0.107398
2667000,0,0,0.0363248,0,0,0,0.0363248
2667093,0,0.0256668,0.0272436,0,0,0,0.0529104
2667099,0,0.0513337,0,0,0,0,0.0513337
2667104,0.0974466,0.504781,0,0.0364416,17.3711,-13.2882,0.638669
2667119,0,0,0,0,0,0,0
2667122,0,0,0,0,0,0,0
2667181,0,0.00855561,0.163462,0.0637728,0,0,0.23579
2667183,0,0.0770005,0,0,0,0,0.0770005
2667194,0,0.0427781,0.0635684,0,0,0,0.106346
2667204,0,0.0427781,0.0635684,0,0,0,0.106346
2667218,0,0,0.045406,0,0,0,0.045406
2667286,0,0.0171112,0.0090812,0,0,0,0.0261924
2667289,0,0.0171112,0.0090812,0,0,0,0.0261924
2667299,0,0,0.0544872,0,0,0,0.0544872
2667305,0,0,0.0726496,0,0,0,0.0726496
2667387,0,0.0171112,0,0,0,0,0.0171112
2667392,0,0.0342224,0.0272436,0,0,0,0.061466
2667397,0,0,0.0544872,0,0,0,0.0544872
2667411,0,0.0342224,0.045406,0,0,0,0.0796284
2667421,0,0.0427781,0.045406,0.0182208,0,0,0.106405
2667489,0,0.00855561,0.0272436,0,0,0,0.0357992
2667492,0,0.00855561,0.0272436,0,0,0,0.0357992
2667501,0,0.0427781,0.0544872,0.0091104,0,0,0.106376
2667506,0,0.0427781,0.0544872,0.0091104,0,0,0.106376
2667519,0,0.0256668,0.0635684,0.0273312,0,0,0.116566
2667593,0,0.0256668,0.0635684,0.0273312,0,0,0.116566
2667596,0,0.0342224,0.045406,0,0,0,0.0796284
2667598,0,0.0598893,0.0998932,0.0182208,0,0,0.178003
2667607,0,0.0598893,0.0998932,0.0182208,0,0,0.178003
2667617,0,0.00855561,0.0272436,0,0,0,0.0357992
2667629,0,0.0855561,0.0272436,0,0,0,0.1128
2667699,0,0.0855561,0.0272436,0,0,0,0.1128
2667702,0,0.0684449,0.0272436,0,0,0,0.0956885
2667714,0,0.0171112,0.0181624,0,0,0,0.0352736
2667723,0,0.0171112,0.0181624,0,0,0,0.0352736
2667734,0,0.0256668,0.0181624,0,0,0,0.0438292
2667796,0,0.0513337,0,0,0,0,0.0513337
2667798,0,0.0513337,0,0,0,0,0.0513337
2667828,0,0,0.0181624,0,0,0,0.0181624
2667834,0,0,0.0181624,0,0,0,0.0181624
2667914,0,0.0256668,0,0,0,0,0.0256668
2667916,0,0.00855561,0.0544872,0,0,0,0.0630428
2667926,0,0.0171112,0.0181624,0,0,0,0.0352736
2667937,0,0.0342224,0.0363248,0,0,0,0.0705472
2668001,0,0.13689,0.272436,0.69239,12.6358,11.2725,1.10172
2668005,0,0.13689,0.272436,0.69239,12.6358,11.2725,1.10172
2668007,0.29234,1.16356,0.0817308,0.182208,14.1249,-10.396,1.71984
2668016,0.549244,2.4469,0.090812,0.419078,15.8721,-10.637,3.50604
2668032,0.549244,2.4469,0.090812,0.419078,15.8721,-10.637,3.50604
2668036,0.442939,2.46402,0.172543,0.810825,17.0896,-7.41681,3.89032
2668105,0.442939,2.71213,0.308761,1.50322,17.4331,-4.05601,4.96704
2668108,0.442939,2.71213,0.308761,1.50322,17.4331,-4.05601,4.96704
2668120,0.0354351,1.11223,1.61645,17.4322,20.9104,13.2952,20.1963
2668126,0.106305,1.86512,1.28953,16.2712,21.4268,11.972,19.5321
2668141,0.106305,1.86512,1.28953,16.2712,21.4268,11.972,19.5321
2668206,0.469515,3.55058,0.944444,13.3741,21.1449,8.42356,18.3386
2668214,0.469515,3.55058,0.944444,13.3741,21.1449,8.42356,18.3386
2668230,0.708702,5.38148,0.708333,11.5884,21.1466,5.0633,18.3869
2668244,0.708702,5.38148,0.708333,11.5884,21.1466,5.0633,18.3869
2668308,0.628973,4.96225,0.83547,12.9277,21.2168,6.33338,19.3544
2668309,0.593538,4.69703,0.971688,14.6313,21.2543,7.40354,20.8936
2668319,3.15373,5.04781,1.21688,19.5932,17.4675,6.51906,29.0116
2668329,1.60344,4.32058,1.52564,21.1395,19.5275,8.78364,28.5892
2668339,2.60448,4.62003,1.99786,22.9644,17.8506,8.26632,32.1868
