ms,Sensor 1 (kg),Sensor 2 (kg),Sensor 3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
2607280,0,0,0,0,0,0,0
2607291,0,0,0,0,0,0,0
2607301,0,0,0,0,0,0,0
2607317,0,0,0,0,0,0,0
2607320,0,0,0,0,0,0,0
2607382,0,0,0,0.0182403,0,0,0.0182403
2607383,0,0,0,0.0182403,0,0,0.0182403
2607392,0,0,0,0,0,0,0
2607401,0,0,0.0273458,0,0,0,0.0273458
2607416,0,0,0,0.00912017,0,0,0.00912017
2607493,0,0,0,0.00912017,0,0,0.00912017
2607496,0,0,0,0,0,0,0
2607506,0,0,0,0,0,0,0
2607516,0,0,0,0,0,0,0
2607526,0,0,0,0,0,0,0
2607590,0,0,0,0,0,0,0
2607592,0,0,0.0273458,0,0,0,0.0273458
2607602,0,0,0.0455764,0,0,0,0.0455764
2607619,0,0,0.0455764,0,0,0,0.0455764
2607629,0,0,0.0364611,0,0,0,0.0364611
2607689,0,0,0,0,0,0,0
2607699,0,0,0,0,0,0,0
2607709,0,0,0,0,0,0,0
2607719,0,0,0,0,0,0,0
2607729,0,0,0,0,0,0,0
2607805,0,0,0,0,0,0,0
2607806,0,0,0,0,0,0,0
2607816,0,0,0,0,0,0,0
2607827,0,0,0,0,0,0,0
2607895,0,0,0,0,0,0,0
2607897,0,0,0,0,0,0,0
2607926,0,0,0,0,0,0,0
2607928,0,0,0.0273458,0,0,0,0.0273458
2608000,0,0,0,0,0,0,0
2608002,0,0,0,0,0,0,0
2608014,0,0,0,0,0,0,0
2608024,0,0,0,0,0,0,0
2608033,0.0442478,0,0,0,0,0,0.0442478
2608097,0,0,0,0,0,0,0
2608100,0,0,0,0,0,0,0
2608120,0,0,0,0,0,0,0
2608122,0,0,0,0,0,0,0
2608132,0,0,0,0,0,0,0
2608202,0,0,0,0,0,0,0
2608205,0,0,0,0,0,0,0
2608215,0,0,0.0455764,0,0,0,0.0455764
2608225,0,0,0,0.00912017,0,0,0.00912017
2608235,0,0,0.0273458,0,0,0,0.0273458
2608304,0,0,0.0273458,0,0,0,0.0273458
2608312,0,0,0,0,0,0,0
2608314,0,0,0,0,0,0,0
2608337,0.0265487,0,0,0,0,0,0.0265487
2608407,0.0265487,0,0,0,0,0,0.0265487
2608410,0,0,0,0,0,0,0
2608420,0,0,0,0,0,0,0
2608430,0,0,0,0,0,0,0
2608440,0,0,0,0,0,0,0
2608510,0,0,0.0182306,0,0,0,0.0182306
2608512,0,0,0.0182306,0,0,0,0.0182306
2608530,0,0,0,0,0,0,0
2608541,0,0,0,0,0,0,0
2608551,0,0,0,0,0,0,0
2608610,0,0,0,0,0,0,0
2608631,0,0,0,0,0,0,0
2608712,0,0,0,0,0,0,0
2608716,0,0,0,0,0,0,0
2608720,0,0,0,0,0,0,0
2608730,0,0,0,0,0,0,0
2608740,0,0,0,0,0,0,0
2608751,0,0,0,0.0182403,0,0,0.0182403
2608816,0,0,0,0.0182403,0,0,0.0182403
2608821,0,0,0,0,0,0,0
2608832,0,0,0,0,0,0,0
2608842,0,0,0,0,0,0,0
2608855,0,0,0,0,0,0,0
2608917,0.00884956,0,0,0,0,0,0.00884956
2608920,0,0,0,0,0,0,0
2608922,0.0265487,0,0,0,0,0,0.0265487
2608935,0,0,0,0,0,0,0
2608942,0,0,0,0,0,0,0
2608953,0,0,0,0,0,0,0
2609028,0,0,0,0,0,0,0
2609035,0,0,0,0,0,0,0
2609046,0.0176991,0,0,0,0,0,0.0176991
2609056,0.0176991,0,0,0,0,0,0.0176991
2609121,0,0,3.27239,7.85247,10.2925,15,11.1249
2609123,0,0.541182,0.63807,0,-2.054,1.2324,1.17925
2609125,0,0,0,0,0,0,0
2609137,0,0,0,0,0,0,0
2609147,0,0,0,0,0,0,0
2609160,0,0,0.0182306,0,0,0,0.0182306
2609165,0,0,0.0182306,0,0,0,0.0182306
2609227,0,0,0,0,0,0,0
2609229,0,0,0,0,0,0,0
2609253,0,0,0,0,0,0,0
2609256,0,0,0,0,0,0,0
2609326,0,0.0171804,0,0,0,0,0.0171804
2609328,0,0.0171804,0,0,0,0,0.0171804
2609338,0,0,0,0,0,0,0
2609348,0.0265487,0,0,0,0,0,0.0265487
2609357,0.0265487,0,0,0,0,0,0.0265487
2609367,0,0,0,0,0,0,0
2609430,0,0,0,0,0,0,0
2609433,0,0,0,0,0,0,0
2609437,0,0,0,0,0,0,0
2609452,0,0,0.00911528,0,0,0,0.00911528
2609468,0,0,0.00911528,0,0,0,0.00911528
2609471,0,0,0,0,0,0,0
2609531,0,0,0,0,0,0,0
2609532,0,0,0,0,0,0,0
2609542,0,0.0085902,0,0,0,0,0.0085902
2609553,0.132743,0.188984,0,0.273605,13.8513,-1.2125,0.595333
2609563,0,0,0.109383,0.100322,0,0,0.209705
2609573,0,0,0.109383,0.100322,0,0,0.209705
2609637,0,0,0,0,0,0,0
2609640,0,0,0,0,0,0,0
2609656,0,0,0,0,0,0,0
2609666,0,0,0,0,0,0,0
2609676,0,0,0,0,0,0,0
2609736,0,0,0,0,0,0,0
2609764,0,0,0.00911528,0,0,0,0.00911528
2609768,0,0,0,0,0,0,0
2609775,0,0,0,0,0,0,0
2609838,0,0,0,0,0,0,0
2609841,0,0,0,0,0,0,0
2609857,0,0,0.00911528,0,0,0,0.00911528
2609867,0,0.0257706,0,0,0,0,0.0257706
2609943,0,0,0,0,0,0,0
2609947,0,0,0,0,0,0,0
2609957,0.212389,0.163214,0,0,0,0,0.375603
2609967,1.04425,0.369378,0.246113,0,-13.8724,-10.5515,1.65974
2609977,1.04425,0.369378,0.246113,0,-13.8724,-10.5515,1.65974
2610047,1.78761,0.919151,0.246113,0.0456009,-8.91263,-12.0814,2.99848
2610052,1.84071,1.2284,0.48311,0.0638412,-7.13193,-10.4623,3.61606
2610071,2.90265,1.34007,0.583378,0.246245,-9.3631,-10.0933,5.07235
2610081,2.9823,1.63214,0.337265,0.136803,-7.61828,-12.2051,5.08851
2610150,2.76991,1.70086,0.145845,0.237124,-5.03618,-12.6329,4.85374
2610152,2.51327,1.77817,0.0182306,0.300966,-2.45285,-12.9231,4.61064
2610162,1.58407,2.68014,0.0455764,1.19474,10.1972,-8.24019,5.50453
2610178,1.41593,2.95503,0.236997,2.20708,12.8729,-4.24109,6.81504
2610188,1.16814,3.01516,0.455764,3.64807,15.2022,-0.143842,8.28713
2610247,1.16814,3.01516,0.455764,3.64807,15.2022,-0.143842,8.28713
2610250,2.50442,3.26427,0.920643,9.37554,14.3399,4.22737,16.0649
2610265,2.97345,3.71097,0.847721,9.29346,13.6448,3.0817,16.8256
2610275,3.72566,4.26933,0.838606,8.73712,12.0117,1.34947,17.5707
2610285,3.72566,4.26933,0.838606,8.73712,12.0117,1.34947,17.5707
2610355,4.71681,4.7332,1.28525,9.71298,10.3238,1.13572,20.4482
2610357,5.26549,4.50126,2.28794,12.2028,9.43073,2.92115,24.2575
2610361,5.51327,4.08893,7.61126,16.4528,5.50788,6.44347,33.6663
2610371,5.24779,3.80546,10.7105,17.9028,3.81641,7.78942,37.6665
2610383,5.0354,3.75392,12.7887,19.113,3.09821,8.51997,40.691
2610393,5.0354,3.75392,12.7887,19.113,3.09821,8.51997,40.691
2610452,5.80531,3.96008,11.1298,19.9102,4.24894,7.8205,40.8053
2610467,8.71681,4.78474,10.5555,20.5345,3.39016,5.91651,44.5915
